公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
高新兴科技集团,前端开发工程师（昆明）(J11340),8k-13k,"物联网,人工智能 上市公司 2000人以上",经验1-3年 本科,“工作氛围好 领导好相处”,信息安全 前端开发 Vue Web前端 ,[西山区]
云南红岭云科技股份有限公司,web前端开发工程师,11k-13k,"数据服务,移动互联网 上市公司 50-150人",经验3-5年 本科,“上市公司，国企控股，做云南省党建相关的项目”,jQuery HTML5 Javascript 架构师 ,[呈贡区]
映云科技,前端工程师（可实习）,6k-12k,"企业服务,物联网 A轮 50-150人",经验不限 本科,"“期权,奖金,节日福利,各类补贴”",HTML5 Web前端 Vue Javascript ,[五华区]
三桥科技,web前端开发工程师,4k-8k,"移动互联网,游戏 未融资 15-50人",经验1年以下 不限,“老板好，不定期员工活动”,移动互联网 Javascript Node.js Web前端 ,[官渡区]
云南金海泰艺术品投资管理股份有限公司,前端开发工程师,10k-15k,"消费生活,区块链 不需要融资 15-50人",经验3-5年 本科,“工作氛围轻松”,前端开发 ,[官渡区]
云南红岭云科技股份有限公司,前端开发工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“五险一金、职能晋升、法定节假日。”,前端开发 ,[呈贡区]
云南柠能,前端开发工程师,15k-28k,"企业服务,软件开发 未融资 50-150人",经验5-10年 本科,“技术能力非常强的，允许在家办公”,前端开发 Javascript HTML CSS ,[西山区]
爱情魔方,前端开发工程师,7k-10k,社交、软件开发 未融资 15-50人,经验5-10年 本科,“五险，双休，带薪休假。”,社交 移动互联网 前端开发 Web前端 iOS Android ,[盘龙区]
昆明外星人互联网技术有限公司,前端开发工程师,8k-14k,"软件开发,物联网 天使轮 50-150人",经验3-5年 大专,“工龄奖、节假日、生日祝福”,移动端 前端开发 Web前端 ,[西山区]
唯恒基业,前端工程师,4k-8k,移动互联网 未融资 50-150人,经验应届毕业生 本科,“六险一金，带薪年假，周末双休，项目奖金”,移动互联网 Web前端 HTML 前端开发 ,[盘龙区]
爱情魔方,前端开发工程师,7k-10k,社交、软件开发 未融资 15-50人,经验3-5年 本科,“五险”,移动互联网 Vue 移动端 前端开发 Web前端 ,[盘龙区]
