公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
人大金仓,实施DBA（云南）,8k-12k,数据服务 不需要融资 150-500人,经验3-5年 本科,“全额公积金”,DBA 数据库运维 ,[五华区]
升玥信息,DBA数据库工程师,6k-10k,"医疗丨健康,信息安全 未融资 少于15人",经验1-3年 本科,“企业福利购买六险一金、提供内外专项培训。”,DBA MySQL SQLServer 数据库开发 ,[西山区]
东华,etl工程师,6k-12k,"企业服务,数据服务 上市公司 2000人以上",经验不限 不限,“上市公司、五险一金、年终奖、弹性工作制”,ETL ,[西山区]
深圳市壹平台,项目经理pm,10k-20k·13薪,软件开发 未融资 150-500人,经验1-3年 本科,“方案编写、沟通能力”,云计算 移动互联网 项目管理 解决方案 需求分析 敏捷 ,[盘龙区]
高新兴科技集团,JAVA开发工程师（昆明）(J11336),8k-16k,"物联网,人工智能 上市公司 2000人以上",经验1-3年 本科,“工作氛围好 领导好相处”,信息安全 Java 全栈 ,[西山区]
汉图,java开发工程师（初级）,5k-8k,"数据服务,其他 A轮 15-50人",经验不限 本科,“年假，社保，等”,大数据 ,[西山区]
优维科技,软件开发工程师,6k-10k,"移动互联网,企业服务 B轮 150-500人",经验3-5年 本科,“高速发展 五险一金 股权激励 腾讯背景”,Python Java C Shell ,[天府广场]
网新博创,java开发工程师,8k-10k·13薪,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“浙大网新”,大数据 Java ,[西山区]
四川税友,运维工程师,5k-9k,"移动互联网,企业服务 未融资 150-500人",经验1-3年 本科,“六险一金，双休。享受国家规定各类假期”,Linux MySQL ,[五华区]
奥远科技,JAVA开发工程师,5k-10k,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 大专,"“周末双休,五险,年终奖,加薪快”",J2EE Javascript Java ,[官渡区]
云南红岭云科技股份有限公司,Java后端开发工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“五险一金、职能晋升、法定节假日。”,后端 ,[呈贡区]
云南红岭云科技股份有限公司,软件开发项目经理,10k-15k,"数据服务,移动互联网 上市公司 50-150人",经验5-10年 本科,“五险一金、职能晋升、法定节假日。”,高级技术管理 ,[呈贡区]
