公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
稻熊科技,php开发工程师,7k-10k,电商 未融资 15-50人,经验1-3年 本科,“具有完整、专业开发团队”,PHP ,[西山区]
今日青年,PHP,7k-14k,游戏 未融资 15-50人,经验3-5年 本科,“工作环境优美，公司福利好”,移动互联网 ,[五华区]
翡翠王朝,php开发工程师,6k-10k,移动互联网 不需要融资 150-500人,经验3-5年 大专,“五险，晋升条线明晰”,,[五华区]
云南盟派科技,php后端,3k-5k,电商 不需要融资 50-150人,经验1-3年 大专,“福利待遇好，公司发展前景良好”,移动互联网 后端 Laravel ,[盘龙区]
心霖公社,PHP工程师,5k-10k,"教育,消费生活 不需要融资 150-500人",经验1-3年 本科,"“高福利,PHP开发,昆明”",后端 MySQL PHP ,[盘龙区]
文广影视文化,php开发工程师,5k-10k,软件开发、区块链 不需要融资 150-500人,经验1-3年 大专,“周末双休，朝九晚六，各种零食，五险一金”,Yii MySQL 后端 移动开发 ,[呈贡区]
贤邦科技,php开发工程师,6k-10k,"移动互联网,电商 未融资 50-150人",经验3-5年 大专,“项目奖金、节假福利、晋升机制、五险、团建”,移动互联网 电商 PHP HTML/CSS Javascript ,[盘龙区]
本地车,PHP开发工程师,5k-10k,"移动互联网,企业服务 未融资 少于15人",经验不限 不限,“发展前景好客户多 思路领先 可直接咨询”,后端 ,[盘龙区]
才众网络,招聘兼职PHP开发工程师,4k-8k,"移动互联网,电商 未融资 15-50人",经验3-5年 大专,"“工作灵活,待遇好,有技术成就,工作氛围好”",Laravel PHP 架构师 全栈 ,[盘龙区]
翡翠王朝,PHP 开发工程师,8k-12k,移动互联网 不需要融资 150-500人,经验3-5年 大专,“晋升空间 氛围好”,PHP MySQL ,[五华区]
三桥科技,web前端开发工程师,4k-8k,"移动互联网,游戏 未融资 15-50人",经验1年以下 不限,“老板好，不定期员工活动”,移动互联网 Javascript Node.js Web前端 ,[官渡区]
优维科技,软件开发工程师,6k-10k,"移动互联网,企业服务 B轮 150-500人",经验3-5年 本科,“高速发展 五险一金 股权激励 腾讯背景”,Python Java C Shell ,[天府广场]
乐之培优,Web前端开发工程师,5k-8k,教育 未融资 150-500人,经验不限 本科,“五险一金、双休、节日生日福利、年度体检等”,前端开发 Web前端 ,[盘龙区]
