公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
映云科技,Python工程师,6k-12k,"企业服务,物联网 A轮 50-150人",经验不限 本科,"“期权,奖金,各类补贴,节日福利”",分布式 Python 爬虫 Linux/Unix ,[五华区]
映云科技,Python 开发实习,4k-5k,"企业服务,物联网 A轮 50-150人",经验应届毕业生 本科,"“期权,奖金,各类补贴,节日福利”",Python python爬虫 后端 分布式 ,[五华区]
银软科技,python工程师,4k-8k,"软件开发,物联网 未融资 15-50人",经验不限 不限,“周末双休 年底分红 五险”,移动互联网 智能硬件 ,[盘龙区]
达内英才,院校合作python人工智能讲师,6k-8k,教育、数据服务 上市公司 2000人以上,经验1-3年 本科,“五险一金  专业培训   绩效奖金”,教育 ,[呈贡区]
易见股份,高级后台开发工程师,12k-24k,金融 上市公司 150-500人,经验3-5年 硕士,“发展前景好，待遇优厚。”,Python docker ,[西山区]
航空航天大学创新研究院,区块链研究员,30k-40k,不限 不需要融资 150-500人,经验3-5年 博士,“云南省事业单位”,Golang Node.js MySQL ,[盘龙区]
优维科技,软件开发工程师,6k-10k,"移动互联网,企业服务 B轮 150-500人",经验3-5年 本科,“高速发展 五险一金 股权激励 腾讯背景”,Python Java C Shell ,[天府广场]
诺基亚华诺科技,通信数据挖掘和分析工程师,5k-8k,"移动互联网,数据服务 不需要融资 500-2000人",经验应届毕业生 本科,"“高薪酬,高福利,世界五百强”",通信/网络设备 大数据 通信网络优化 ,[呈贡区]
云南金海泰艺术品投资管理股份有限公司,区块链开发工程师,12k-24k,"消费生活,区块链 不需要融资 15-50人",经验3-5年 本科,“工作氛围轻松”,大数据 ,[官渡区]
云南红岭云科技股份有限公司,AI工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“人工智能”,人工智能 ,[呈贡区]
云南红岭云科技股份有限公司,区块链工程师,10k-20k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“人工智能；区块链；系统框架”,区块链 系统架构 ,[呈贡区]
美林数据,数据挖掘工程师,10k-20k,"数据服务,金融 C轮 500-2000人",经验3-5年 本科,“自主研发 公司平台大 福利好”,数据仓库 数据分析 算法 数据库开发 ,[官渡区]
数智政通,数据开发工程师,8k-16k,数据服务 未融资 15-50人,经验不限 大专,“弹性工作，五险一金”,大数据 ETL 数据仓库 Python ,[西山区]
费米科技,实习数据工程师,4k-6k,"移动互联网,数据服务 未融资 少于15人",经验不限 本科,“作为团队重要一员，参与智能分析平台开发运维”,大数据 云计算 SQLServer Python Java 数据挖掘 ,[西山区]
乐之培优,Web前端开发工程师,5k-8k,教育 未融资 150-500人,经验不限 本科,“五险一金、双休、节日生日福利、年度体检等”,前端开发 Web前端 ,[盘龙区]
昆明外星人互联网技术有限公司,前端开发工程师,8k-14k,"软件开发,物联网 天使轮 50-150人",经验3-5年 大专,“工龄奖、节假日、生日祝福”,移动端 前端开发 Web前端 ,[西山区]
神州数码,软件测试工程师,3k-6k,企业服务 上市公司 2000人以上,经验不限 大专,“五险一金+餐补+电脑补 薪资待遇优厚”,性能测试 测试开发 数据库 自动化 ,[西山区]
中山市宇通物流有限公司,测试工程师,5k-10k,其他 A轮 150-500人,经验应届毕业生 不限,“福利待遇好”,信息安全 新零售 传感器 硬件开发 电路调试 电气设计 ,[盘龙区]
瑞和锦程科技,服务端开发,7k-14k,"移动互联网,物流丨运输 不需要融资 150-500人",经验3-5年 本科,“福利好，前景好”,Linux/Unix Java MySQL ,[西山区]
华兴亚鼎,OpenStack云平台,8k-11k,软件开发 未融资 50-150人,经验1-3年 大专,“965”,Shell Openstack ,[五华区]
映云科技,前端工程师（可实习）,6k-12k,"企业服务,物联网 A轮 50-150人",经验不限 本科,"“期权,奖金,节日福利,各类补贴”",HTML5 Web前端 Vue Javascript ,[五华区]
映云科技,Web 前端开发实习,4k-5k,"企业服务,物联网 A轮 50-150人",经验应届毕业生 本科,"“期权,奖金,节日福利,各类补贴”",Javascript CSS HTML5 Vue ,[五华区]
云南红岭云科技股份有限公司,AI产品经理,10k-18k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“人工智能”,人工智能 ,[呈贡区]
云南红岭云科技股份有限公司,大数据分析工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“五险一金、职能晋升、法定节假日。”,数据分析 ,[呈贡区]
云南红岭云科技股份有限公司,AI算法工程师,8k-15k,"数据服务,移动互联网 上市公司 50-150人",经验1-3年 本科,“人工智能；算法”,人工智能 算法 ,[呈贡区]
