公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
中电万维,java开发工程师,8k-15k·13薪,软件开发 不需要融资 500-2000人,经验3-5年 本科,“起点高 成长快”,Java ,[城关区]
亚联信息,Java开发工程师(J10773),9k-13k,"金融,软件开发 不需要融资 150-500人",经验3-5年 本科,“银行项目”,金融 MySQL 软件开发 ,[城关区]
南京迈特望科技股份有限公司,java,5k-9k,"移动互联网,人工智能 上市公司 500-2000人",经验1-3年 大专,“大平台”,绩效奖金 带薪年假 通讯津贴 交通补助 ,[安宁区]
深圳宝润兴业,java开发工程师,8k-13k,"电商,移动互联网 上市公司 150-500人",经验3-5年 本科,“双休 五险一金 带薪年假 定期体检”,电商 金融 Java 分布式 ,[城关区]
乐智教育,java开发工程师,6k-12k,"移动互联网,教育 不需要融资 150-500人",经验1-3年 本科,“绩效奖金、年假、岗位晋升、技能培训、体检、补助”,Java MySQL ,[城关区]
环讯科技,java工程师,7k-10k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,"“五险一金,年底双薪,包住,创业公司”",企业服务 银行 平台 Java ,[城关区]
兰州睿创波迪信息科技有限公司,java开发工程师,5k-10k,"移动互联网,数据服务 天使轮 15-50人",经验3-5年 大专,“有双休，节假日，五险”,大数据 后端 Javascript 软件开发 ,[城关区]
环讯科技,初级java工程师,5k-8k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 本科,"“五险一金,年底双薪,包住,创业公司”",企业服务 银行 平台 Java ,[城关区]
深圳宝润兴业,java开发工程师,8k-15k,"电商,移动互联网 上市公司 150-500人",经验3-5年 大专,“高薪、双休、福利好”,后端 Java 分布式 ,[城关区]
大方电子,java开发工程师,5k-8k,"企业服务,信息安全 未融资 150-500人",经验1-3年 大专,“平台大，项目多，等待你来挑战！”,后端 服务器端 ,[七里河区]
君度科技,JAVA开发工程师,8k-12k,"信息安全,数据服务 不需要融资 150-500人",经验1-3年 大专,"“五险一金,绩效奖金,年终奖,出差补贴”",后端 ,[七里河区]
Ehanjia,java开发工程师,8k-15k·13薪,"移动互联网,电商 不需要融资 150-500人",经验3-5年 大专,“团队佳 工作环境佳”,后端 分布式 ,[城关区]
甘肃文锐,java开发工程师,8k-13k,"电商,企业服务 不需要融资 50-150人",经验3-5年 本科,“发展前景”,软件开发 后端 Java ,[城关区]
丝绸之路港,java工程师,5k-10k,"数据服务,区块链 未融资 150-500人",经验1-3年 本科,“五险一金，带薪假期，误餐补贴、通讯补贴”,云计算 大数据 云计算 区块链 Java ,[城关区]
江苏盈达,中级JAVA工程师,6k-9k,移动互联网 上市公司 150-500人,经验1-3年 本科,“五险一金 绩效奖金 餐补 定期体检”,Java Web前端 ,[城关区]
兰州秀川供应链有限公司,java后端,5k-8k,"汽车丨出行,软件开发 不需要融资 15-50人",经验1-3年 本科,“发展前景好”,服务器端 后端 ,[七里河区]
大宽科技,中级java开发工程师,6k-10k,"移动互联网,数据服务 天使轮 50-150人",经验3-5年 大专,“五险一金 年终分红 带薪年假 定期体检”,后端 服务器端 客户端 平台 ,[城关区]
中电万维,运维工程师（兰州）,5k-8k,软件开发 不需要融资 500-2000人,经验1年以下 不限,“起点高 成长快”,Docker Oracle MySQL SQLServer ,[城关区]
航通智能,运维工程师,4k-6k·13薪,数据服务 上市公司 150-500人,经验1-3年 本科,“上市公司背景，周末双休，五险一金，年终奖”,系统运维 ,[西固区]
carenet,大数据运维工程师,10k-15k,"移动互联网,消费生活 未融资 150-500人",经验3-5年 本科,“技术大牛 环境宽松 周末双休”,DevOps/AIOps K8s/Docker ,[七里河区]
美趣科技,Android前端开发工程师,8k-16k·17薪,"数据服务,物联网 未融资 15-50人",经验3-5年 本科,“全国领先的物联网开发项目”,工具软件 本地生活 Android 组件化 前端开发 音视频开发 ,[城关区]
安恒信息,【实习】渗透测试（兰州）,2k-3k,"信息安全,数据服务 上市公司 500-2000人",经验应届毕业生 本科,“导师一带一”,测试 ,[城关区]
大方电子,大数据工程师,6k-8k,"企业服务,信息安全 未融资 150-500人",经验应届毕业生 大专,"“免费培训,福利好,发展机会多”",大数据 ,[七里河区]
新航程电子商务,安卓开发工程师,7k-10k,软件开发、物联网 不需要融资 少于15人,经验1-3年 本科,“法定节假日，员工宿舍，五险一金，定期涨薪”,移动互联网 大数据 移动端 Android Web前端 ,[安宁区]
迈思泰合,数据库管理员,8k-15k,"数据服务,软件开发 未融资 50-150人",经验3-5年 本科,“福利待遇优厚”,Linux DBA 数据库运维 数据库开发 ,[城关区]
陇冠科技,android开发工程师,7k-12k,移动互联网 / /,经验3-5年 本科,“双休、五险一金、年终分红”,移动互联网 企业服务 ,[城关区]
中电万维,实习生,1k-2k,软件开发 不需要融资 500-2000人,经验应届毕业生 本科,“起点高 成长快”,后端 前端开发 HTML/CSS Java ,[城关区]
中电万维,WebGIS开发工程师,8k-15k,软件开发 不需要融资 500-2000人,经验1-3年 本科,“五险一金 年底双薪 奖金 年假 补贴”,Vue ,[城关区]
