公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
中电万维,前端开发工程师（兰州）,7k-14k,软件开发 不需要融资 500-2000人,经验1-3年 本科,“起点高 成长快”,CSS 前端开发 Vue Web前端 ,[城关区]
虾米创意科技,前端工程师,4k-7k,"信息安全,软件开发 未融资 15-50人",经验3-5年 不限,“项目制”,移动端 前端开发 Web前端 ,[城关区]
中科三清,WEB前端开发工程师,8k-11k,"其他,移动互联网 不需要融资 50-150人",经验1-3年 本科,“六险一金 饭补”,Web前端 Vue ,[七里河区]
美趣科技,Android前端开发工程师,8k-16k·17薪,"数据服务,物联网 未融资 15-50人",经验3-5年 本科,“全国领先的物联网开发项目”,工具软件 本地生活 Android 组件化 前端开发 音视频开发 ,[城关区]
翊博信息,web前端开发工程师,5k-7k,"软件开发,物联网 不需要融资 15-50人",经验1-3年 不限,“道路是曲折的，年终是丰厚的。”,移动端 前端开发 架构师 Web前端 ,[城关区]
中电万维,实习生,1k-2k,软件开发 不需要融资 500-2000人,经验应届毕业生 本科,“起点高 成长快”,后端 前端开发 HTML/CSS Java ,[城关区]
南京迈特望科技股份有限公司,java,5k-9k,"移动互联网,人工智能 上市公司 500-2000人",经验1-3年 大专,“大平台”,绩效奖金 带薪年假 通讯津贴 交通补助 ,[安宁区]
深圳宝润兴业,java开发工程师,8k-13k,"电商,移动互联网 上市公司 150-500人",经验3-5年 本科,“双休 五险一金 带薪年假 定期体检”,电商 金融 Java 分布式 ,[城关区]
兰州睿创波迪信息科技有限公司,java开发工程师,5k-10k,"移动互联网,数据服务 天使轮 15-50人",经验3-5年 大专,“有双休，节假日，五险”,大数据 后端 Javascript 软件开发 ,[城关区]
君度科技,JAVA开发工程师,8k-12k,"信息安全,数据服务 不需要融资 150-500人",经验1-3年 大专,"“五险一金,绩效奖金,年终奖,出差补贴”",后端 ,[七里河区]
大方电子,java开发工程师,5k-8k,"企业服务,信息安全 未融资 150-500人",经验1-3年 大专,“平台大，项目多，等待你来挑战！”,后端 服务器端 ,[七里河区]
甘肃文锐,java开发工程师,8k-13k,"电商,企业服务 不需要融资 50-150人",经验3-5年 本科,“发展前景”,软件开发 后端 Java ,[城关区]
聚鑫软件,web前端高级开发工程师,5k-9k,软件开发 未融资 少于15人,经验1-3年 大专,“团队和谐，公司发展前景好.”,移动端 Node.js jQuery Vue ,[城关区]
丝绸之路港,java工程师,5k-10k,"数据服务,区块链 未融资 150-500人",经验1-3年 本科,“五险一金，带薪假期，误餐补贴、通讯补贴”,云计算 大数据 云计算 区块链 Java ,[城关区]
大宽科技,中级java开发工程师,6k-10k,"移动互联网,数据服务 天使轮 50-150人",经验3-5年 大专,“五险一金 年终分红 带薪年假 定期体检”,后端 服务器端 客户端 平台 ,[城关区]
中电万维,WebGIS开发工程师,8k-15k,软件开发 不需要融资 500-2000人,经验1-3年 本科,“五险一金 年底双薪 奖金 年假 补贴”,Vue ,[城关区]
中电万维,web前端,7k-13k,软件开发 不需要融资 500-2000人,经验1-3年 本科,“稳定”,HTML5 Vue ,[城关区]
