公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
爱可生,MySQL DBA,12k-23k,数据服务 不需要融资 150-500人,经验1-3年 大专,"“新三板,技术大牛,餐补”",DBA MySQL ,[城关区]
易宝软件科技（南京）有限公司,数据库开发工程师,6k-12k·13薪,移动互联网 上市公司 150-500人,经验1-3年 大专,"“朝九晚六,双休,五险一金,上市企业”",Oracle 数据库开发 ,[安宁区]
中电万维,运维工程师（兰州）,5k-8k,软件开发 不需要融资 500-2000人,经验1年以下 不限,“起点高 成长快”,Docker Oracle MySQL SQLServer ,[城关区]
北京数介科技有限公司,etl工程师,8k-12k,数据服务 A轮 50-150人,经验1-3年 本科,“发展空间大”,MySQL ,[城关区]
爱可生,数据开发工程师,8k-15k,数据服务 不需要融资 150-500人,经验3-5年 大专,"“新三板,技术大牛,餐补”",数据库开发 ,[城关区]
中电万维,实习生,1k-2k,软件开发 不需要融资 500-2000人,经验应届毕业生 本科,“起点高 成长快”,后端 前端开发 HTML/CSS Java ,[城关区]
亚联信息,Java开发工程师(J10773),9k-13k,"金融,软件开发 不需要融资 150-500人",经验3-5年 本科,“银行项目”,金融 MySQL 软件开发 ,[城关区]
金政日新,实施工程师,4k-6k,软件开发 不需要融资 150-500人,经验应届毕业生 本科,“团队氛围好，有利于个人发展”,企业软件 数据库 ,[城关区]
金政日新,实施工程师,4k-6k,软件开发 不需要融资 150-500人,经验不限 本科,“团队成员行业经验丰富，利于个人发展。”,企业软件 ,[城关区]
南京迈特望科技股份有限公司,java,5k-9k,"移动互联网,人工智能 上市公司 500-2000人",经验1-3年 大专,“大平台”,绩效奖金 带薪年假 通讯津贴 交通补助 ,[安宁区]
武汉政通,项目实施工程师（甘肃）,6k-12k,移动互联网 上市公司 500-2000人,经验不限 本科,“上市公司 五险一金 行业前景”,Linux MySQL ,[城关区]
志翔科技,技术支持工程师（兰州）,6k-8k·13薪,"数据服务,硬件 C轮 150-500人",经验1-3年 大专,“午餐补助 年终奖”,Linux ,[七里河区]
乐智教育,java开发工程师,6k-12k,"移动互联网,教育 不需要融资 150-500人",经验1-3年 本科,“绩效奖金、年假、岗位晋升、技能培训、体检、补助”,Java MySQL ,[城关区]
carenet,大数据运维工程师,10k-15k,"移动互联网,消费生活 未融资 150-500人",经验3-5年 本科,“技术大牛 环境宽松 周末双休”,DevOps/AIOps K8s/Docker ,[七里河区]
环讯科技,初级java工程师,5k-8k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 本科,"“五险一金,年底双薪,包住,创业公司”",企业服务 银行 平台 Java ,[城关区]
环讯科技,java工程师,7k-10k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,"“五险一金,年底双薪,包住,创业公司”",企业服务 银行 平台 Java ,[城关区]
兰州睿创波迪信息科技有限公司,java开发工程师,5k-10k,"移动互联网,数据服务 天使轮 15-50人",经验3-5年 大专,“有双休，节假日，五险”,大数据 后端 Javascript 软件开发 ,[城关区]
君度科技,JAVA开发工程师,8k-12k,"信息安全,数据服务 不需要融资 150-500人",经验1-3年 大专,"“五险一金,绩效奖金,年终奖,出差补贴”",后端 ,[七里河区]
亚信,数据分析师,8k-12k,"企业服务,移动互联网 上市公司 2000人以上",经验3-5年 本科,“上市公司”,数据分析 ,[安宁区]
大方电子,java开发工程师,5k-8k,"企业服务,信息安全 未融资 150-500人",经验1-3年 大专,“平台大，项目多，等待你来挑战！”,后端 服务器端 ,[七里河区]
万德软件,运维工程师,5k-10k,移动互联网 上市公司 500-2000人,经验不限 大专,“在甘肃万维工作，有机会转为正式员工”,中间件运维 Zabbix Linux Ansible ,[城关区]
甘肃文锐,java开发工程师,8k-13k,"电商,企业服务 不需要融资 50-150人",经验3-5年 本科,“发展前景”,软件开发 后端 Java ,[城关区]
交设股份,BIM开发工程师,8k-15k,其他 上市公司 少于15人,经验不限 本科,“年轻团队，节假日福利，具有竞争力的薪酬”,工具软件 Winform C#/.NET C++ ,[城关区]
丝绸之路港,java工程师,5k-10k,"数据服务,区块链 未融资 150-500人",经验1-3年 本科,“五险一金，带薪假期，误餐补贴、通讯补贴”,云计算 大数据 云计算 区块链 Java ,[城关区]
中电万维,WebGIS开发工程师,8k-15k,软件开发 不需要融资 500-2000人,经验1-3年 本科,“五险一金 年底双薪 奖金 年假 补贴”,Vue ,[城关区]
