公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
飞常准,c#开发工程师（南京）,8k-16k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“团队专业，发展空间大”,.NET C# ,[秦淮区]
南大数码,c#开发工程师,8k-12k·13薪,"移动互联网,数据服务 未融资 15-50人",经验1-3年 大专,“六险一金、弹性工作、超长年假、午餐补贴、班车”,.NET C# MySQL ,[建邺区]
鼎捷软件,C#开发工程师（2021届）,7k-8k·14薪,其他 上市公司 2000人以上,经验应届毕业生 本科,“提供转正，薪酬福利齐全”,工具软件 ,[双龙大道]
巨泽科技,C# ASP.NET,13k-24k,"移动互联网,企业服务 未融资 15-50人",经验1-3年 本科,“五险一金、体检、旅游、生日福利、下午茶等”,社交 移动互联网 .NET C# 后端 ,[中央门]
嘉恒信息,C# 工程师,10k-15k,其他 不需要融资 少于15人,经验1-3年 本科,“股权激励、全额五险一金、发展空间大”,工具软件 C#/.NET Wpf Javascript ,[江宁区]
南京嘉益仕,C#开发工程师,8k-13k,"信息安全,数据服务 未融资 50-150人",经验1-3年 大专,“MES WMS ERP TMS”,Winform ERP C#/.NET ,[百家湖]
恩核,高级C#工程师（南京）,15k-20k,"数据服务,移动互联网 不需要融资 50-150人",经验5-10年 本科,“大数据软件公司，十天年假，发展空间大”,C#/.NET C# Wpf ,[鼓楼区]
瑞银产业,C#/.NET/WPF工程师,10k-15k,"移动互联网,电商 不需要融资 500-2000人",经验3-5年 本科,“五险一金 绩效奖金 餐补 带薪年假 交通补助”,.NET C# ,[浦口区]
雨润集团,.net c#开发工程师,6k-10k,其他 不需要融资 2000人以上,经验1-3年 大专,“公司规模大、平台广”,其他 ,[建邺区]
思杰系统信息技术（北京）有限公司南京分公司,"Software Engineer (C#, Python)",22k-23k,数据服务 上市公司 500-2000人,经验3-5年 本科,“周末双休，五险一金”,C# Python ,[江宁区]
新洪钡佑,c#开发工程师,6k-8k,"移动互联网,人工智能 未融资 少于15人",经验1-3年 本科,“交通便利，五险一金”,C# ,[玄武区]
基蛋生物,C#桌面软件工程师(J10334),10k-15k,医疗丨健康 不需要融资 500-2000人,经验1-3年 本科,“提供五险一金、食堂班车宿舍等福利”,C# ,[山潘]
新广云,C#工程师,10k-15k,医疗健康 / /,经验3-5年 大专,“五险、十三薪、团建”,后端 Wpf C#/.NET C ,[应天西路]
六维智能,后端开发工程师（asp .net c#),8k-12k,硬件 未融资 500-2000人,经验1-3年 本科,“五险一金、年终奖金、员工旅游、定期体检”,物流 后端 C#/.NET ,[奥体]
罗杰软件,c#软件工程师,10k-15k,移动互联网 未融资 50-150人,经验3-5年 本科,“五险一金、季度旅游、定期体检、带薪年假”,C++ C#/.NET MySQL ,[新街口]
利慧智,C#桌面工程师,15k-25k,移动互联网 / /,经验3-5年 本科,“技能提升 高福利”,医疗健康 技术管理 ,[六合区]
南京天朗电子科技有限公司,c#开发工程师,4k-8k,移动互联网 不需要融资 150-500人,经验应届毕业生 本科,“五险一金 双休 弹性工作 交通补贴餐补”,C#/.NET MySQL 音视频 ,[玄武区]
星基智能,计算机视觉算法工程师,9k-15k,软件开发 不需要融资 少于15人,经验不限 硕士,“五险一金”,,[奥体]
特望,前端开发工程师,12k-24k,"移动互联网,社交 未融资 150-500人",经验3-5年 本科,“发展好，晋升空间大，领导nice”,前端开发 Vue Angular ,[雨花台区]
南大数码,系统集成工程师,8k-13k·13薪,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,“六险一金 班车 超长年假 技术培训”,企业软件 软件开发 系统集成 ,[建邺区]
拓维信息,web前端,13k-24k·13薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“项目稳定”,前端开发 ,[雨花台区]
电科电器,.net core软件工程师,12k-20k,"人工智能,物联网 不需要融资 150-500人",经验不限 本科,“集团公司 工业互联网”,,[雨花台区]
鼎捷软件,Java开发实习生（2021届）,7k-8k·14薪,其他 上市公司 2000人以上,经验应届毕业生 本科,“提供转正，薪酬福利齐全”,工具软件 Java ,[双龙大道]
江苏创纪云网络科技有限公司,.net实习生,3k-4k,"消费生活,电商 未融资 150-500人",经验不限 本科,“发展前景远大”,.NET Python C++ ,[江宁区]
江苏创纪云网络科技有限公司,.net研发工程师,9k-13k,"消费生活,电商 未融资 150-500人",经验3-5年 本科,“母婴行业独角兽、互联网氛围、晋升灵活”,C#/.NET 后端 ,[江宁区]
北路软件,.NET开发工程师(CS）,15k-20k·13薪,物联网 未融资 150-500人,经验3-5年 本科,“自研产品、岗位晋升”,.NET C# ,[江宁区]
鼎捷软件,.net开发工程师,6k-12k,其他 上市公司 2000人以上,经验1-3年 本科,“内部培训，优良团队”,C#/.NET ,[双龙大道]
北路软件,机器视觉工程师,15k-30k·13薪,物联网 未融资 150-500人,经验5-10年 本科,“自研产品、绩效奖金、职位晋升”,C/C++ C# ,[江宁区]
安恒信息,安全服务工程师（南京）,10k-20k,"信息安全,数据服务 上市公司 500-2000人",经验3-5年 本科,“五险一金 带薪年假 国内外旅游”,信息安全 ,[秦淮区]
瞬联软件科技（北京）有限公司,LTE/5G 协议测试工程师,10k-20k,"移动互联网,企业服务 不需要融资 500-2000人",经验不限 本科,“六险一金 年度体检 带薪年休假”,高薪 节日礼物 弹性工作 带薪年假 ,[雨花台区]
南京视网么,Unity3D高级工程师,12k-17k,"移动互联网,广告营销 A轮 15-50人",经验3-5年 本科,"“新技术,AR,福利丰富,成长快速”",游戏 教育 Unity3d 移动端 ,[栖霞区]
易宝软件科技（南京）有限公司,unity开发工程师,11k-22k·13薪,移动互联网 上市公司 150-500人,经验3-5年 大专,“五险一金，周末双休，项目奖金，节日奖励，”,前端开发 人工智能 VR .NET ,[小行]
