公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
Altran （亚创）,c++开发工程师,10k-15k,"企业服务,硬件 上市公司 2000人以上",经验1-3年 本科,“Linux c++”,通信/网络设备 Linux/Unix C++ Python 通信 ,[双龙大道]
Altran （亚创）,c++开发工程师,10k-15k·13薪,"企业服务,硬件 上市公司 2000人以上",经验1-3年 本科,“外企 做五休二”,C++ ,[江宁区]
九硕（南京）智能科技有限责任公司,c++软件工程师,15k-20k,"软件开发,物联网 未融资 15-50人",经验1-3年 本科,“弹性工作，长远发展，初创公司，来了即是元老”,汽车 移动互联网 C++ Python 服务器端 数据库 ,[栖霞区]
森迈软件,QT/C++程序员,9k-12k·13薪,软件开发 未融资 15-50人,经验1-3年 本科,“大厂外协单位，职位稳定”,信息安全 大数据 C C++ 算法 软件开发 ,[玄武区]
智器云,C++/VC/QT 开发工程师,6k-12k,"数据服务,企业服务 B轮 50-150人",经验1-3年 本科,“工作刺激有趣，4月A轮完成，全员股权激励”,C++ ,[海福巷]
智器云,C++开发工程师,10k-18k,"数据服务,企业服务 B轮 50-150人",经验5-10年 本科,"“高收入,高发展,奖股权,重培养”",MFC C++ ,[中华门]
MINIEYE,C++算法开发,20k-40k,"硬件,其他 A轮 150-500人",经验1-3年 本科,"“精英团队,精英团队,扁平管理”",C++ 全栈 算法 ,[栖霞区]
拓维信息,c++开发,13k-26k·13薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“项目稳定 可学技术”,C++ ,[雨花台区]
未来科技城,软件工程师（C/C++）南京,15k-30k·14薪,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 本科,“项目好 福利好 奖金多 央企”,通信/网络设备 C C++ ,[奥体]
TOP Network,区块链C++开发(南京),22k-38k,"移动互联网,数据服务 B轮 50-150人",经验3-5年 本科,“海外市场、技术大牛多”,移动互联网 工具软件 后端 分布式 C++ Golang ,[雨花台区]
鼎捷软件,c++开发工程师,12k-18k,其他 上市公司 2000人以上,经验1年以下 本科,“薪资福利佳”,C++ ,[双龙大道]
百助,C++工程师-逆向（南京）,20k-40k,移动互联网 未融资 150-500人,经验3-5年 本科,“股票期权、14薪、出国游、五险一金”,C++ Windows 客户端 ,[雨花台区]
端木软件,C++/QT,8k-15k,"移动互联网,电商 未融资 50-150人",经验1-3年 大专,“五险一金、年终奖”,QT C++ ,[雨花台区]
顺网科技,【2021校招】c++开发工程师,10k-15k·16薪,游戏 上市公司 500-2000人,经验应届毕业生 本科,“高大尚的办公环境 各种新奇的小玩意”,C C++ ,[玄武区]
金羿智芯,软件开发工程师（C/C++）,8k-15k,人工智能 不需要融资 15-50人,经验1-3年 本科,“五险一金、交通补贴、通讯补贴、餐补”,Python C C++ 软件开发 ,[江宁区]
