公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
天邦股份,java开发工程师,12k-15k,其他 上市公司 2000人以上,经验1-3年 大专,“发展快”,Java MySQL ,[浦口区]
豪亿信息,java开发工程师,12k-20k,"数据服务,软件开发 不需要融资 50-150人",经验3-5年 本科,“五险一金 年终奖”,Java ,[雨花台区]
DAOCLOUD,JAVA开发工程师,12k-18k,"企业服务,数据服务 B轮 150-500人",经验3-5年 本科,“五险一金 带薪年假”,云计算 Java ,[建邺区]
上海中软华腾软件系统有限公司,java开发工程师,10k-15k,"企业服务,金融 上市公司 2000人以上",经验1-3年 本科,“周末双休 有大牛带 项目好 大平台”,绩效奖金 带薪年假 定期体检 管理规范 ,[江宁区]
森迈软件,java高级开发工程师,9k-11k·13薪,软件开发 未融资 15-50人,经验3-5年 大专,“大厂外协单位，职位稳定”,Java ,[玄武区]
森迈软件,Java开发工程师,8k-10k·13薪,软件开发 未融资 15-50人,经验3-5年 大专,“大厂外协单位，职位稳定”,大数据 信息安全 Java 全栈 数据库 ,[玄武区]
明略科技集团,java开发工程师,15k-25k,"数据服务,广告营销 D轮及以上 2000人以上",经验3-5年 本科,“福利待遇 发展前景”,电商 后端 Java Javascript ,[宁南]
微创软件,java开发工程师,15k-17k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 本科,“年终奖 六险一金”,Java MySQL ,[浦口区]
网新博创,java开发工程师,10k-15k,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“五险一金，餐补，通讯补贴，年终奖”,后端 MySQL ,[红山]
智器云,高级java开发工程师,14k-22k,"数据服务,企业服务 B轮 50-150人",经验5-10年 本科,“有竞争力的薪资福利，唾手可得的股权激励！”,移动互联网 工具软件 后端 ,[秦淮区]
智行科技,java开发工程师,8k-10k,"移动互联网,硬件 未融资 15-50人",经验3-5年 本科,“福利待遇、发展前景”,Java 数据库 人脸识别 ,[双龙大道]
易宝软件科技（南京）有限公司,java开发工程师,7k-12k,移动互联网 上市公司 150-500人,经验1-3年 本科,“双休，入职缴纳五险一金”,Java MySQL ,[小行]
端点科技,高级java开发工程师,20k-40k,"电商,消费生活 不需要融资 150-500人",经验3-5年 本科,"“牛人辈出,优厚福利,阿里系”",电商 大数据 分布式 中间件 Java ,[奥体]
易宝软件科技（南京）有限公司,java开发工程师,8k-12k,移动互联网 上市公司 150-500人,经验1-3年 本科,"“双休,五险一金,年终奖,季度奖”",,[雨花台区]
卓尔数科,java开发工程师,6k-10k,广告营销 不需要融资 150-500人,经验1-3年 本科,“发展前景好 团队优秀”,Java ,[雨花台区]
爱可生,java开发工程师,8k-15k,数据服务 不需要融资 150-500人,经验1-3年 本科,“带薪年假 技术大牛 饭补 团建”,Linux/Unix ,[东山]
武汉佰钧成技术有限责任公司,java开发工程师,10k-20k,移动互联网 不需要融资 2000人以上,经验3-5年 不限,“五险一金”,电商 客户端 后端 ,[小行]
博信通,java开发工程师,12k-16k,"企业服务,信息安全 未融资 2000人以上",经验3-5年 本科,“五险一金 周末双休 节日福利 季度团建”,后端 分布式 ,[浦口区]
悠卓约课,java工程师,6k-11k,移动互联网 天使轮 50-150人,经验1-3年 大专,“自主研发项目，发展前景广”,Java ,[建邺区]
