公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
字节跳动,前端开发实习生 — 大数据平台（可转正）,6k-10k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[建邺区]
美篇,前端开发工程师,10k-20k·14薪,"移动互联网,社交 B轮 50-150人",经验3-5年 本科,“福利好 团队牛 成长快”,社交 工具软件 Vue React Node.js Web前端 ,[雨花台区]
DAOCLOUD,前端开发工程师,8k-13k,"企业服务,数据服务 B轮 150-500人",经验1-3年 本科,“五险一金 带薪年假”,Web前端 HTML CSS3 React ,[建邺区]
华为技术有限公司,前端开发工程师,15k-30k,通讯电子 不需要融资 2000人以上,经验3-5年 本科,“面向全球用户提供服务”,搜索 Node.js 全栈 ,[雨花台区]
聚速通,前端开发工程师,10k-12k,"移动互联网,电商 不需要融资 15-50人",经验3-5年 本科,“挑战性、扁平管理、五险一金、绩效奖金”,Javascript ,[雨花台区]
浦和数据,前端开发工程师,10k-16k,数据服务 A轮 50-150人,经验3-5年 本科,"“薪酬优渥,前景广阔,发展迅速,专注技术”",大数据 Javascript Web前端 ,[尧化]
特望,前端开发工程师,12k-24k,"移动互联网,社交 未融资 150-500人",经验3-5年 本科,“发展好，晋升空间大，领导nice”,前端开发 Vue Angular ,[雨花台区]
特望,前端开发工程师,10k-15k·13薪,"移动互联网,社交 未融资 150-500人",经验3-5年 大专,“五险一金、加班调休，节日福利”,电商 前端开发 ,[玄武区]
智器云,前端开发工程师,10k-20k,"数据服务,企业服务 B轮 50-150人",经验3-5年 本科,"“高收入,高发展,奖股权,重培养”",大数据 ,[中华门]
思目创意,前端开发工程师,18k-30k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“福利好、团队棒、技术氛围浓厚”,前端开发 React Node.js Javascript ,[鼓楼区]
以太数据,前端开发工程师,10k-12k,移动互联网 不需要融资 15-50人,经验3-5年 本科,“双休、五险一金、弹性上下班、餐补、零食等等”,Web前端 Vue React Javascript ,[雨花台区]
