公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
舟恩信息,mysql dba,10k-13k,移动互联网 不需要融资 150-500人,经验1-3年 本科,“大平台”,DBA MySQL ,[开发区]
飞常准,数据库管理（DBA）（南京）,9k-18k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,"“六险一金,年终奖金,弹性工作,员工旅游假”",大数据 移动互联网 MongoDB Hadoop MySQL DBA ,[秦淮区]
江苏高伟达,dba数据库管理员,15k-20k,"信息安全,移动互联网 不需要融资 150-500人",经验5-10年 本科,"“五险一金,补贴”",数据库管理员 ,[建邺区]
雨润集团,DBA,15k-19k,其他 不需要融资 2000人以上,经验5-10年 本科,“大平台，发展空间大，提供住宿、餐补”,MySQL Oracle ,[建邺区]
安讯科技,dba工程师,10k-16k,"移动互联网,金融 B轮 150-500人",经验1-3年 本科,“dba 数据库运维”,DBA ,[安德门]
苏宁易购,数据库开发工程师,13k-26k,"消费生活,移动互联网 上市公司 2000人以上",经验3-5年 本科,“星河云处于发展期，机会多多”,工具软件 云计算 MySQL Python Shell 数据库 ,[玄武区]
南京明源软件,DBA,8k-12k,"移动互联网,企业服务 不需要融资 150-500人",经验1-3年 本科,“上市公司，六险一金，环境氛围佳，年轻化”,工具软件 移动互联网 IT支持 SQLServer 系统运维 ,[雨花台区]
中电28所,java开发、C++开发、python、数据库,10k-20k,"移动互联网,信息安全 不需要融资 2000人以上",经验1-3年 硕士,"“平台好,项目好,福利待遇好”",Java MySQL ,[苜蓿园]
新炬网络,DB2/ DBA,13k-16k·13薪,"移动互联网,数据服务 未融资 500-2000人",经验1-3年 本科,“周末双休、五险一金”,技能培训 年底双薪 岗位晋升 年度旅游 ,[建邺区]
北京海天起点,DBA实习生,3k-6k,"企业服务,数据服务 不需要融资 150-500人",经验应届毕业生 本科,“六险一金 通讯补助 带薪年假 13薪”,Oracle 数据库管理员 ,[玄武门]
字节跳动,服务端开发工程师,20k-40k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“高薪期权，弹性工作，免费三餐，租房补贴”,后端开发 ,[建邺区]
字节跳动,后端开发实习生-大数据平台（可转正）,6k-10k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作，免费三餐，租房补贴，休闲下午茶”,后端开发 ,[建邺区]
易杰,java开发工程师-云平台,8k-13k·13薪,"移动互联网,社交 上市公司 150-500人",经验1-3年 本科,“平台好，福利佳”,Java 数据库 分布式 ,[宁南]
东华,etl,8k-15k,"企业服务,数据服务 上市公司 2000人以上",经验不限 不限,“上市公司、五险一金、年终奖、弹性工作制”,年底双薪 专项奖金 股票期权 带薪年假 ,[玄武区]
天邦股份,java开发工程师,12k-15k,其他 上市公司 2000人以上,经验1-3年 大专,“发展快”,Java MySQL ,[浦口区]
九硕（南京）智能科技有限责任公司,c++软件工程师,15k-20k,"软件开发,物联网 未融资 15-50人",经验1-3年 本科,“弹性工作，长远发展，初创公司，来了即是元老”,汽车 移动互联网 C++ Python 服务器端 数据库 ,[栖霞区]
数科网维,实施工程师,5k-10k,企业服务 未融资 150-500人,经验不限 大专,“团建、年度旅游、年终奖、项目奖、弹性办公”,实施 ,[浦口区]
纳里健康,项目经理（医疗）,8k-16k,医疗丨健康 B轮 150-500人,经验5-10年 不限,"“平台发展佳,福利待遇好”",医疗健康 硬件制造 项目管理 PMO ,[鼓楼区]
墨云科技,高级研发工程师,20k-30k,信息安全 B轮 50-150人,经验3-5年 不限,"“股票期权,弹性工作”",C C++ ,[汉中门]
Trusfort芯盾时代,大数据项目经理,10k-20k·13薪,"移动互联网,信息安全 C轮 150-500人",经验3-5年 本科,"“五险一金,健康体检,晋升空间,内推重奖”",过程管理 ,[常府街]
浦和数据,后端开发工程师,10k-15k,数据服务 A轮 50-150人,经验1-3年 本科,"“薪酬优渥,法定节假,带薪年假,前景广阔”",Java ,[栖霞区]
明略科技集团,java开发工程师,15k-25k,"数据服务,广告营销 D轮及以上 2000人以上",经验3-5年 本科,“福利待遇 发展前景”,电商 后端 Java Javascript ,[宁南]
明略科技集团,Java架构师(J11509),22k-35k,"数据服务,广告营销 D轮及以上 2000人以上",经验5-10年 本科,“带薪年假 团队氛围极佳”,电商 系统架构 架构师 决策能力 ,[宁南]
微创软件,java开发工程师,15k-17k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 本科,“年终奖 六险一金”,Java MySQL ,[浦口区]
网新博创,java开发工程师,10k-15k,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“餐补、五险一金、通讯补贴”,Java 后端 软件开发 ,[秦淮区]
智器云,C++开发工程师,10k-18k,"数据服务,企业服务 B轮 50-150人",经验5-10年 本科,"“高收入,高发展,奖股权,重培养”",MFC C++ ,[中华门]
智行科技,java开发工程师,8k-10k,"移动互联网,硬件 未融资 15-50人",经验3-5年 本科,“福利待遇、发展前景”,Java 数据库 人脸识别 ,[双龙大道]
广东睿盟科技,java开发工程师（南京）,4k-8k,"移动互联网,其他 不需要融资 50-150人",经验不限 本科,“带薪年假、周末双休、年终奖、员工免费体检”,工具软件 移动互联网 Shell MySQL 后端 软件开发 ,[鼓楼区]
广东睿盟科技,中级java开发工程师（南京）,7k-12k,"移动互联网,其他 不需要融资 50-150人",经验3-5年 本科,“带薪年假、周末双休、年终奖、免费员工体检”,工具软件 移动互联网 Java 后端 数据库 软件开发 ,[鼓楼区]
南大数码,c#开发工程师,8k-12k·13薪,"移动互联网,数据服务 未融资 15-50人",经验1-3年 大专,“六险一金、弹性工作、超长年假、午餐补贴、班车”,.NET C# MySQL ,[建邺区]
南大数码,.net开发工程师,11k-15k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,“五险一金员工旅游专业培训午餐补助免费体检”,C#/.NET Javascript MySQL ,[莫愁湖公园]
易宝软件科技（南京）有限公司,java开发工程师,7k-12k,移动互联网 上市公司 150-500人,经验1-3年 本科,“双休，入职缴纳五险一金”,Java MySQL ,[小行]
亿友慧云,项目实施顾问,8k-16k,"移动互联网,电商 不需要融资 150-500人",经验不限 本科,“岗位晋升 午餐补助 带薪年假 年终奖”,项目管理 PMP 实施 数据库 ,[红花]
