公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
墨云科技,python后端开发工程师,15k-30k,信息安全 B轮 50-150人,经验3-5年 本科,“五险一金”,信息安全 ,[龙江]
南京擎盾,python后端,8k-16k,移动互联网 B轮 150-500人,经验3-5年 本科,"“五险一金,定期体检,周末双休,节日福利”",大数据 移动互联网 后端 Python ,[安德门]
Linkflow,python自动化测试工程师,9k-15k·13薪,"企业服务,广告营销 A轮 50-150人",经验1-3年 本科,"“弹性工作,技术氛围浓,双休,六险一金”",安全测试 自动化测试 Web测试 测试开发 ,[双龙大道]
扇贝,Python答疑老师,5k-9k,"移动互联网,教育 B轮 150-500人",经验不限 不限,"“福利好,团队棒,个人成长快”",教育 移动互联网 Python ,[玄武区]
江苏东蓝,python,9k-18k,"移动互联网,教育 未融资 50-150人",经验1-3年 大专,“五险一金 年底双薪 绩效奖金 节日福利”,MySQL ,[瑞金路]
扇贝,Python答疑老师,4k-6k,"移动互联网,教育 B轮 150-500人",经验应届毕业生 不限,"“个人成长快,团队棒”",教育 移动互联网 Python ,[玄武区]
易宝软件科技（南京）有限公司,python开发工程师,10k-15k,移动互联网 上市公司 150-500人,经验1-3年 本科,“双休 班车 各种补贴”,Python ,[雨花台区]
润和软件,python开发工程师,12k-24k,移动互联网 上市公司 2000人以上,经验3-5年 本科,“五险一金，双休，年末双薪”,Python Node.js ,[雨花台区]
创新奇智,python工程师,12k-20k,移动互联网 B轮 150-500人,经验3-5年 本科,"“免费零食,免费午餐,七险一金,不打卡”",大数据 云计算 后端 ,[尧化]
新奇智能,python工程师,6k-12k,人工智能 未融资 少于15人,经验应届毕业生 不限,“技术大牛，人工智能落地应用”,移动互联网 全栈 算法 机器学习 自然语言处理 ,[秦淮区]
中芯物联,Python实习生,2k-4k,"人工智能,软件开发 不需要融资 50-150人",经验应届毕业生 本科,“公司产品好，可培养。”,云计算 移动互联网 数据挖掘 ,[浦口区]
南京赛宁,python开发工程师,15k-20k,信息安全 A轮 50-150人,经验3-5年 本科,“团队氛围好；福利完善；自研公司”,MySQL Python ,[江宁区]
新奇智能,python工程师,15k-25k,人工智能 未融资 少于15人,经验不限 不限,“技术大牛，人工智能落地应用”,移动互联网 全栈 算法 机器学习 自然语言处理 ,[秦淮区]
思杰系统信息技术（北京）有限公司南京分公司,"Software Engineer (C#, Python)",22k-23k,数据服务 上市公司 500-2000人,经验3-5年 本科,“周末双休，五险一金”,C# Python ,[江宁区]
智器云,python开发工程师,8k-15k·13薪,"数据服务,企业服务 B轮 50-150人",经验1-3年 大专,“客户稳定，产品定位明确，有技术就大有可为”,Java Python Scala docker ,[红花]
易启策,python研发工程师,9k-14k·14薪,"数据服务,消费生活 不需要融资 15-50人",经验1-3年 本科,“五险一金 加班补助 带薪年假 节日福利”,Python ,[雨花台区]
冰蛙集团,python开发工程师,10k-20k,"数据服务,硬件 未融资 50-150人",经验1-3年 大专,“福利待遇好，广阔的发展前景”,云计算 大数据 Linux/Unix 软件开发 数据挖掘 Python ,[草场门]
小网科技,python开发工程师,6k-8k·14薪,"移动互联网,企业服务 未融资 15-50人",经验1年以下 本科,“创业公司，和公司一同发展”,Node.js MySQL Python ,[建邺区]
深圳市拓保软件有限公司,python开发工程师,12k-13k,数据服务 未融资 2000人以上,经验3-5年 大专,“可以提供更大的工作平台”,Linux/Unix ,[宁南]
南京赛宁,Python开发工程师,8k-16k,信息安全 A轮 50-150人,经验1-3年 本科,"“弹性,年底双薪”",Python ,[宁南]
