公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
呈彧智能,c++,4k-6k,人工智能、数据服务 未融资 少于15人,经验应届毕业生 本科,“技术大牛专业带教。多维度发展。”,云计算 大数据 ,[宝山区]
上海热像科技,c++,20k-30k,"移动互联网,硬件 未融资 50-150人",经验3-5年 本科,“行业爆发式增长 环境简单 项目多成长快”,即时通讯 通信/网络设备 Linux/Unix 后端 ,[浦东新区]
上海江衡,C++,6k-12k,"移动互联网,数据服务 天使轮 50-150人",经验1-3年 本科,“年终双薪年终分红交通补助出差补贴提供班车”,MFC QT ,[浦东新区]
上海卓畅信息技术有限公司,c++,15k-30k·13薪,"其他,移动互联网 未融资 15-50人",经验不限 本科,“餐补、带薪假期”,绩效奖金 午餐补助 年底双薪 专项奖金 ,[浦东新区]
美团点评,信息安全部-C++高级工程师,30k-50k·15薪,消费生活 上市公司 2000人以上,经验5-10年 本科,“大牛云集”,C++ ,[长宁区]
字节跳动,C++开发工程师,20k-40k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,"“六险一金,股票期权,弹性工作,免费三餐”",后端开发 ,[闵行区]
字节跳动,游戏C++服务器资深开发工程师,25k-50k,文娱丨内容 C轮 2000人以上,经验不限 本科,“晋升空间大”,后端开发 ,[浦东新区]
美团点评,基础技术部-C/C++技术专家-KV存储,30k-50k,消费生活 上市公司 2000人以上,经验3-5年 本科,“团队专业，挑战大”,C/C++ ,[长宁区]
TapTap,高级c++开发工程师(J11071),50k-70k·14薪,"游戏,社交 B轮 50-150人",经验3-5年 本科,“福利好/待遇优/发展好”,游戏 电商 C++ ,[闸北公园]
欢动科技,C++资深服务器软件工程师,20k-28k,"移动互联网,游戏 A轮 50-150人",经验3-5年 本科,"“带薪病假,项目分红,节日福利”",游戏 服务器端 PHP ,[浦东新区]
微屏游戏,C++服务器开发,8k-15k·13薪,游戏 B轮 150-500人,经验1-3年 大专,"“五险一金,餐补,周末双休,全勤奖，加班少”",C++ ,[浦东新区]
TapTap,C++高级服务端开发,20k-40k·14薪,"游戏,社交 B轮 50-150人",经验3-5年 本科,“福利好/待遇优/发展好”,C++ 服务器端 算法 ,[闸北公园]
盈嘉互联,c++开发工程师,18k-36k,"移动互联网,企业服务 不需要融资 50-150人",经验5-10年 本科,"“五险一金,免费零食,技术提升,健康体检”",后端 ,[虹梅路]
泛为,c++开发工程师,25k-35k·14薪,"移动互联网,广告营销 不需要融资 150-500人",经验3-5年 本科,“团队氛围好 六险一金”,C++ ,[张江]
波克科技,C++开发工程师 (MJ000059),15k-25k,游戏 D轮及以上 500-2000人,经验1-3年 本科,“商业保险，人才公寓，提供三餐等”,游戏 C++ Cocos2d-X ,[普陀区]
蝶威智能,C++开发工程师,20k-40k,金融 不需要融资 少于15人,经验3-5年 本科,"“技术架构,服务器架构,C++”",C ,[浦东新区]
