公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
微创软件,Java开发工程师,15k-22k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 本科,“独角兽 大牛云集 扁平化 挑战高 成长快”,Java ,[闵行区]
维信金科,java开发工程师,15k-18k,金融 上市公司 2000人以上,经验1-3年 本科,“周末双休 扁平化管理 团队氛围佳”,Java ,[北外滩]
维信金科,高级java开发工程师,20k-30k,金融 上市公司 2000人以上,经验3-5年 本科,“周末双休 扁平化管理 团队氛围佳”,Java ,[北外滩]
哈啰出行,Java开发工程师,25k-40k,"移动互联网,硬件 D轮及以上 2000人以上",经验3-5年 本科,“新业务，高并发”,本地生活 Java ,[莘庄]
奥途网络,java开发工程师,10k-12k,软件开发 不需要融资 150-500人,经验1-3年 大专,“大型企业项目，氛围好”,Java ,[浦东新区]
大家中医,java开发工程师,20k-40k,移动互联网 B轮 50-150人,经验3-5年 本科,“BAT团队，竞争力薪资，员工餐”,医疗健康 Java MySQL 后端 ,[延吉]
奥解思,Java,22k-28k,金融 上市公司 500-2000人,经验5-10年 本科,“带薪年假、五险一金、团建等等”,,[浦东新区]
快乐种子,高级Java开发工程师,20k-35k·13薪,"教育,游戏 B轮 2000人以上",经验3-5年 大专,“发展空间大”,教育 电商 Java ,[虹梅路]
樊登读书,java开发工程师,25k-30k,"移动互联网,教育 A轮 150-500人",经验1-3年 本科,“福利待遇 晋升途径”,Java ,[长宁区]
唯寻国际教育,java开发工程师,15k-25k,教育 A轮 150-500人,经验3-5年 本科,“平台稳定 发展前景广”,教育 Java ,[中山公园]
唯寻国际教育,高级java开发工程师,20k-30k,教育 A轮 150-500人,经验5-10年 本科,“平台稳定 团队发展”,教育 Java ,[中山公园]
DAOCLOUD,JAVA开发工程师,15k-25k,"企业服务,数据服务 B轮 150-500人",经验3-5年 本科,“五险一金 带薪年假”,Java ,[虹梅路]
假面科技,JAVA,13k-15k,社交 B轮 150-500人,经验1-3年 大专,“薪资福利、发展前景、 2-6个月年终奖”,游戏 后端 ,[虹梅路]
奥解思,java开发工程师,16k-25k,金融 上市公司 500-2000人,经验3-5年 本科,“带薪年假、五险一金、团建等等”,,[浦东新区]
掌门集团,JAVA开发工程师,8k-10k,"移动互联网,消费生活 B轮 500-2000人",经验1年以下 不限,"“大数据平台,千万级用户”",云计算 广告营销 ,[浦东新区]
诺互汽车,java开发工程师,10k-20k·13薪,"消费生活,其他 未融资 500-2000人",经验1-3年 本科,“直播项目”,Java ,[普陀区]
法本信息,java开发工程师,13k-20k·13薪,"企业服务,软件开发 上市公司 2000人以上",经验3-5年 本科,“年终奖金 季度奖金 周末双休”,物流 电商 Java 分布式 ,[虹口区]
蚂蚁集团,高级Java开发工程师,25k-40k,"金融,移动互联网 B轮 2000人以上",经验3-5年 本科,“支付宝国际化 大平台”,支付 Java 分布式 ,[浦东新区]
设计院,java开发工程师,10k-15k·13薪,"移动互联网,金融 上市公司 2000人以上",经验1-3年 本科,“重点项目、周末双休”,后端 架构师 分布式 中间件 ,[虹口区]
魔方文娱,Java工程师,15k-20k·14薪,"电商,文娱丨内容 C轮 150-500人",经验3-5年 本科,“并发场景、技术大牛”,电商 Java 后端 分布式 ,[徐家汇]
河姆渡电子商务有限公司,java开发工程师,20k-30k,电商 A轮 500-2000人,经验5-10年 本科,“团队发展前景好”,Java MySQL ,[航头]
上海开域信息科技有限公司,java开发工程师,10k-14k·14薪,"移动互联网,数据服务 未融资 500-2000人",经验1-3年 本科,“弹性工作制 12天年假”,Java MySQL ,[中山公园]
魔方文娱,高级java开发工程师,25k-35k·14薪,"电商,文娱丨内容 C轮 150-500人",经验5-10年 本科,“团队氛围佳、晋升通道、弹性工时”,电商 本地生活 Java ,[徐家汇]
锋泾集团,Java工程师,16k-25k,"电商,房产家居 不需要融资 500-2000人",经验5-10年 本科,“五险一金，中秋春节福利，年终奖”,后端 Java Javascript ,[闵行区]
锋泾集团,java开发工程师,14k-18k,"电商,房产家居 不需要融资 500-2000人",经验3-5年 本科,“节日福利，餐补，带薪年假”,Java 后端 ,[闵行区]
机场国旅,java高级开发工程师,22k-36k·15薪,旅游 未融资 500-2000人,经验3-5年 本科,“额外年休假 晋升空间大 扁平化管理 领导好”,地图 移动互联网 Java MySQL 服务器端 架构师 ,[北新泾]
钛马车联网,java开发工程师,15k-20k,"移动互联网,数据服务 B轮 150-500人",经验5-10年 本科,“车辆网，互联网”,电商 汽车 后端 ,[田林]
泛微,JAVA开发工程师,15k-30k,"移动互联网,企业服务 上市公司 2000人以上",经验不限 本科,“主板上市 行业龙头 免费三餐 五险一金”,Java ,[浦江]
晏鼠股份,java开发工程师,8k-12k·13薪,消费生活 上市公司 500-2000人,经验1-3年 本科,“公司氛围好”,Java 软件开发 ,[五角场]
美团点评,信息安全部-Java资深工程师,30k-50k,消费生活 上市公司 2000人以上,经验3-5年 本科,“平台大、氛围好”,Java ,[长宁区]
诺互汽车,java开发工程师,9k-15k·13薪,"消费生活,其他 未融资 500-2000人",经验不限 本科,“Java”,Java ,[普陀区]
金楷泽,java开发工程师,10k-20k,"企业服务,金融 不需要融资 50-150人",经验3-5年 本科,“餐食丰富，工作氛围积极向上，有大神。”,互联网金融 银行 后端 Java ,[张江]
美团点评,信息安全部-Java资深工程师,30k-50k,消费生活 上市公司 2000人以上,经验3-5年 本科,“平台大、氛围好”,Java ,[长宁区]
