公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
ARK Group,高级前端工程师,20k-40k·13薪,"移动互联网,企业服务 A轮 50-150人",经验3-5年 本科,“行业先锋 大牛云集”,工具软件 企业服务 架构师 React Node.js ,[黄浦区]
乐元素游戏,前端开发工程师,18k-26k·14薪,"移动互联网,游戏 不需要融资 500-2000人",经验3-5年 本科,“六险一金 加班少”,React React native ,[黄浦区]
唯寻国际教育,前端架构师,25k-35k,教育 A轮 150-500人,经验3-5年 本科,“平台稳定 团队潜力”,教育 前端开发 架构师 ,[中山公园]
字节跳动,前端工程师,20k-40k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,"“六险一金,免费三餐,租房补贴,下午茶”",web前端 ,[杨浦区]
达达集团,前端工程师,20k-30k,消费生活 上市公司 2000人以上,经验3-5年 本科,“平台稳定，团队快速发展”,电商 Vue Web前端 HTML5 CSS ,[平凉路]
文景信息,前端开发工程师,9k-18k,"移动互联网,其他 不需要融资 50-150人",经验1-3年 本科,“互联网+物流的知名企业”,前端开发 HTML HTML5 CSS ,[浦东新区]
Strikingly,JavaScript前端开发工程师,12k-20k·13薪,移动互联网 B轮 150-500人,经验1-3年 大专,“甲方、一日三餐、大牛云集、Mac”,国际化团队 开放的氛围 乐于分享 体检旅游 ,[五角场]
唯寻国际教育,前端开发工程师,15k-25k,教育 A轮 150-500人,经验3-5年 本科,“团队实力 发展前景 平台稳定”,教育 Vue React ,[中山公园]
DAOCLOUD,前端开发工程师,15k-20k,"企业服务,数据服务 B轮 150-500人",经验3-5年 本科,“五险一金、补充医疗险、年终奖金”,Vue Javascript ES6 HTML5 ,[五角场]
上海炽聚,前端开发工程师,10k-15k,"软件开发,信息安全 未融资 50-150人",经验1-3年 本科,“团队有资深工程师带队”,前端开发 Vue ,[浦东新区]
加佳信息,前端架构师,25k-35k,"区块链,人工智能 不需要融资 50-150人",经验5-10年 本科,“前景好，福利好，周末双休，扁平管理”,架构师 ,[浦东新区]
沪江,前端开发实习生,3k-4k,教育 D轮及以上 500-2000人,经验不限 本科,“团队氛围好，领导nice”,Web前端 Vue webpack ,[张江]
道欣信息,前端工程师,9k-13k·14薪,"移动互联网,企业服务 未融资 50-150人",经验1-3年 本科,“独立办公楼，工作时间nice”,企业服务 Web前端 移动端 ,[延吉]
明略科技集团,前端架构师,30k-45k,"数据服务,广告营销 D轮及以上 2000人以上",经验5-10年 本科,“福利待遇 发展前景”,Web前端 架构师 ,[新华路]
齐数科技（上海）有限公司,前端工程师,15k-22k,"移动互联网,文娱丨内容 未融资 50-150人",经验3-5年 大专,"“免费下午茶,商业保险,交通补助,餐费补助”",前端开发 Web前端 ,[斜土路]
诺互汽车,前端开发工程师,10k-15k·13薪,"消费生活,其他 未融资 500-2000人",经验1-3年 本科,“大平台”,前端开发 ,[普陀区]
文景信息,前端开发工程师,9k-18k,"移动互联网,其他 不需要融资 50-150人",经验1-3年 本科,“互联网+物流的知名企业”,前端开发 HTML HTML5 CSS ,[浦东新区]
唯寻国际教育,前端开发工程师,15k-25k,教育 A轮 150-500人,经验3-5年 本科,“团队实力 发展前景 平台稳定”,教育 Vue React ,[中山公园]
上海开域信息科技有限公司,前端开发工程师,10k-13k·13薪,"移动互联网,数据服务 未融资 500-2000人",经验1-3年 本科,“弹性工作制 12天年假”,Vue 前端开发 Web前端 ,[中山公园]
