公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
达达集团,DBA工程师(Mysql),15k-25k,消费生活 上市公司 2000人以上,经验3-5年 大专,“风口平台、技术氛围浓厚”,电商 新零售 运维 MySQL ,[平凉路]
上海脉多信息技术有限公司,高级开发运维工程师（DBA）/数据库专家,20k-32k,"硬件,软件开发 D轮及以上 50-150人",经验5-10年 大专,“准上市公司、公司稳定，氛围好”,云计算 企业服务 SQLServer 运维 ,[长宁区]
哈啰出行,数据库运维开发(J13135),25k-40k,"移动互联网,硬件 D轮及以上 2000人以上",经验3-5年 本科,“发展前景”,MySQL DBA ,[莘庄]
契约锁,MySQL DBA,10k-16k,移动互联网 B轮 150-500人,经验1-3年 本科,“包三餐 福利待遇好 稳定性好”,运维 安全 ,[浦江]
契约锁,mysql dba,10k-16k,移动互联网 B轮 150-500人,经验1-3年 本科,“福利待遇好、发展前景佳、技术氛围好”,DBA ,[闵行区]
上海识致信息科技有限责任公司,dba,20k-40k·16薪,"电商,通讯电子 不需要融资 150-500人",经验3-5年 本科,“大厂 牛人 盈利”,电商 MySQL ,[延吉]
爱可生,MySQL DBA（实习）,4k-6k,数据服务 不需要融资 150-500人,经验不限 本科,"“新三板,技术大牛,团建活动”",信息安全 DBA MySQL 数据库 信息安全 ,[徐汇区]
爱可生,售后工程师（MySQL DBA）,8k-16k,数据服务 不需要融资 150-500人,经验1-3年 本科,"“技术大牛,团建”",运维 DBA Linux ,[徐汇区]
得物App,DBA（mysql）,15k-25k·16薪,"移动互联网,电商 B轮 500-2000人",经验3-5年 本科,“独角兽、福利待遇优、高成长、年轻团队化”,DBA ,[延吉]
虎扑,DBA（mysql）,15k-25k,"移动互联网,文娱丨内容 D轮及以上 500-2000人",经验1-3年 本科,"“快速发展,团队靠谱,大平台”",DBA MySQL ,[延吉]
触宝,DBA（MySQL）,25k-35k·14薪,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,“美股上市 牛人团队 亿级日活 福利待遇佳”,DBA MySQL ,[七宝]
美团点评,基础技术部-MySQL内核工程师/专家,40k-60k,消费生活 上市公司 2000人以上,经验5-10年 本科,“成长快，发展好”,C/C++ ,[长宁区]
达达集团,DBA专家,30k-40k,消费生活 上市公司 2000人以上,经验不限 大专,“平台稳定，团队快速发展”,电商 物流 DBA MySQL ,[平凉路]
合阔信息,数据库开发工程师,13k-15k·13薪,"企业服务,移动互联网 B轮 50-150人",经验3-5年 本科,“市区地铁口 全额五险一金 双休”,电商 ,[上海影城]
上海宝脉信息技术有限公司,数据库开发工程师,20k-30k,"移动互联网,教育 不需要融资 少于15人",经验3-5年 本科,“工作稳定、宽松、国际化、有吸引力的薪资”,教育 数据库 ,[龙华]
CraiditX,数据库开发工程师,15k-20k,人工智能 C轮 50-150人,经验1-3年 本科,“人工智能”,大数据 数据库开发 ,[中山公园]
字节跳动,数据库工程师（DBA）,25k-50k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金，高薪期权，弹性工作，免费三餐”,运维 ,[徐汇区]
网达软件,数据库开发工程师,9k-17k,"移动互联网,电商 上市公司 500-2000人",经验1-3年 本科,“技术大牛 团队氛围 领导nice”,Oracle 数据库开发 ,[虹口区]
字节跳动,云数据库研发工程师-RDS MySQL,25k-50k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[闵行区]
齐数科技（上海）有限公司,DBA数据库工程师,20k-35k,"移动互联网,文娱丨内容 未融资 50-150人",经验5-10年 本科,“最低13薪，节假日丰厚奖金，出国游”,DBA ,[徐家汇]
快乐种子,DBA运维开发,18k-30k·13薪,"教育,游戏 B轮 2000人以上",经验5-10年 本科,“发展前景好”,教育 Linux ,[虹梅路]
51JOB,Mysql数据库管理员,10k-18k,"移动互联网,企业服务 上市公司 2000人以上",经验1-3年 本科,“五险一金 团队氛围好 技术大牛”,DBA MySQL 数据库管理员 ,[张江]
泛微,DBA（达梦、金仓方向）,18k-35k,"移动互联网,企业服务 上市公司 2000人以上",经验5-10年 本科,“上市公司、免费三餐、福利待遇好、年度旅游”,DBA 数据库管理员 ,[闵行区]
掌门1对1在线教育,dba数据库工程师,18k-35k·14薪,"移动互联网,教育 D轮及以上 2000人以上",经验5-10年 本科,“团队氛围nice”,DBA MySQL MongoDB ,[北外滩]
Garena,dba数据库管理员,20k-40k·13薪,移动互联网 不需要融资 150-500人,经验3-5年 本科,“五险一金 ，免费零食，双休，带薪年假”,游戏 移动互联网 MySQL ,[漕河泾]
贝壳金服,DBA-高级数据库 (MJ001055),21k-39k·13薪,金融 不需要融资 500-2000人,经验5-10年 本科,“五险一金带薪年假弹性工作 补充医疗保险”,MySQL ,[新天地]
永辉云创科技有限公司,数据库DBA,25k-50k,"电商,消费生活 D轮及以上 2000人以上",经验5-10年 本科,“平台好，空间大”,运维 数据库管理员 MySQL ,[华漕]
还呗-智能信贷领先者,MySQL DBA,20k-30k,金融 B轮 500-2000人,经验3-5年 本科,"“公司平台好,福利待遇优”",DBA MySQL ,[张江]
店宝宝电商,高级DBA专家--运维方向,40k-60k,"电商,移动互联网 不需要融资 500-2000人",经验5-10年 本科,“核心部门 核心岗位 牛人团队 互联网电商”,电商 DBA ,[浦东新区]
虎扑,高级DBA工程师 (MJ000366),15k-25k,"移动互联网,文娱丨内容 D轮及以上 500-2000人",经验不限 本科,“发展前景好”,体育 DBA ,[虹口区]
宜家,Technical Analyst-DBA,14k-25k,消费生活 不需要融资 2000人以上,经验5-10年 本科,“员工餐厅 企业年金 超长年假 外企福利”,DBA ,[漕河泾]
快仓智能仓储,高级dba,15k-30k,"硬件,数据服务 C轮 150-500人",经验3-5年 本科,“行业前景好 发展空间大”,DBA MySQL ,[虹梅路]
文盛资产,高级dba工程师,20k-25k,"数据服务,移动互联网 C轮 150-500人",经验3-5年 本科,“稳定性好，公司效益好，福利完善”,电商 移动互联网 MongoDB MySQL ,[长宁区]
大启科技,MYSQL dba工程师,25k-35k,软件开发 不需要融资 15-50人,经验5-10年 大专,“薪资高加班少，世界五百强新零售，技术大牛”,本地生活 大数据 MySQL ,[岳阳]
途虎养车网,数据管理工程师（DBA）,15k-25k,汽车丨出行 D轮及以上 2000人以上,经验3-5年 本科,"“扁平化管理,团队氛围好,技术氛围好,发展空间大”",DBA MySQL 数据库 ,[古美]
途虎养车网,资深DBA工程师,30k-40k·14薪,汽车丨出行 D轮及以上 2000人以上,经验5-10年 本科,“有挑战，有上升空间，氛围好，有期权”,电商 DBA MySQL ,[莘庄]
顶点软件,数据库开发工程师,8k-15k,"移动互联网,企业服务 上市公司 500-2000人",经验1-3年 本科,“六险一金、员工旅游、节日福利、生日福利”,证券/期货 MySQL Oracle SQLServer ,[塘桥]
联保网络,数据库开发工程师（DB）上海,13k-20k,"移动互联网,电商 未融资 50-150人",经验5-10年 本科,“五险一金，带薪年假，岗位晋升”,ETL Oracle ,[虹梅路]
盛趣游戏,数据库开发工程师,15k-25k,"移动互联网,游戏 不需要融资 2000人以上",经验不限 不限,“五险一金、餐补、交补、商业保险、带薪年假”,数据库开发 MySQL Oracle ,[张江]
平安健康保险,09319B-DBA工程师,15k-30k,金融 未融资 500-2000人,经验3-5年 本科,"“五险一金,绩效奖金,带薪年假,定期体检”",金融 移动互联网 运维 DBA 数据库管理员 ,[斜土路]
时溪信息,数据库开发工程师,10k-20k,"信息安全,数据服务 未融资 50-150人",经验3-5年 本科,“五险一金 周末双休”,数据库开发 ,[曹路]
益盟操盘手,数据库开发,15k-30k,"金融,移动互联网 上市公司 500-2000人",经验3-5年 本科,“福利待遇好，发展空间大”,DBA SQLServer 数据库 ,[杨浦区]
嘉扬,数据库开发/技术支持岗,5k-8k,移动互联网 不需要融资 150-500人,经验1-3年 大专,"“五险一金,免费班车,员工旅游,交通补贴”",软件开发 ERP 数据库 技术支持 ,[浦东新区]
嘉扬,资深数据库开发,8k-15k,移动互联网 不需要融资 150-500人,经验3-5年 大专,“五险一金、绩效奖金、年终奖金、员工旅游”,数据库 ERP ,[浦东新区]
腾讯,TEG15-分布式数据库高级DBA(上海),20k-40k,社交 上市公司 2000人以上,经验3-5年 本科,“发展前景好 平台大 福利好”,运维 DBA MySQL ,[虹梅路]
东方财富,DBA（天天基金）,20k-30k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“上市公司 核心项目 五险一金 法定年假”,金融 DBA ,[徐家汇]
诺亚（中国）控股有限公司,运维工程师（DBA）G00903,10k-15k,金融 上市公司 2000人以上,经验5-10年 本科,“五险一金，上市公司”,运维 ,[长阳路]
陆金所,253148-资深DBA工程师,25k-45k,金融 B轮 2000人以上,经验5-10年 本科,"“五险一金,带薪年假,定期体检”",DBA Oracle MySQL ,[浦东新区]
新数科技,数据库顾问/DBA,13k-25k,企业服务 A轮 50-150人,经验3-5年 本科,“创新，发展空间，期权”,大数据 企业服务 DB2 MySQL Oracle ,[洋泾]
新数科技,Db2/MySQL/Oracle数据库顾问,12k-20k,企业服务 A轮 50-150人,经验3-5年 本科,“五险一金、带薪休假”,银行 Linux DBA IT支持 ,[洋泾]
上海爱信诺航天信息有限公司,DBA工程师,4k-5k,"移动互联网,金融 上市公司 150-500人",经验应届毕业生 本科,“氛围好，透明的晋升通道，扁平化管理”,DBA ,[漕河泾]
圆通,DBA,15k-25k,物流丨运输 上市公司 2000人以上,经验3-5年 本科,“上市公司，前景好，晋升空间广阔，待遇好”,MySQL Oracle MongoDB ,[青浦区]
得物App,dba,20k-35k·16薪,"移动互联网,电商 B轮 500-2000人",经验3-5年 本科,“行业独角兽，百亿成交量”,DevOps/AIOps K8s/Docker MySQL ,[延吉]
中弈信息,数据库开发工程师,11k-17k,金融、软件开发 未融资 15-50人,经验3-5年 本科,“长期稳定”,ETL MySQL SQLServer Python ,[浦东新区]
众安保险,DBA,15k-25k·15薪,金融 上市公司 2000人以上,经验3-5年 本科,“发展前景”,定期体检 每天下午茶 六险一金 年度体检 ,[黄浦区]
小红书,DBA,20k-40k,消费生活 D轮及以上 500-2000人,经验3-5年 本科,“年底双薪、绩效奖金、租房补贴、带薪年假”,运维 MySQL MongoDB ,[新天地]
掌门1对1在线教育,DBA,20k-40k·14薪,"移动互联网,教育 D轮及以上 2000人以上",经验5-10年 本科,“E轮 在线教育 弹性制 半年度绩效奖金”,MySQL ,[四平路]
益盟操盘手,数据库开发工程师,15k-30k,"金融,移动互联网 上市公司 500-2000人",经验3-5年 本科,“公司平台大、团队氛围好，福利待遇好”,MySQL ETL 数据仓库 SQLServer ,[新江湾城]
嘉环科技,数据库开发/DBA工程师,7k-12k,"企业服务,数据服务 不需要融资 2000人以上",经验1-3年 本科,"“周末双休，五险一金,节日福利,团队活动”",DBA 数据库开发 Oracle MySQL ,[金桥]
拉勾猎头,高级DBA（mysql）,20k-35k,"移动互联网,企业服务 D轮及以上 500-2000人",经验3-5年 大专,“福利完善”,电商 ,[延吉]
盛付通,数据库开发工程师,20k-25k,"移动互联网,金融 不需要融资 150-500人",经验5-10年 本科,"“带薪年假,感恩基金,子女福利,休闲餐点”",DBA ,[浦东新区]
拉勾猎头,【识货】DBA（mysql）,20k-35k,"移动互联网,企业服务 D轮及以上 500-2000人",经验3-5年 大专,“福利完善”,电商 ,[延吉]
联保网络,数据库开发工程师（上海）,13k-20k,"移动互联网,电商 未融资 50-150人",经验5-10年 本科,“五险一金，带薪年假，岗位晋升”,MySQL SQLServer Oracle 数据库开发 ,[虹梅路]
兴业数金,数据库开发工程师,15k-30k,"金融,移动互联网 不需要融资 500-2000人",经验3-5年 本科,“兴业银行旗下金融科技全资子公司”,银行 ,[唐镇]
DATA DRIVER,数据库开发工程师,6k-12k,"电商,数据服务 不需要融资 150-500人",经验1-3年 本科,“13薪、团建活动、一年2次加薪机会”,MySQL Oracle SQLServer ,[梅园]
法本信息,数据库开发工程师,8k-10k·13薪,"企业服务,软件开发 上市公司 2000人以上",经验3-5年 本科,“工作氛围好，各种软性福利”,ETL MySQL SQLServer ,[杨浦区]
InsIT,数据库开发工程师,12k-20k,"金融,其他 不需要融资 50-150人",经验3-5年 本科,“免费班车，餐饮补贴，绩效奖金，五险一金”,数据库 ,[浦东新区]
InsIT,数据库端报表开发工程师,12k-24k,"金融,其他 不需要融资 50-150人",经验3-5年 本科,“五险一金 薪资待遇 央企”,Java ,[唐镇]
55海淘,数据库管理员DBA,15k-25k,电商 上市公司 150-500人,经验5-10年 本科,"“平台大,发展快,环境佳”",DBA MySQL ,[徐汇区]
同程旅游金融业务,dba工程师,10k-20k·14薪,"移动互联网,金融 不需要融资 150-500人",经验1-3年 本科,"“领导好,办公环境好,活动丰富”",互联网金融 DBA MySQL Java Python ,[陆家嘴]
新炬网络,资深MySQL DBA,15k-30k·14薪,"移动互联网,数据服务 未融资 500-2000人",经验3-5年 本科,“技术环境好”,Shell Linux MySQL DBA ,[浦东新区]
