公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
上海友动,PHP主管,17k-25k,"移动互联网,广告营销 天使轮 15-50人",经验5-10年 本科,“五险一金周末双休季度奖金年度出国旅游”,广告营销 移动互联网 后端 服务器端 ,[静安区]
钰真,php工程师,15k-20k·13薪,"电商,其他 未融资 150-500人",经验3-5年 本科,“扁平管理 做五休二 轻松活跃办公氛围”,Java PHP ,[金桥]
大家中医,PHP开发工程师,15k-30k,移动互联网 B轮 50-150人,经验3-5年 本科,“BAT团队，竞争力薪资，员工餐”,医疗健康 移动互联网 PHP MySQL ,[延吉]
捞月狗,PHP开发工程师,15k-30k,移动互联网 C轮 50-150人,经验1-3年 本科,"“团队氛围好,发展空间大,扁平化管理”",后端 PHP ,[虹梅路]
快乐种子,高级PHP开发工程师,18k-30k,"教育,游戏 B轮 2000人以上",经验5-10年 大专,“公司稳定 交通便利 强度一般”,PHP ,[虹梅路]
圣有爱,php开发工程师,15k-20k,"医疗丨健康,软件开发 不需要融资 15-50人",经验5-10年 本科,“年轻有活力”,PHP ,[中山公园]
快乐种子,PHP开发工程师,13k-20k·13薪,"教育,游戏 B轮 2000人以上",经验3-5年 大专,“发展空间大”,教育 电商 PHP ,[虹梅路]
泛为,php开发工程师,15k-25k·14薪,"移动互联网,广告营销 不需要融资 150-500人",经验1-3年 本科,“研发实力雄厚”,广告营销 PHP ,[张江]
微创软件,php开发工程师,14k-18k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“六险一金”,PHP ,[嘉定区]
NextTao 互道信息,PHP工程师,18k-25k·13薪,"移动互联网,电商 B轮 50-150人",经验5-10年 本科,“领导Nice 团队氛围好 技术氛围佳”,新零售 PHP ,[张江]
新数,php开发工程师,10k-15k·14薪,"移动互联网,数据服务 不需要融资 50-150人",经验3-5年 本科,“周末双休、五险一金、交通补贴”,PHP ,[周家嘴路]
车轮,php开发工程师,15k-25k,移动互联网 D轮及以上 150-500人,经验1-3年 本科,“氛围佳、福利好、发展空间大”,本地生活 移动互联网 PHP ,[漕宝路]
我查查,PHP工程师,20k-30k,移动互联网 不需要融资 150-500人,经验3-5年 本科,“几亿用户APP，靠谱团队，就差你了”,移动互联网 平台 ,[张江]
51JOB,PHP开发工程师,10k-16k,"移动互联网,企业服务 上市公司 2000人以上",经验不限 本科,“大牛带飞 团队好 自有业务广 成长机会多”,移动互联网 后端 PHP ,[张江]
瑛太莱,php开发工程师,17k-34k,电商 不需要融资 500-2000人,经验3-5年 本科,“年底双薪 年度体检 年度旅游 下午茶”,电商 PHP ,[中山公园]
韩创科技,php开发工程师,15k-25k,"移动互联网,文娱丨内容 不需要融资 500-2000人",经验3-5年 本科,“平台好、学习氛围强、不加班”,后端 平台 ,[浦东新区]
缺月智能,PHP开发工程师,10k-16k,"人工智能,物联网 未融资 15-50人",经验3-5年 大专,“团队氛围好、上升空间大、员工福利有保障”,企业服务 本地生活 PHP 移动开发 前端开发 后端 ,[塘桥]
枫夏网络,php开发工程师,8k-10k·13薪,"移动互联网,电商 不需要融资 15-50人",经验不限 不限,“90后团队”,电商 PHP ,[杨浦区]
