公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
DAOCLOUD,python开发工程师,15k-20k,"企业服务,数据服务 B轮 150-500人",经验3-5年 本科,“五险一金、补充医疗险、年终奖金”,云计算 MySQL Python ,[杨浦区]
意卡汽车服务,python开发工程师,10k-15k·13薪,汽车丨出行 不需要融资 150-500人,经验3-5年 本科,“团队实力”,Python ,[浦东新区]
字节跳动,Python开发工程师,25k-40k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金，弹性工作，免费三餐，餐补”,后端开发 ,[杨浦区]
上海江煦信息科技,python开发工程师,8k-16k,"移动互联网,硬件 不需要融资 15-50人",经验1-3年 本科,“同事非常nice 俊男美女 领导也很nice”,Python ,[徐汇区]
CLPS,python开发工程师,14k-24k·13薪,"数据服务,金融 未融资 500-2000人",经验3-5年 本科,“六险一金 10天年假”,Python Java ,[陆家嘴]
快乐种子,python开发工程师,12k-22k·13薪,"教育,游戏 B轮 2000人以上",经验1-3年 本科,“发展前景好”,教育 电商 Python Java docker ,[虹梅路]
BaseBit AI 翼方健数,Python开发工程师,12k-20k,医疗丨健康 B轮 50-150人,经验1-3年 本科,“发展快速；晋升空间；股权激励”,后端 Python ,[中山公园]
平安金服,python开发工程师,18k-36k,金融 上市公司 2000人以上,经验5-10年 本科,“公司福利好，周末双休，平台稳定”,银行 理财 后端 Python ,[浦东新区]
NextTao 互道信息,Python工程师,13k-20k,"移动互联网,电商 B轮 50-150人",经验3-5年 本科,"“技术前沿,大数据平台”",Java Python ,[张江]
我查查,python开发工程师,15k-25k,移动互联网 不需要融资 150-500人,经验3-5年 本科,"“亿级APP,年底多薪,环境氛围好”",银行 软件开发 Java ,[张江]
合阔信息,python,18k-35k,"企业服务,移动互联网 B轮 50-150人",经验3-5年 本科,“全额缴纳五险一金，市区地铁口”,电商 ,[上海影城]
合阔信息,python开发工程师,15k-25k·13薪,"企业服务,移动互联网 B轮 50-150人",经验3-5年 本科,“市区地铁口 全额五险一金 双休”,电商 Python ,[上海影城]
走走中国,python开发,20k-40k,"电商,消费生活 不需要融资 15-50人",经验3-5年 本科,“晋升空间，福利完善，年假多”,电商 算法 爬虫工程师 Python MySQL ,[梅陇]
百联全渠道电商,python开发工程师,15k-25k,"电商,消费生活 不需要融资 500-2000人",经验3-5年 本科,“绩效奖金、 带薪年假、午餐补助、岗位晋升”,电商 Python 前端开发 后端 ,[外滩]
莉莉丝游戏,服务器开发工程师（Python/Java）,18k-35k·14薪,"移动互联网,游戏 不需要融资 500-2000人",经验1-3年 本科,"“弹性工作,福利待遇好,工作氛围好”",Java Python docker ,[闵行区]
上海江煦信息科技,python算法工程师,8k-15k,"移动互联网,硬件 不需要融资 15-50人",经验不限 本科,“俊男美女，弹性工作，福利多多”,Python C ,[徐汇区]
字节跳动,Python开发工程师（研发效率方向）,25k-50k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金，弹性工作，免费三餐，租房补贴”,后端开发 ,[闵行区]
网筑建设,python开发工程师,12k-16k·13薪,"人工智能,软件开发 不需要融资 15-50人",经验1-3年 本科,“家装大市场，免费零食小吃，工程师文化”,企业服务 移动互联网 Python Shell docker MySQL ,[虹梅路]
有个机器人,Python开发工程师,20k-40k,人工智能 B轮 50-150人,经验3-5年 本科,“成长空间、技术大牛多”,后端 Golang Python 软件开发 ,[静安区]
量联信息,python开发工程师,8k-15k,软件开发 未融资 15-50人,经验不限 本科,“成长空间大，发现前景好，老板nice”,通信/网络设备 大数据 Python 软件开发 ,[浦东新区]
世纪怡嘉,python开发工程师,10k-15k,"移动互联网,电商 未融资 150-500人",经验3-5年 本科,“五险一金，年终奖金，周末双休，节日福利”,Python ,[浦东新区]
CloudChef,Python开发工程师,10k-20k,"企业服务,数据服务 B轮 50-150人",经验1-3年 本科,“扁平化管理、六险二金、团建活动、年度旅游”,云计算 Python Shell ,[杨浦区]
乐言科技,Python工程师,14k-28k,企业服务 C轮 500-2000人,经验3-5年 不限,“业界**团队 早期期权”,后端 Python ,[中山公园]
上海金亥,python开发,13k-18k,"企业服务,数据服务 不需要融资 50-150人",经验3-5年 大专,"“五险一金,13薪,带薪休假”",Python ,[张江]
融数联智,python开发工程师,20k-35k·13薪,"企业服务,数据服务 A轮 15-50人",经验3-5年 本科,“前沿的行业，期权激励，公司资金，资源强大”,企业服务 Python ,[张江]
达达集团,python开发工程师,20k-30k·14薪,消费生活 上市公司 2000人以上,经验5-10年 本科,“千万级订单量 扁平团队 技术氛围浓”,Python ,[平凉路]
快乐种子,python运维开发工程师,12k-22k·13薪,"教育,游戏 B轮 2000人以上",经验3-5年 大专,“发展前景好”,教育 电商 Shell Linux Python MySQL ,[虹梅路]
云势软件,Python实施顾问,10k-20k,企业服务 B轮 150-500人,经验1-3年 本科,“六险一金；扁平化管理；超长年假+带薪病假”,企业服务 工具软件 Python ,[黄浦区]
逻域信息,python研发负责人,10k-15k,数据服务 / /,经验3-5年 本科,"“股权,创业,高管,不打卡”",云计算 大数据 高级技术管理 决策能力 领导力 创业 ,[徐汇区]
逻域信息,python研发主管,10k-15k,数据服务 / /,经验3-5年 本科,"“股权,创业,高管,不打卡”",云计算 大数据 创业 领导力 决策能力 高级技术管理 ,[徐汇区]
谷露软件,python开发工程师G00345,20k-40k,"数据服务,企业服务 A轮 50-150人",经验不限 本科,“大牛多，技术氛围好”,后端 ,[黄浦区]
坚果云,高级Python开发,20k-40k,"企业服务,数据服务 不需要融资 50-150人",经验3-5年 本科,"“技术大牛,团队氛围好,扁平管理”",云计算 分布式 Java Python 云计算 ,[浦东新区]
