公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
卓智钢云,RPA 开发工程师,15k-20k,"电商,企业服务 A轮 50-150人",经验3-5年 本科,“团队气氛好，都是年轻人，工作弹性”,OA ,[提篮桥]
奥解思,自动化测试工程师,15k-20k,金融 上市公司 500-2000人,经验3-5年 本科,“外企工作环境，弹性工作制，薪资open。”,Selenium 自动化 脚本 自动化测试 ,[张江]
卓智钢云,实施工程师/ERP方向,10k-15k,"电商,企业服务 A轮 50-150人",经验1-3年 本科,“超强创业团队”,企业服务 云计算 ERP 数据库 企业软件 ,[提篮桥]
及未科技,脑机研究员,15k-30k,"移动互联网,金融 不需要融资 150-500人",经验3-5年 本科,"“朝九晚六,周末双休,精英团队,无限发展！”",云计算 深度学习 ,[徐汇区]
富璟科技,机器人自动化开发工程师（RPA）,6k-12k,"信息安全,数据服务 不需要融资 50-150人",经验1-3年 本科,“双休 年底奖金 年度出游 体检”,移动互联网 企业服务 软件开发 ERP OA Java ,[闵行区]
微软（中国）有限公司,技术支持工程师,20k-40k,"移动互联网,数据服务 上市公司 2000人以上",经验1-3年 本科,“弹性工作时间，国际化大平台”,IT支持 ,[闵行区]
容智技术,RPA软件实施工程师,11k-18k,人工智能 天使轮 150-500人,经验3-5年 本科,“五险一金，双休，培训晋升，茶点饮料，年终绩效”,Java ,[黄浦区]
容智技术,RPA软件开发工程师,11k-18k,人工智能 天使轮 150-500人,经验3-5年 本科,“双休，五险一金，带薪年假，团队聚餐，晋升机制”,Java Python C# VB ,[黄浦区]
乔天信息,RPA实施开发工程师,7k-12k,"人工智能,软件开发 未融资 15-50人",经验1-3年 大专,“公司会以培养顾问向项目经理发展作为目标”,Linux/Unix 客户端 ,[长征]
上海塔莫信息科技有限公司,RPA实施工程师,10k-20k,企业服务 不需要融资 50-150人,经验不限 本科,“接触最新技术”,VB ,[古北]
SMIC,MES工程师,15k-30k,"消费生活,其他 上市公司 2000人以上",经验不限 本科,“15薪”,C C#/.NET VB MySQL ,[张江]
普华永道咨询,RPA 机器人开发工程师,15k-20k·13薪,金融 不需要融资 2000人以上,经验1-3年 本科,“高速增长的数字化团队”,Python ,[黄浦区]
为辰信安,嵌入式测试工程师,10k-14k,"移动互联网,信息安全 不需要融资 50-150人",经验3-5年 本科,“双休、绩效奖金、定期团建、13薪、餐补”,嵌入式 Linux ,[黄渡]
