公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
友友系统,高级C++（沈阳）,11k-20k,数据服务 D轮及以上 150-500人,经验3-5年 本科,“补贴，晋级，13薪”,C++ ,[和平区]
友友系统,沈阳-Bitsflow产品研发工程师（C++开发）,11k-20k,数据服务 D轮及以上 150-500人,经验3-5年 本科,“补贴，晋级，13薪”,C++ 分布式 ,[和平区]
维豪集团,c++开发工程师,6k-12k·13薪,信息安全 不需要融资 150-500人,经验1-3年 本科,“全额缴五险一金；薪酬年度普调、半年度个调”,C++ ,[和平区]
ECI,.Net 高级软件工程师（服务器端）,10k-12k,移动互联网 不需要融资 150-500人,经验5-10年 本科,“周末双休 五险一金 早午餐免费 年底双薪”,C++ Winform 软件开发 后端 ,[崇山]
聚进科技,软件研发工程师,7k-10k,"移动互联网,企业服务 未融资 150-500人",经验应届毕业生 硕士,“专业培训 绩效奖金 核心项目 发展空间大”,C#/.NET C# .NET ,[浑南区]
喜旺邦,逆向分析高级工程师,20k-40k,"游戏,信息安全 不需要融资 15-50人",经验3-5年 本科,“薪酬无上限+五险一金双休+技术合伙人”,信息安全 技术管理 ,[浑南区]
创胜科技,游戏开发程序员,6k-12k,游戏 未融资 50-150人,经验3-5年 大专,“五险一金，年终奖，单双休，不定期调薪”,游戏 移动互联网 客户端 服务器端 C++ Node.js ,[市府]
360,研发工程师（主机端）,12k-18k,信息安全 上市公司 2000人以上,经验5-10年 本科,“发展空间、新型产业”,客户端 C Linux/Unix ,[市府]
弘方科技,qt中级开发工程师,9k-15k,"移动互联网,数据服务 上市公司 150-500人",经验1-3年 本科,“五险一金”,QT ,[塔湾]
得天公司,.net开发工程师,10k-18k,"移动互联网,企业服务 不需要融资 150-500人",经验3-5年 本科,“五险一金，综合收入多”,C#/.NET 分布式 ,[云集]
