公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
东华,java,8k-15k,"企业服务,数据服务 上市公司 2000人以上",经验3-5年 不限,“上市公司、五险一金、年终奖、弹性工作制”,后端 前端开发 ,[五三]
开科唯识,高级java研发工程师,15k-25k,金融 未融资 500-2000人,经验5-10年 本科,“五险一金、晋升空间、涨薪机制”,银行 支付 Java ,[沈河区]
北京瑞天欣实数据科技有限公司,JAVA开发工程师,5k-10k·13薪,数据服务 A轮 50-150人,经验1-3年 本科,“好前景、补充医疗、每年体检、带薪年假12天/年”,Java ,[沈河区]
神州信息,java高级软件工程师,9k-18k,金融 上市公司 2000人以上,经验1-3年 本科,“五险一金，带薪年假，定期体检，餐补，”,Java ,[兴工]
开科唯识,java开发工程师,6k-9k,金融 未融资 500-2000人,经验1-3年 本科,"“五险一金,晋升空间,金融项目,技术氛围好”",金融 ,[皇姑区]
彩讯股份,java开发工程师,10k-15k·13薪,"移动互联网,消费生活 上市公司 500-2000人",经验3-5年 本科,“发展前景”,移动互联网 ,[兴华]
东博恒翼,java开发工程师,7k-10k,"金融,软件开发 未融资 50-150人",经验3-5年 本科,“五险一金 长期稳定”,Java ,[浑南区]
聚进科技,JAVA开发工程师,10k-15k,"移动互联网,企业服务 未融资 150-500人",经验5-10年 本科,"“晋升空间大,技能提升快,团队氛围好”",Java 软件开发 ,[浑南区]
神州信息,java高级软件工程师,9k-18k,金融 上市公司 2000人以上,经验1-3年 本科,“五险一金，带薪年假，定期体检，餐补，”,Java ,[铁西区]
友友系统,高级java（沈阳）,11k-20k,数据服务 D轮及以上 150-500人,经验3-5年 本科,“补贴，晋级，13薪”,Java ,[和平区]
中研宏瓴,高级java开发工程师,10k-15k·13薪,"人工智能,软件开发 不需要融资 15-50人",经验10年以上 本科,“发展前景”,Java MySQL ,[浑南区]
不凡网络,java开发工程师,7k-12k,"移动互联网,不限 天使轮 50-150人",经验3-5年 大专,“发展空间大”,社交 ,[浑南区]
业乔集团,Java开发工程师,5k-7k,其他 不需要融资 500-2000人,经验1-3年 本科,“五险一金，餐补，话补，交通补助”,汽车 企业服务 Java ,[北站]
