公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
北京瑞天欣实数据科技有限公司,前端工程师,5k-8k,数据服务 A轮 50-150人,经验1-3年 本科,“七险一金、每年体检、12天带薪年假”,前端开发 Web前端 架构师 ,[沈河区]
亿众互动,前端工程师（HTML5）,6k-10k·13薪,"移动互联网,电商 天使轮 15-50人",经验1-3年 本科,“双休、五险一金、节假日福利、团建、体检、下午茶”,移动互联网 移动端 HTML5 ,[和平区]
铭睿,前端开发工程师,6k-10k,"数据服务,企业服务 未融资 15-50人",经验1-3年 大专,“稳定”,前端开发 ,[铁西区]
ECI,Web前端开发工程师,8k-12k·13薪,移动互联网 不需要融资 150-500人,经验3-5年 大专,“五险一金，周末双休，免费早午餐，公司重点项目”,前端开发 Web前端 Vue React ,[崇山]
便利电,前端开发工程师,6k-12k,"其他,企业服务 未融资 500-2000人",经验3-5年 本科,“能力与薪酬高度匹配，员工与公司共同高速发”,TypeScript CSS3 webpack React ,[浑南区]
全景求是,前端工程师,10k-15k,企业服务 天使轮 50-150人,经验1-3年 本科,"“带薪年假,弹性工作,员工福利”",企业服务 React native 前端开发 Javascript ,[和平区]
知蜂科技,前端开发工程师,4k-7k,"移动互联网,电商 未融资 50-150人",经验3-5年 本科,“技术团队氛围好，老板人Nice”,Web前端 前端开发 HTML Javascript ,[五三]
俊城达,前端开发工程师,8k-12k,"电商,物流丨运输 未融资 2000人以上",经验1-3年 本科,“五险一金 节日福利 13薪”,前端开发 ,[五里河]
亿众互动,web前端工程师,6k-10k·13薪,"移动互联网,电商 天使轮 15-50人",经验1-3年 本科,“五险一金、双休、下午茶、体检、团建”,Web前端 jQuery HTML5 CSS ,[和平区]
华软恒信,前端开发工程师,6k-10k,软件开发 未融资 15-50人,经验应届毕业生 本科,“五险一金，年终奖金，公司氛围好”,Vue HTML5 ES6 CSS3 ,[浑南区]
房小二网,web前端开发工程师,6k-10k,文娱丨内容 不需要融资 150-500人,经验3-5年 本科,“五险、年假、员工旅游”,前端开发 ,[大东区]
沈阳洲际,web前端工程师,8k-10k,"广告营销,企业服务 天使轮 150-500人",经验3-5年 不限,“良好的发展空间”,Javascript CSS HTML ,[启工]
网星文化,vue前端开发工程师,6k-12k,"移动互联网,社交 未融资 15-50人",经验3-5年 本科,“环境优越，薪酬优厚”,HTML5 CSS Vue ,[五里河]
唯思科技,web前端工程师,4k-8k,移动互联网 未融资 少于15人,经验3-5年 大专,"“双休,旅游”",HTML Web前端 ,[铁西广场]
直真科技,web前端开发工程师,8k-15k,软件开发 D轮及以上 500-2000人,经验5-10年 本科,“个人成长大，提高块”,HTML bootstrap Angularjs 架构师 ,[浑南区]
伟创网络,web前端开发工程师,3k-5k,"企业服务,软件开发 不需要融资 15-50人",经验1-3年 大专,“公司氛围好，领导nice，发展空间大”,大数据 企业服务 Web前端 Vue 移动端 canvas ,[于洪区]
维朗,web前端开发,8k-13k,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 大专,“双休，五险一金，年终奖”,Web前端 Vue ,[浑南区]
北京瑞天欣实数据科技有限公司,JAVA开发工程师,5k-10k·13薪,数据服务 A轮 50-150人,经验1-3年 本科,“好前景、补充医疗、每年体检、带薪年假12天/年”,Java ,[沈河区]
开科唯识,java开发工程师,6k-9k,金融 未融资 500-2000人,经验1-3年 本科,"“五险一金,晋升空间,金融项目,技术氛围好”",金融 ,[皇姑区]
视觉中国,测试工程师自动化,7k-9k,"移动互联网,文娱丨内容 上市公司 500-2000人",经验不限 本科,“发展空间大”,自动化测试 功能测试 ,[沈河区]
中研宏瓴,高级java开发工程师,10k-15k·13薪,"人工智能,软件开发 不需要融资 15-50人",经验10年以上 本科,“发展前景”,Java MySQL ,[浑南区]
华晨宝马,资深Web开发工程师,10k-17k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“15薪”,前端开发 ,[铁西区]
华晨宝马,资深Java开发工程师,10k-17k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“15薪”,Javascript 前端开发 ,[铁西区]
