公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
新天地铁,dba,9k-12k,"信息安全,软件开发 不需要融资 50-150人",经验不限 不限,“全额五险一金、车补、话补、饭补”,Oracle ,[浑南区]
东华,java,8k-15k,"企业服务,数据服务 上市公司 2000人以上",经验3-5年 不限,“上市公司、五险一金、年终奖、弹性工作制”,后端 前端开发 ,[五三]
开科唯识,高级java研发工程师,15k-25k,金融 未融资 500-2000人,经验5-10年 本科,“五险一金、晋升空间、涨薪机制”,银行 支付 Java ,[沈河区]
北京瑞天欣实数据科技有限公司,JAVA开发工程师,5k-10k·13薪,数据服务 A轮 50-150人,经验1-3年 本科,“好前景、补充医疗、每年体检、带薪年假12天/年”,Java ,[沈河区]
彩讯股份,java开发工程师,10k-15k·13薪,"移动互联网,消费生活 上市公司 500-2000人",经验3-5年 本科,“发展前景”,移动互联网 ,[兴华]
聚进科技,JAVA开发工程师,10k-15k,"移动互联网,企业服务 未融资 150-500人",经验5-10年 本科,"“晋升空间大,技能提升快,团队氛围好”",Java 软件开发 ,[浑南区]
友友系统,高级java（沈阳）,11k-20k,数据服务 D轮及以上 150-500人,经验3-5年 本科,“补贴，晋级，13薪”,Java ,[和平区]
开科唯识,中级软件工程师,6k-12k,金融 未融资 500-2000人,经验3-5年 本科,“多次调薪 年终奖 餐补 节日福利 补贴”,支付 后端 Linux/Unix Java MySQL ,[市府]
中研宏瓴,高级java开发工程师,10k-15k·13薪,"人工智能,软件开发 不需要融资 15-50人",经验10年以上 本科,“发展前景”,Java MySQL ,[浑南区]
华晨宝马,资深软件架构师,10k-17k,汽车丨出行 未融资 2000人以上,经验5-10年 本科,“15薪”,架构师 领导力 ,[铁西区]
北京瑞天欣实数据科技有限公司,java高级开发工程师,10k-12k,数据服务 A轮 50-150人,经验3-5年 本科,“七险一金、每年体检、12天带薪年假”,金融 银行 Java ,[惠工]
直真科技,后端采集研发,8k-15k,软件开发 D轮及以上 500-2000人,经验5-10年 本科,“个人成长大，提高块”,架构师 后端 服务器端 分布式 ,[浑南区]
直真科技,web前端开发工程师,8k-15k,软件开发 D轮及以上 500-2000人,经验5-10年 本科,“个人成长大，提高块”,HTML bootstrap Angularjs 架构师 ,[浑南区]
业乔集团,Java开发工程师,5k-7k,其他 不需要融资 500-2000人,经验1-3年 本科,“五险一金，餐补，话补，交通补助”,汽车 企业服务 Java ,[北站]
友友系统,沈阳-Bitsflow产品研发工程师（Java开发）,11k-20k,数据服务 D轮及以上 150-500人,经验5-10年 本科,“补贴，晋级，13薪”,Java 分布式 ,[和平区]
东方国信,高级程序开发工程师-沈阳,7k-13k·13薪,数据服务 上市公司 2000人以上,经验3-5年 本科,“13薪+奖金：5险1金：上市大数据龙头公司”,Java Hadoop 全栈 python爬虫 ,[五三]
东方国信,高级数据挖掘分析工程师-沈阳,7k-13k·13薪,数据服务 上市公司 2000人以上,经验3-5年 本科,“13薪+奖金：5险1金：上市大数据龙头公司”,数据仓库 Hadoop Python 数据挖掘 ,[五三]
业乔集团,java开发工程师,6k-8k,其他 不需要融资 500-2000人,经验3-5年 本科,“五险一金 餐补 话补 交通补助”,汽车 后端 Java ,[沈河区]
东方国信,java高级开发工程师,10k-15k,数据服务 上市公司 2000人以上,经验3-5年 本科,“发展空间广/公司福利完善/团队人性化管理”,Java ,[浑南区]
亿钮曼科技,php开发工程师,6k-8k,移动互联网 未融资 少于15人,经验1-3年 大专,"“双休,五险一金”",PHP ,[浑南区]
倍奋科技,Java开发工程师,4k-6k,"数据服务,信息安全 天使轮 少于15人",经验3-5年 本科,“公司有细分市场的核心竞争力，上升空间大”,医疗健康 大数据 解决方案 数据库 视频流转码 后端 ,[民主]
泰霆科技,沈阳办事处-PHP开发,6k-8k,"教育,软件开发 未融资 15-50人",经验3-5年 不限,“晋升空间”,教育 服务器端 后端 PHP 数据库 ,[和平区]
达因科技,java工程师,6k-10k,企业服务 / /,经验1-3年 不限,“待遇优厚，发展前景广阔”,旅游 移动互联网 Linux/Unix Java MySQL 后端 ,[一经]
马赫科技,全栈工程师,18k-25k,"金融,数据服务 未融资 少于15人",经验3-5年 本科,“薪资待遇优厚，团队创新有活力”,后端 ,[浑南区]
开科唯识,高级java开发工程师,12k-18k,金融 未融资 500-2000人,经验5-10年 本科,“多次调薪 年终奖 餐补 节日福利 补贴”,银行 Java MySQL Linux/Unix ,[市府]
北京瑞天欣实数据科技有限公司,java开发工程师,6k-8k,数据服务 A轮 50-150人,经验1-3年 本科,“12天年假 六险一金 双休”,银行 后端 Linux/Unix ,[惠工]
