公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
友友系统,中高级大数据工程师（沈阳）,11k-20k,数据服务 D轮及以上 150-500人,经验5-10年 本科,“补贴，晋级，13薪”,数据仓库 ,[和平区]
中国信通院,渗透测试工程师（沈阳）,10k-15k,通讯电子 不需要融资 2000人以上,经验不限 本科,"“发展空间大,工作氛围好,专业培训”",通信/网络设备 ,[皇姑区]
宝兰德软件,运维工程师,8k-15k,企业服务 上市公司 150-500人,经验3-5年 大专,“上市公司 发展空间大 五险一金”,移动互联网 K8s/Docker 中间件运维 现场运维 Linux ,[浑南区]
视觉中国,测试工程师自动化,7k-9k,"移动互联网,文娱丨内容 上市公司 500-2000人",经验不限 本科,“发展空间大”,自动化测试 功能测试 ,[沈河区]
北京瑞天欣实数据科技有限公司,数据分析师,7k-12k,数据服务 A轮 50-150人,经验不限 本科,“双休 12天年假 六险一金”,数据分析 ,[惠工]
华晨宝马,SAP 实施顾问,10k-17k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“15薪”,运维 ,[铁西区]
华晨宝马,大数据架构师,10k-17k,汽车丨出行 未融资 2000人以上,经验5-10年 本科,“15薪”,架构师 ,[铁西区]
视觉中国,测试工程师自动化,7k-9k,"移动互联网,文娱丨内容 上市公司 500-2000人",经验3-5年 本科,“上市公司”,自动化测试 功能测试 ,[沈河区]
不凡网络,运维工程师,6k-11k,"移动互联网,不限 天使轮 50-150人",经验1-3年 大专,“发展空间大”,社交 ,[浑南区]
喜旺邦,逆向分析高级工程师,20k-40k,"游戏,信息安全 不需要融资 15-50人",经验3-5年 本科,“薪酬无上限+五险一金双休+技术合伙人”,信息安全 技术管理 ,[浑南区]
辽宁博秋,安全运维实习生,2k-3k,信息安全 不需要融资 少于15人,经验应届毕业生 本科,“五险一金 、双休 、带薪年假”,网络安全运维 系统安全运维 Python MySQL ,[浑南区]
辽宁博秋,安全运维工程师,6k-12k,信息安全 不需要融资 少于15人,经验1-3年 本科,“五险一金 、双休 、带薪年假”,信息安全 安全运维 网络安全运维 Python 系统安全运维 ,[浑南区]
安恒信息,【实习】渗透测试（沈阳）,2k-3k,"信息安全,数据服务 上市公司 500-2000人",经验应届毕业生 本科,“导师一带一”,测试 ,[五里河]
沈阳宝元科技有限公司,系统开发工程师,3k-6k,"企业服务,移动互联网 不需要融资 少于15人",经验3-5年 本科,“初创企业、技术导向”,其他 ERP 软件开发 企业软件 实施 ,[浑南区]
雾马科技,全栈开发工程师,6k-10k,区块链、软件开发 未融资 15-50人,经验1-3年 不限,“公司氛围好，福利多”,移动互联网 工具软件 Java PHP 全栈 区块链 ,[和平区]
东方国信,高级数据挖掘分析工程师-沈阳,7k-13k·13薪,数据服务 上市公司 2000人以上,经验3-5年 本科,“13薪+奖金：5险1金：上市大数据龙头公司”,数据仓库 Hadoop Python 数据挖掘 ,[五三]
马赫科技,全栈工程师,18k-25k,"金融,数据服务 未融资 少于15人",经验3-5年 本科,“薪资待遇优厚，团队创新有活力”,后端 ,[浑南区]
智纤至康,Linux 运维工程师,9k-15k,"移动互联网,医疗丨健康 天使轮 15-50人",经验1年以下 大专,“工作环境好，福利待遇好”,Linux ,[铁西区]
华晨宝马,资深软件架构师,10k-17k,汽车丨出行 未融资 2000人以上,经验5-10年 本科,“15薪”,架构师 领导力 ,[铁西区]
华晨宝马,云平台架构师,10k-17k,汽车丨出行 未融资 2000人以上,经验5-10年 本科,“15薪”,架构师 ,[铁西区]
华晨宝马,AI工程师,10k-17k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“15薪”,人工智能 ,[铁西区]
辽宁博秋,安全运维暑期实习生,1k-2k,信息安全 不需要融资 少于15人,经验应届毕业生 本科,“双休”,信息安全 网络安全 ,[浑南区]
