公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
沃通电子认证服务有限公司,c#开发工程师,11k-20k·13薪,移动互联网 B轮 50-150人,经验5-10年 本科,"“提供早、中、晚餐，,绩效,年终 过节福利”",企业服务 信息安全 .NET C# MySQL ,[南山区]
明源云,C#开发工程师（接口开发）,15k-25k,电商 上市公司 2000人以上,经验3-5年 本科,“平台好 成长空间大”,后端 C#/.NET ,[南山区]
翌日科技,c#软件开发工程师,12k-20k,"硬件,物联网 C轮 50-150人",经验1-3年 本科,“双休，年终奖金，节日福利，生日礼金，旅游”,C#/.NET ,[新安]
相通网络,c# 高级开发工程师,15k-30k,"软件开发,数据服务 不需要融资 50-150人",经验3-5年 大专,“五险一金 偏平化管理”,电商 旅游 ,[华强北]
战吼,【实习】游戏后台 C#/Python 开发,3k-4k,"移动互联网,社交 A轮 15-50人",经验应届毕业生 本科,"“跟大牛学习,可转正，工作气氛活跃”",游戏 信息安全 C#/.NET Java Python ,[科技园]
理邦仪器,c#开发工程师,10k-15k,医疗丨健康 上市公司 500-2000人,经验3-5年 本科,“上市公司五险一金房补餐补齐全”,医疗健康 云计算 全栈 后端 服务器端 数据库 ,[坪山区]
正业玖坤,.net/c#软件开发工程师,7k-12k,其他 上市公司 50-150人,经验1-3年 本科,“五险一金，年终奖金，绩效奖金，带薪年假”,.NET C# ,[南山区]
光启元 RAYKITE,C#/.NET开发工程师,10k-16k,"数据服务,企业服务 不需要融资 150-500人",经验1-3年 本科,“发展前景好。”,大数据 云计算 数据架构 ,[科技园]
勇仕,资深游戏服务端（erlang，C++，C#）,15k-25k,"移动互联网,游戏 上市公司 50-150人",经验3-5年 本科,"“奖金,分红,项目好,出国游”",服务器端 C++ Erlang C#/.NET ,[西丽]
日东科技,c#后端开发,15k-19k·13薪,"软件开发,其他 上市公司 500-2000人",经验3-5年 本科,“上市公司，包住单间宿舍，双休，五险一金等”,后端 ,[新安]
减字科技,c#开发工程师,10k-15k,电商 B轮 150-500人,经验1-3年 本科,“五险一金 成长空间 扁平管理”,C# MySQL ,[南山区]
天方达健信,c#开发,6k-12k,医疗丨健康 不需要融资 150-500人,经验1-3年 本科,“待遇优厚，成长空间大”,医疗健康 ,[园岭]
甲田,C# 开发工程师（WPF方向）,6k-8k,"移动互联网,医疗丨健康 不需要融资 50-150人",经验1-3年 大专,"“福利多,氛围融洽”",后端 ,[科技园]
鉅億科技,c#开发工程师,10k-15k·13薪,"移动互联网,电商 未融资 150-500人",经验1-3年 本科,“非外包 富士康直招 周末双休 福利完善”,后端 ,[龙华新区]
深圳市新威尔电子有限公司,c#开发工程师(211/985本科应届生）,6k-11k,其他 不需要融资 500-2000人,经验1年以下 本科,“发展空间大”,C# ,[福田区]
中钞科信,软件开发工程师c#,12k-16k,消费生活 不需要融资 150-500人,经验不限 硕士,"“管食宿,出差补贴,六险贰金”",图像处理 自动化 机器学习 解决方案 ,[莲花二村]
万兴科技集团股份有限公司,c#开发工程师,18k-25k,移动互联网 上市公司 500-2000人,经验5-10年 本科,“上市公司 团队氛围好 成长空间大”,移动互联网 ,[深圳湾]
大漠大智控,无人机应用开发工程师(C#/.NET方向),10k-20k,其他 天使轮 50-150人,经验应届毕业生 本科,“五险一金、带薪年假、定期体检、发展空间大”,.NET C# ,[南山区]
大漠大智控,无人机应用开发工程师(C#/.NET方向),15k-30k,其他 天使轮 50-150人,经验1-3年 本科,“五险一金、带薪年假、定期体检、发展空间大”,云平台运维 系统安全运维 ,[南山区]
思迪信息,c#开发工程师,10k-16k,"移动互联网,金融 未融资 500-2000人",经验1-3年 大专,“六险一金、周末双休、带薪年假”,C# ,[深圳湾]
深圳市哥伦布数据科技有限公司,C#中级工程师,12k-18k,金融 不需要融资 50-150人,经验3-5年 本科,“周末双休、定期团建、年底双薪、有挑战性”,金融 C#/.NET 后端 ,[大冲]
云途物流,.net软件工程师/C#,12k-24k,物流丨运输 B轮 2000人以上,经验3-5年 大专,“项目奖金 下午茶 地铁口 五险一金”,物流 电商 MySQL 数据库 C#/.NET Winform ,[坂田]
GYENNO,C#开发工程师,15k-25k,医疗丨健康 B轮 50-150人,经验3-5年 本科,"“期权计划,专业培训,出国交流,酷环境”",医疗健康 ,[南山区]
爱路恩济,C#开发工程师,15k-18k,"数据服务,信息安全 未融资 15-50人",经验1-3年 本科,“六险一金、年终奖、国外技术、过节福利”,移动互联网 企业服务 C#/.NET 平台 后端 架构师 ,[南油]
东舟技术,C#,12k-20k,"硬件,软件开发 未融资 50-150人",经验3-5年 本科,“五险一金、双休、员工旅游、定期体检”,C#/.NET 自动化 图像处理 ,[宝安区]
云间网络,c#,8k-10k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 大专,“每月有800-3000元的绩效奖金”,C#/.NET .NET Wpf ,[科技园]
车安科技,C#软件工程师,10k-15k,物联网 未融资 150-500人,经验3-5年 本科,“双休 包住 体检 旅游 超长年假”,云计算 智能硬件 C#/.NET C# .NET ,[南山区]
车安科技,C#高级软件工程师,20k-25k,物联网 未融资 150-500人,经验5-10年 本科,“双休 包住 体检 旅游 超长年假”,云计算 大数据 C#/.NET .NET C# C++ ,[南山区]
智融信达,c#开发工程师,12k-15k,"移动互联网,数据服务 未融资 50-150人",经验不限 本科,“薪资高”,C# ,[南山区]
博睿互联,C# .NET软件开发工程师,8k-15k,"移动互联网,硬件 不需要融资 2000人以上",经验1-3年 本科,"“大平台,年终奖,项目奖”",C#/.NET 软件开发 ,[龙华新区]
深圳前海金房在线开发,C#/.NET软件工程师,13k-20k,"房产家居,软件开发 天使轮 15-50人",经验5-10年 本科,“周末双休、优秀研发团队，不打卡，环境好”,房产服务 .NET C# MySQL 数据库 ,[西丽]
海易联科技,c#,8k-12k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 本科,“五险一金，餐补，旅游，奖金”,前端开发 ,[海上世界]
爱家教,C#开发工程师,7k-12k·13薪,"消费生活,教育 未融资 15-50人",经验不限 本科,"“全球化,弹性时间,交通方便,全栈锻炼”",教育 移动互联网 后端 ,[新安]
衍盛中国,C#系统工程师,15k-20k,金融 不需要融资 15-50人,经验1-3年 本科,“提供有竞争性的薪酬”,互联网金融 C#/.NET Windows Shell Python ,[大冲]
万物互联,C#开发工程师,12k-20k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 本科,“物流增值服务，全员分红”,物流 电商 OA SAAS 企业软件 CRM ,[宝安区]
普特生物医学,c#软件工程师,18k-30k,医疗丨健康 不需要融资 150-500人,经验5-10年 本科,“周末双休 项目奖金 地铁沿线 发展机会”,医疗健康 ,[西丽]
富晋天维,C# WPF开发工程师,10k-12k,"信息安全,数据服务 未融资 150-500人",经验1-3年 本科,“五险一金员工旅游包吃包住通讯交通补贴”,通信/网络设备 移动互联网 C#/.NET Javascript Wpf 后端 ,[南油]
宸平信息技术,C#软件工程师,8k-12k,"数据服务,通讯电子 未融资 少于15人",经验1-3年 大专,“光通信行业 五险一金 5天8小时制”,通信/网络设备 工具软件 后端 Winform 自动化 软件开发 ,[新安]
深圳平安通信科技有限公司,C#工程师,15k-25k,消费生活 不需要融资 500-2000人,经验3-5年 本科,“扁平化管理 牛人多 发展前景广阔”,C#/.NET Wpf ,[南山区]
财盈通,c#（wpf方向）,10k-20k,"移动互联网,电商 不需要融资 500-2000人",经验1-3年 本科,“六险一金，定期体检、团建娱乐聚餐”,电商 移动互联网 ,[平湖]
创富港,c#开发工程师,7k-9k·13薪,"电商,企业服务 上市公司 500-2000人",经验1年以下 本科,“空间大；绩效奖金”,C# MySQL ,[福田区]
中兴视通,WEB前端开发工程师（懂C#）,15k-20k·14薪,移动互联网 不需要融资 50-150人,经验3-5年 本科,“中兴子公司 职位稳定 福利好”,Web前端 前端开发 jQuery ,[南山区]
拓桥互联网系统,c#软件工程师,10k-15k,物联网 天使轮 15-50人,经验1-3年 本科,“团队凝聚力强，行业发展前景大”,信息安全 通信/网络设备 C# MySQL 后端 ,[福永]
明锐理想,c#软件开发工程师,12k-18k·14薪,其他 A轮 50-150人,经验3-5年 本科,“年轻化 扁平化管理 季度奖金 项目奖金”,C# ,[西丽]
艾姆诗（IMC）,高级软件工程师C#,12k-24k,电商 C轮 500-2000人,经验3-5年 大专,“13薪 晋升通道 公司氛围nice”,电商 技术管理 高级技术管理 ,[龙华新区]
深圳市新威尔电子有限公司,C#软件工程师,10k-15k,其他 不需要融资 500-2000人,经验1-3年 本科,“生日礼品、过节费、公司体检、旅游定期组织”,C#/.NET C# .NET MySQL ,[下梅林]
助宝科技,中级软件.NET/C#开发工程师,15k-20k,"电商,企业服务 天使轮 15-50人",经验5-10年 本科,"“.NET,公司旅游”",软件开发 Java ,[布心]
众望达光电,上位机软件工程师(C#或Labview),8k-12k,通讯电子 不需要融资 15-50人,经验1-3年 本科,“上位机软件工程师(C#或Labview)”,C++ C ,[宝安区]
