公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
Wisecard，慧卡科技,C++,15k-25k,"信息安全,金融 未融资 15-50人",经验1-3年 本科,“稳定 发展 和谐的工作环境”,,[科技园]
世嘉传媒,c++,20k-40k·13薪,企业服务 不需要融资 150-500人,经验3-5年 大专,“团队nice，福利待遇优厚”,Python Lua 数据库 ,[南山区]
极限,C++,15k-30k,"移动互联网,信息安全 不需要融资 50-150人",经验1-3年 本科,“专业培训 晋升机会 年终奖励”,信息安全 大数据 后端 ,[罗湖区]
乐易网络,C++,10k-15k,"移动互联网,游戏 不需要融资 150-500人",经验应届毕业生 本科,“丰厚年终奖，大牛带教，出国游”,游戏 服务器端 分布式 Linux/Unix ,[大冲]
字节跳动,客户端C++研发工程师-深圳IES,20k-40k,文娱丨内容 C轮 2000人以上,经验不限 本科,“弹性工作，免费三餐，租房补贴，过亿用户”,音视频处理 ,[南山区]
字节跳动,C++研发工程师-抖音短视频,25k-50k,文娱丨内容 C轮 2000人以上,经验1-3年 本科,“高薪期权，弹性工作，租房补贴，过亿用户”,音视频处理 ,[南山区]
富途,c/c++后台开发,15k-30k,金融 上市公司 500-2000人,经验3-5年 本科,"“腾讯系团队,扁平管理,六险一金”",后端 C C++ ,[南山区]
富途,资讯与社区-c/c++后台开发工程师,15k-30k,金融 上市公司 500-2000人,经验1-3年 不限,"“腾讯系团队,扁平管理,六险一金”",后端 服务器端 ,[南山区]
Wisecard，慧卡科技,C++开发工程师,10k-20k,"信息安全,金融 未融资 15-50人",经验1-3年 本科,“稳定 发展 和谐的工作环境”,C++ ,[科技园]
软牛科技,高级C++工程师(多媒体方向),20k-40k·15薪,信息安全 不需要融资 50-150人,经验3-5年 本科,“平台大，发展好”,C++ ,[宝安区]
威尔视觉,linux c/c++开发工程师,20k-35k·13薪,"移动互联网,文娱丨内容 天使轮 50-150人",经验5-10年 本科,“不打卡 13薪 六险一金 年假10天”,C++ 音视频 软件开发 云计算 ,[南山区]
前海实信达,c++开发工程师,11k-20k,"软件开发,其他 不需要融资 150-500人",经验3-5年 本科,"“富有竞争机制的薪酬体系,员工福利”",C++ 软件开发 ,[宝安区]
松茂科技,C++开发工程师（中级）,10k-20k,移动互联网 不需要融资 50-150人,经验1-3年 大专,“十点上班，年终奖，技术分享，扁平管理”,C++ 服务器端 Windows ,[新安]
松茂科技,C++开发工程师（中级）,10k-20k,移动互联网 不需要融资 50-150人,经验1-3年 大专,“十点上班，年终奖，业务稳定，技术分享”,C++ ,[新安]
盈嘉互联,C++开发工程师（深圳）,18k-36k,"移动互联网,企业服务 不需要融资 50-150人",经验5-10年 本科,"“五险一金,职位晋升,员工福利,股票期权”",C++ ,[黄木岗]
深信服科技集团,linux c/c++开发工程师,14k-28k,"信息安全,企业服务 不需要融资 2000人以上",经验不限 本科,"“平台大,发展快,待遇好,福利棒”",服务器端 C++ C Linux/Unix ,[南山区]
松茂科技,C++开发工程师（中级）,10k-20k,移动互联网 不需要融资 50-150人,经验1-3年 大专,“十点上班，年终奖，技术分享，扁平管理”,C++ 服务器端 Windows ,[新安]
微诺,C／C++后台开发,15k-25k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“结构扁平 福利好 技术氛围浓厚”,金融 服务器端 ,[宝安区]
盛迪嘉支付,C/C++开发工程师（IM项目）,15k-20k·13薪,"移动互联网,金融 不需要融资 500-2000人",经验3-5年 本科,“团队氛围好，发展前景高”,即时通讯 社交 C++ ,[科技园]
致趣科技,C++高级开发工程师,20k-30k,硬件 天使轮 15-50人,经验3-5年 本科,“技术大牛，弹性工作时间和地点”,C++ C 软件开发 架构师 ,[车公庙]
乐至科技,LTE核心网工程师（C/C++）,20k-40k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“薪酬和能力成正比”,LTE ,[后海]
MICO,C++高级开发工程师,20k-35k·14薪,移动互联网 A轮 150-500人,经验3-5年 本科,“绩效奖金、团队nice、福利完善”,社交 直播 ,[南山区]
优品财富管理有限公司,linux c/c++开发工程师,8k-15k,金融 未融资 500-2000人,经验1-3年 不限,“朝九晚六，五险一金，双休，免费体检”,移动互联网 后端 C++ Linux/Unix ,[大冲]
上海广升,linux c/c++开发工程师,10k-20k,移动互联网 上市公司 150-500人,经验3-5年 本科,“福利假期 弹性时间 免费体检 一年多薪”,C C++ ,[上沙]
茂源资本,c++高级开发工程师,25k-50k·15薪,"电商,金融 不需要融资 50-150人",经验3-5年 本科,“期权 员工基金 扁平化管理 高年终高福利”,金融 C++ 服务器端 后端 ,[科技园]
茂源资本,c++开发工程师,13k-25k·15薪,"电商,金融 不需要融资 50-150人",经验1-3年 本科,“扁平化管理 高年终高福利 员工基金 无息贷款”,金融 C++ 服务器端 后端 ,[科技园]
沃通电子认证服务有限公司,C++开发工程师,11k-20k·13薪,移动互联网 B轮 50-150人,经验3-5年 本科,“双休 年底奖 绩效奖 餐补 水果糕点”,C++ MySQL 后端 云计算 ,[南山区]
卖座网,java/C/C++/Golang后台开发工程师,13k-25k,"移动互联网,电商 B轮 500-2000人",经验3-5年 本科,“腾讯系；自研平台；技术大牛多；技术氛围好”,Golang MySQL ,[科技园]
卖座网,全栈工程师（java/C/C++/Golang）,18k-30k,"移动互联网,电商 B轮 500-2000人",经验3-5年 本科,“腾讯系；自研平台；技术大牛多；技术氛围好”,Golang Linux/Unix 后端 平台 ,[科技园]
紫川软件,C++开发工程师,9k-16k,"电商,金融 不需要融资 500-2000人",经验3-5年 本科,“周末双休 节日福利 员工旅游 五险一金”,服务器端 C++ Wpf Winform ,[前海]
立新出行,C++后台开发工程师,15k-30k,"电商,消费生活 不需要融资 50-150人",经验3-5年 本科,“公积金全额10%，免费零食，周末双休”,C ,[宝安区]
优必选科技,高级C++开发工程师,20k-40k,"移动互联网,硬件 C轮 500-2000人",经验10年以上 本科,"“弹性上班,机器人,氛围好”",Linux/Unix 服务器端 ,[南山区]
中青宝,中高级c++开发工程师,20k-30k,"移动互联网,游戏 上市公司 500-2000人",经验3-5年 本科,“团队配置高”,游戏 Lua C++ ,[南山区]
智城时代,高级C++开发工程师（浏览器方向）,25k-35k,"移动互联网,其他 不需要融资 50-150人",经验3-5年 本科,"“发展空间大,年底双薪，出国旅游，福利丰富”",C++ ,[南山区]
智城时代,C++开发工程师（浏览器初级）,8k-15k,"移动互联网,其他 不需要融资 50-150人",经验1-3年 本科,"“发展空间大,年底双薪，出国旅游，福利丰富”",C++ ,[南山区]
金证股份,C++中级开发工程师,14k-28k,金融 上市公司 2000人以上,经验不限 本科,“团队实力强 技术氛围好 发展前景优”,C++ ,[大冲]
淘乐网络,核心服务器开发工程师【C++】,15k-25k,游戏 不需要融资 150-500人,经验不限 本科,"“包食宿,待遇优,弹性上下班”",游戏 移动互联网 C C++ Python ,[科技园]
联软科技,c++,15k-25k,信息安全 A轮 500-2000人,经验3-5年 本科,“发展前景好”,驱动开发 内核开发 ,[科技园]
深信服科技集团,高级LINUX C/C++开发工程师,25k-40k,"信息安全,企业服务 不需要融资 2000人以上",经验3-5年 本科,"“平台大,福利好,薪资高”",服务器端 C C++ Linux/Unix ,[南山区]
万睿科技,音视频开发工程师（C++）,15k-25k,硬件 不需要融资 500-2000人,经验5-10年 本科,"“五险一金,餐补，双休,通讯补贴”",视频 智能硬件 C++ C ,[福田区]
