公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
Q房网,Java开发工程师,12k-24k·13薪,消费生活 上市公司 500-2000人,经验3-5年 大专,"“五险一金,做五休二,年终奖金,业绩提成”",Java ,[科技园]
鹏元征信有限公司,高级java开发工程师,20k-35k,其他 不需要融资 150-500人,经验5-10年 本科,“创新研发、扁平化 、平台好”,Java ,[福田区]
吉比特,Java开发工程师,10k-20k,游戏 上市公司 500-2000人,经验应届毕业生 本科,“房补餐补、年终奖金、旅游奖金、带薪假”,游戏 Java ,[南山区]
鲲天下,Java开发工程师,14k-24k,"社交,软件开发 不需要融资 15-50人",经验5-10年 大专,“环境优 福利好 发展前景好 资金充足”,社交 移动互联网 Java 后端 服务器端 ,[科技园]
吉比特,高级java开发工程师,20k-30k,游戏 上市公司 500-2000人,经验3-5年 本科,"“上市公司,福利好,平台大,发展空间大”",Java ,[南山区]
Shopee,Java开发工程师,40k-60k,电商 上市公司 500-2000人,经验5-10年 本科,“年终奖金，带薪年假，出海业务”,Golang Java Python C++ ,[科技园]
犀照科技,java开发工程师,10k-15k,"软件开发,房产家居 不需要融资 15-50人",经验1-3年 本科,“犀照科技欢迎有梦想有能力的你加入！”,移动互联网 Java ,[深圳]
Q房网,java高级开发工程师,17k-23k,消费生活 上市公司 500-2000人,经验5-10年 本科,“周末双休、年度旅游、福利奖金”,Java 分布式 数据库 ,[科技园]
金蝶,java开发工程师,10k-20k,企业服务 上市公司 2000人以上,经验3-5年 本科,“大平台发展机遇广福利待遇好团队氛围好”,后端 Java ,[科技园]
EC,java高级开发工程师,15k-25k·15薪,"移动互联网,企业服务 C轮 150-500人",经验3-5年 本科,“腾讯系公司，扁平化管理”,企业服务 移动互联网 Java MySQL ,[南山区]
信用卡360,java开发工程师,12k-17k,金融 天使轮 50-150人,经验3-5年 本科,“年终奖，五险一金，生日会，团建”,Java ,[福田区]
海万科技,JAVA,11k-22k,"移动互联网,金融 不需要融资 500-2000人",经验5-10年 大专,"“新技术,交通便利,优质项目,大平台”",移动互联网 后端 分布式 ,[购物公园]
欣星科技,高级java开发工程师,20k-30k,人工智能 / /,经验5-10年 大专,“高薪，老板nice，出国游”,Java ,[新安]
众云网,java开发工程师,8k-15k·13薪,"企业服务,信息安全 不需要融资 50-150人",经验不限 本科,“双休，年终奖，节假日福利”,电商 Java ,[科技园]
深圳市泛融云计算研究院,java,18k-36k,"企业服务,数据服务 未融资 50-150人",经验5-10年 不限,“博士团队 氛围宽松 提升快 能学到新技术”,后端 平台 J2EE 云计算 ,[科技园]
鹏元征信有限公司,java开发工程师,18k-25k·14薪,其他 不需要融资 150-500人,经验3-5年 本科,“互联网氛围、技术创新、平台好”,Java ,[福田区]
富德生命人寿总公司电子商务中心,java开发,9k-18k·15薪,"电商,金融 D轮及以上 2000人以上",经验1-3年 本科,“福利好，发展空间大，互联网保险，前景可观”,电商 保险 ,[福田区]
法本信息,java开发工程师,12k-17k,"企业服务,软件开发 上市公司 2000人以上",经验3-5年 大专,“阿里高P大牛带队，全球化复杂业务的历练场景。”,电商 物流 Java ,[宝安区]
上海中软华腾软件系统有限公司,java开发工程师,15k-25k,"企业服务,金融 上市公司 2000人以上",经验3-5年 本科,“五险一金 加班补助”,Java ,[坂田]
金蝶,java开发工程师,15k-30k,企业服务 上市公司 2000人以上,经验3-5年 本科,“技术大咖、核心团队”,云计算 后端 ,[科技园]
有咖互动,java开发工程师,15k-25k·14薪,移动互联网 B轮 150-500人,经验3-5年 本科,“微博控股，扁平化管理，七险一金，弹性工时”,Java MySQL 分布式 服务器端 ,[白石洲]
Q房网,java开发工程师,12k-20k·13薪,消费生活 上市公司 500-2000人,经验3-5年 本科,"“五险一金,绩效奖金,带薪年假,年度体检”",房产服务 Java C++ ,[白石洲]
金蝶,java开发工程师,10k-20k,企业服务 上市公司 2000人以上,经验3-5年 本科,“大平台发展机遇广福利待遇好团队氛围好”,后端 Java ,[科技园]
世强,Java开发工程师,11k-22k,"电商,消费生活 不需要融资 500-2000人",经验3-5年 本科,“15薪！大平台！行业标杆 ！扁平管理！”,后端 Java ,[龙岗区]
深圳市泛融云计算研究院,java,18k-36k,"企业服务,数据服务 未融资 50-150人",经验5-10年 不限,“博士团队 氛围宽松 提升快 能学到新技术”,后端 平台 J2EE 云计算 ,[科技园]
森香,java高级开发工程师,20k-30k,"移动互联网,金融 不需要融资 50-150人",经验5-10年 本科,"“节日福利,生日福利,周末双休,年终奖”",支付 后端 分布式 Java ,[南山医院]
中正信息,高级java开发工程师,20k-30k,"移动互联网,消费生活 A轮 50-150人",经验5-10年 本科,"“上升空间大,期权激励,深大地铁口”",后端 服务器端 中间件 ,[南山区]
易杰,java开发工程师,12k-17k,"移动互联网,社交 上市公司 150-500人",经验3-5年 本科,“天源迪科子公司，提供专业保险行业解决方案”,Java ,[无]
珍爱网,java开发工程师,15k-25k,"社交,消费生活 不需要融资 2000人以上",经验3-5年 本科,“大公司 创意项目”,社交 移动互联网 后台 用户增长 社交电商 ,[科技园]
鲲天下,java高级开发工程师,15k-25k,"社交,软件开发 不需要融资 15-50人",经验5-10年 大专,“一档医保 餐费补贴交通补贴通讯补贴 年终”,社交 移动互联网 Java 后端 软件开发 ,[科技园]
范特西,java开发工程师,12k-20k,游戏 上市公司 150-500人,经验1-3年 大专,“上市公司、福利待遇好、氛围好、周末双休”,游戏 后端 Java ,[科技园]
世强,Java开发工程师,11k-22k,"电商,消费生活 不需要融资 500-2000人",经验3-5年 本科,“15薪！大平台！行业标杆 ！扁平管理！”,后端 Java ,[龙岗区]
瑞尚信息,java开发工程师,10k-20k,"人工智能,软件开发 未融资 15-50人",经验3-5年 本科,“五险一金；发展空间；节日福利”,Hadoop MySQL 分布式 中间件 ,[福田区]
武汉佰钧成技术有限责任公司,java开发工程师,20k-40k,移动互联网 不需要融资 2000人以上,经验5-10年 本科,“六险一金、年度体检、节假日福利”,后端 ,[龙华新区]
融商科技,java高级开发工程师,10k-20k,其他 未融资 50-150人,经验3-5年 大专,“高薪、老板nice、氛围好”,Java ,[龙岗区]
格创东智,java开发工程师,13k-18k·14薪,"移动互联网,硬件 不需要融资 500-2000人",经验3-5年 本科,“前景好，平台大，福利多”,Java ,[科技园]
鲲天下,Java开发工程师,14k-24k,"社交,软件开发 不需要融资 15-50人",经验5-10年 大专,“环境优 福利好 发展前景好 资金充足”,社交 移动互联网 Java 后端 服务器端 ,[科技园]
小安时代,高级java开发工程师,20k-30k,"移动互联网,金融 B轮 150-500人",经验5-10年 本科,“周末双休 带薪年假 定期团建 团队旅游”,互联网金融 ,[科技园]
前海实信达,java开发工程师,12k-20k,"软件开发,其他 不需要融资 150-500人",经验3-5年 本科,“有竞争力的薪酬体系，员工福利”,Java ,[宝安区]
法本信息,java开发工程师,15k-18k,"企业服务,软件开发 上市公司 2000人以上",经验5-10年 本科,“福利待遇优厚、五险一金”,金融 Java 分布式 ,[福田区]
网新新思,java开发工程师,12k-14k·13薪,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 本科,“五险一金 加班提供晚餐”,Java ,[南山区]
无秘,高级java开发工程师,30k-45k·15薪,"移动互联网,金融 B轮 150-500人",经验3-5年 本科,“大牛多 待遇丰厚 扁平化”,教育 移动互联网 Java 后端 ,[西丽]
网新新思,java开发工程师,10k-14k·13薪,"移动互联网,企业服务 上市公司 500-2000人",经验3-5年 本科,“腾讯系 上市集团 年轻 氛围活跃”,金融 ,[南山区]
快手,Java开发工程师,25k-50k,文娱丨内容 D轮及以上 2000人以上,经验3-5年 本科,“薪资待遇有竞争力”,游戏 Java 后端 ,[南山区]
多喜娃,java工程师,5k-10k,"医疗丨健康,消费生活 不需要融资 500-2000人",经验应届毕业生 硕士,“五险一金 包吃 行业发展前景佳”,电商 Java 分布式 ,[龙岗]
东华,java工程师,10k-15k,"企业服务,数据服务 上市公司 2000人以上",经验1-3年 大专,“上市公司 五险一金”,金融 Java 软件开发 后端 ,[蛇口]
爱朗格瑞,java开发工程师,10k-15k,"企业服务,其他 不需要融资 150-500人",经验3-5年 本科,“福利好，氛围好”,Java 后端 MySQL 数据库 ,[南山区]
顺丰科技有限公司,Java开发工程师,23k-38k,"软件开发,数据服务 不需要融资 2000人以上",经验5-10年 本科,“自由展示才华”,移动互联网 物流 MySQL 全栈 数据库 后端 ,[南山区]
利谱信息,java开发工程师,15k-25k,信息安全 未融资 50-150人,经验5-10年 本科,“周末双休 五险一金 发展空间”,即时通讯 大数据 docker 后端 服务器端 ,[南山医院]
金蝶天燕,高级java开发工程师,15k-25k,企业服务 上市公司 150-500人,经验5-10年 本科,“发展空间大 平台大 福利好 底层开发”,分布式 中间件 软件开发 云计算 ,[大冲]
数池科技,java高级开发工程师,15k-25k,"企业服务,社交 天使轮 15-50人",经验3-5年 本科,“技术大牛多 团队快速成长 晋升空间大”,广告营销 工具软件 Java MySQL 后端 ,[科技园]
珍爱网,java开发工程师,15k-25k,"社交,消费生活 不需要融资 2000人以上",经验3-5年 本科,“大公司 创意项目”,社交 移动互联网 后台 用户增长 社交电商 ,[科技园]
