公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
吉比特,前端开发工程师,10k-20k,游戏 上市公司 500-2000人,经验应届毕业生 本科,“房补餐补、年终奖金、旅游奖金、带薪假”,游戏 ,[南山区]
字节跳动,前端工程师/架构师-游戏方向,25k-50k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,"“六险一金,股票期权,免费三餐,租房补贴”",web前端 ,[南山区]
吉比特,前端开发工程师,13k-25k,游戏 上市公司 500-2000人,经验3-5年 本科,“上市公司 发展空间大 薪资福利好”,Web前端 ,[南山区]
喜马拉雅,前端开发工程师,12k-20k·15薪,"移动互联网,文娱丨内容 D轮及以上 2000人以上",经验3-5年 本科,“团队氛围好 学习成长空间大”,前端开发 Vue React ,[宝安区]
Q房网,前端开发工程师,12k-20k·13薪,消费生活 上市公司 500-2000人,经验3-5年 大专,"“五险一金,绩效奖金,带薪年假,年度体检”",前端开发 ,[科技园]
字节跳动,前端工程师,30k-50k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“六险一金,餐补”",扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[南山区]
众云网,前端开发工程师,6k-12k,"企业服务,信息安全 不需要融资 50-150人",经验1-3年 不限,"“氛围好,五险一金，出国旅游，股票期权”",移动端 ,[科技园]
九牛门网络,前端开发工程师,6k-12k,"软件开发,其他 未融资 15-50人",经验1-3年 不限,“技术大牛作伴，前端进步无限”,汽车 电商 HTML5 Vue CSS Javascript ,[深圳]
ASINKING,前端开发工程师,10k-15k,"电商,企业服务 A轮 50-150人",经验1-3年 本科,“发展前景好，团队实力强，福利待遇好”,前端开发 Vue ,[西丽]
一面数据,前端工程师,10k-18k,"移动互联网,数据服务 A轮 50-150人",经验不限 本科,“大数据人工智能；名校系大牛；技术氛围浓”,大数据 ,[科技园]
德科科技,前端开发工程师,7k-14k,企业服务 未融资 15-50人,经验不限 本科,"“五险一金,双休,工作环境”",前端开发 HTML5 Javascript ,[西丽]
爱问科技,前端开发工程师,18k-22k,"移动互联网,社交 不需要融资 150-500人",经验3-5年 本科,“五险一金 带薪年假 年终奖金 年度调薪”,移动互联网 前端开发 HTML5 ,[大冲]
易杰,前端开发工程师,10k-15k,"移动互联网,社交 上市公司 150-500人",经验1-3年 本科,“上市公司，福利好，平台佳”,大数据 企业服务 前端开发 Vue HTML5 CSS ,[科技园]
易杰,前端开发工程师,10k-15k,"移动互联网,社交 上市公司 150-500人",经验3-5年 本科,“天源迪科子公司，提供专业保险行业解决方案”,保险 移动端 前端开发 Web前端 ,[无]
奇迅新游,前端开发工程师,10k-20k·13薪,"移动互联网,游戏 未融资 150-500人",经验不限 本科,“周末双休 轻松工作氛围 丰厚福利”,游戏 Web前端 前端开发 Vue React ,[科技园]
柚子街,前端开发工程师,10k-15k,"移动互联网,消费生活 A轮 15-50人",经验1-3年 大专,"“福利多,业绩激励,双休”",HTML5 CSS Javascript ,[南山区]
十方融海集团,前端开发工程师,10k-16k·13薪,"移动互联网,教育 A轮 150-500人",经验1-3年 本科,“福利多多”,教育 前端开发 ,[科技园]
Q房网,前端开发工程师,10k-18k·13薪,消费生活 上市公司 500-2000人,经验1-3年 大专,"“五险一金,绩效奖金,带薪年假,周末双休”",前端开发 ,[科技园]
八爪鱼,前端架构师,20k-40k,数据服务 A轮 50-150人,经验5-10年 本科,“AI+大数据；氛围活跃；周末双休；”,架构师 ,[南山区]
深圳企域数字科技有限...,前端开发工程师,14k-20k,"企业服务,软件开发 天使轮 50-150人",经验3-5年 大专,“弹性工作 发展迅速 氛围超好”,前端开发 ,[大冲]
中正信息,前端工程师,10k-20k,"移动互联网,消费生活 A轮 50-150人",经验3-5年 本科,"“上升空间大,期权激励,深大地铁口,科技园地标”",Node.js Web前端 ,[南山区]
