公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
盛迪嘉支付,数据库开发工程车（DBA）,15k-30k,"移动互联网,金融 不需要融资 500-2000人",经验1-3年 本科,“福利待遇好，发展前景大”,ETL DBA ,[科技园]
火币网,高级Mysql DBA工程师,20k-35k,金融 不需要融资 2000人以上,经验5-10年 本科,“餐补 交通补贴 五险一金 商业保险”,MySQL ,[大冲]
联龙博通,数据库开发,11k-16k,"移动互联网,电商 D轮及以上 2000人以上",经验3-5年 本科,“餐补、五险一金、十三薪、加班费”,数据仓库 Spark MySQL ,[大冲]
爱可生,MySQL DBA（实习）,3k-4k,数据服务 不需要融资 150-500人,经验不限 本科,“新三板，团建，餐补，旅游”,DBA MySQL ,[大冲]
爱可生,MySQL DBA（SZ）,10k-20k,数据服务 不需要融资 150-500人,经验不限 大专,“新三板 年终奖 各种团建”,DBA MySQL 数据库 ,[大冲]
博奥特科技,数据库开发工程师/大数据开发,14k-19k,"移动互联网,金融 未融资 500-2000人",经验3-5年 本科,“五险一金 不加班”,互联网金融 Hive 数据仓库 ETL Oracle ,[科技园]
顺丰科技有限公司,JCY-DBA高级工程师（MongoDB方向）,20k-40k,"软件开发,数据服务 不需要融资 2000人以上",经验5-10年 本科,“团队氛围好、平台巨大、空间无限”,数据库 ,[大冲]
博奥特科技,数据库开发工程师,14k-18k,"移动互联网,金融 未融资 500-2000人",经验3-5年 本科,“工作氛围好，转内机会”,ETL Oracle ,[福田区]
字节跳动,云数据库研发工程师-RDS MySQL,30k-60k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金，高薪期权，弹性工作，免费三餐”,后端开发 ,[南山区]
字节跳动,数据库工程师（DBA）,35k-70k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金，高薪期权，弹性工作，免费三餐”,后端开发 ,[南山区]
联龙博通,数据库开发工程师,10k-15k·13薪,"移动互联网,电商 D轮及以上 2000人以上",经验1-3年 本科,“五险一金 年终奖 公司餐补 加班费”,DB2 ,[南山区]
深圳维京人,数据库开发工程师,12k-15k,"游戏,文娱丨内容 不需要融资 50-150人",经验3-5年 大专,"“支持力度大,工作氛围好,薪资福利好”",信息安全 数据库 ,[科技园]
陀螺科技,大数据开发（图数据库方向）,15k-30k,"广告营销,文娱丨内容 天使轮 150-500人",经验3-5年 大专,“新颖好玩 氛围好 年轻化 发展大 双休制”,股票期权 带薪年假 扁平化 交通补助 ,[福田区]
森香,数据库管理DBA,15k-25k,"移动互联网,金融 不需要融资 50-150人",经验5-10年 本科,"“节日福利,生日福利,周末双休,年终奖”",数据库管理员 数据库开发 DBA Oracle ,[南山医院]
深圳市君仁科技发展有限公司,大数据开发工程师（DBA/数仓建设）,18k-22k·13薪,移动互联网 未融资 50-150人,经验1-3年 本科,“只要你有梦想，我们就给你一个飞舞的平台。”,数仓工程师 MySQL MongoDB DBA ,[科技园]
深圳嘉立创,DBA数据库工程师,15k-30k,"电商,企业服务 不需要融资 500-2000人",经验5-10年 本科,“平台稳点，扁平化管理，广阔发展空间”,电商 数据库管理员 大数据运维 MySQL 数据库运维 ,[福田区]
Gridsum 国双,资深大数据DBA工程师,25k-35k,"数据服务,企业服务 上市公司 500-2000人",经验5-10年 本科,“上市公司 前景佳 氛围好 牛人多”,云计算 大数据 ETL DBA Oracle MySQL ,[岗厦]
金千枝软件,数据库工程师（DBA）,25k-35k,"企业服务,数据服务 不需要融资 150-500人",经验3-5年 本科,“五险一金 下午茶 节日福利”,运维 DBA ,[罗湖区]
有伴科技,DBA数据库工程师,30k-40k·13薪,"移动互联网,教育 B轮 150-500人",经验5-10年 本科,“IP品牌 过亿用户 有爱团队 发展空间”,DBA MySQL 数据库运维 Linux ,[科技园]
传易,DBA(MYSQL数据库管理员)(J10046),15k-30k·14薪,"移动互联网,社交 不需要融资 150-500人",经验3-5年 本科,“发展前景好，平台背景好，有机遇，有挑战”,支付 移动互联网 MySQL 数据库运维 ,[南山区]
云路信息,DBA(双休、年终奖金),15k-30k·13薪,"物流丨运输,软件开发 不需要融资 150-500人",经验3-5年 大专,“周末双休、五险一金、年终奖金”,物流 DBA ,[科技园]
满金坝,数据库管理员（DBA）,15k-25k,电商 不需要融资 50-150人,经验3-5年 大专,“发展前景 周末双休”,DBA Oracle ,[福田区]
Anker,高级dba,15k-30k·14薪,移动互联网 不需要融资 500-2000人,经验5-10年 本科,“公司平台，职业发展”,DevOps/AIOps DBA MySQL MongoDB ,[南山区]
联龙博通,数据库开发工程师,9k-15k·13薪,"移动互联网,电商 D轮及以上 2000人以上",经验1-3年 本科,“平台好，福利高”,数据库开发 Oracle ,[南山区]
全棉时代,DBA 数据库管理员,15k-25k·14薪,"电商,其他 A轮 2000人以上",经验3-5年 本科,“电商 新零售 DBA”,电商 新零售 DBA ,[龙华新区]
跨越速运,高级DBA工程师,20k-30k,其他 不需要融资 2000人以上,经验5-10年 大专,“工龄奖、月度之星、团建活动、培训、分享会”,MySQL ,[宝安区]
房多多,DBA(J10519),15k-30k,"移动互联网,消费生活 上市公司 2000人以上",经验1-3年 本科,“上市公司 独角兽 大牛多”,DBA 数据库管理员 ,[科技园]
新数科技,Oracle/MySQL/Db2数据库顾问,15k-30k,企业服务 A轮 50-150人,经验3-5年 本科,“创新，发展空间，期权”,数据库 Oracle MySQL DB2 ,[科技园]
世嘉传媒,dba工程师,20k-40k·13薪,企业服务 不需要融资 150-500人,经验5-10年 本科,“福利待遇高”,数据处理 数据库运维 ,[科技园]
海量数据,dba数据库运维工程师,12k-15k,数据服务 上市公司 150-500人,经验3-5年 大专,“技术提升，稳定”,数据库运维 ,[福田区]
极光,资深DBA数据库工程师 (MJ000181),30k-50k·14薪,企业服务 上市公司 500-2000人,经验不限 大专,“上市公司 公司前景好 团队优秀 福利多多”,DBA MySQL ,[南山区]
融壹买信息科技,高级运维工程师（DBA方向）,10k-20k·15薪,"移动互联网,金融 不需要融资 150-500人",经验1-3年 本科,“六险一金，周末双休，领导好，团队好”,金融 DBA ,[福田区]
深圳宝润兴业,数据库管理员DBA,13k-20k,"电商,移动互联网 上市公司 150-500人",经验3-5年 本科,“银行项目”,大数据 DBA Linux MySQL ,[益田村]
腾讯,RP-高级数据库开发工程师,30k-60k,社交 上市公司 2000人以上,经验5-10年 本科,“发展趋势”,MySQL Spark 数据架构 Java ,[南山区]
深圳微工谷科技有限公司,数据库开发工程师,14k-26k,软件开发 未融资 150-500人,经验3-5年 本科,“周末双休7小时工作制大平台”,Spark ,[西丽]
杰豪科技,DBA/安全运维/系统运维,2k-3k,"金融,数据服务 未融资 15-50人",经验应届毕业生 不限,“实习期：150/天、可转正”,运维 安全 DBA ,[福田区]
平安人寿,数据库管理员（DBA）,10k-20k,金融 上市公司 2000人以上,经验3-5年 本科,“五险一金 带薪年假 节日福利”,保险 运维 DBA ,[福田区]
正链科技,数据库开发工程师,15k-30k·13薪,"移动互联网,区块链 未融资 50-150人",经验3-5年 本科,“晋升空间 专业锻造 13薪 年终奖 项目奖”,数据库开发 ,[科技园]
高登世德金融,数据库开发工程师,10k-15k,"金融,软件开发 B轮 50-150人",经验1-3年 本科,"“五险一金,周末双休,扁平管理,金融科技”",带薪年假 弹性工作 扁平管理 管理规范 ,[南山区]
金证睿服,数据库开发,14k-18k,金融 上市公司 2000人以上,经验3-5年 本科,“周末双休 不定期团建 领导nice”,ETL 数据仓库 Hadoop Oracle ,[罗湖区]
腾讯,腾讯金融数据库TDSQL DBA(深圳),20k-40k,社交 上市公司 2000人以上,经验3-5年 本科,“发展前景好 平台大 福利好”,运维 DBA MySQL Oracle ,[科技园]
华云中盛,Oracle DBA（非外包）,12k-17k,"数据服务,移动互联网 不需要融资 500-2000人",经验3-5年 大专,“发展前景”,DBA Oracle 数据库 ,[南山区]
WeSure微保,DBA,20k-40k,金融 不需要融资 500-2000人,经验5-10年 本科,“发展前景”,带薪年假 交通补助 通讯津贴 定期体检 ,[科技园]
深圳市麦谷科技有限公司,dba数据库工程师,20k-30k·13薪,"移动互联网,数据服务 A轮 50-150人",经验5-10年 本科,“项目奖金，年终奖金”,MySQL 数据库运维 数据库管理员 ,[南山医院]
上海中软华腾软件系统有限公司,DBA、oracel,10k-20k,"企业服务,金融 上市公司 2000人以上",经验1-3年 大专,“大厂 品牌 弹性制打卡 氛围好”,金融 新零售 Linux DBA ,[南山区]
中海物业,dba,20k-30k,其他 上市公司 2000人以上,经验5-10年 本科,“发展前景广阔，团队氛围融洽”,带薪年假 绩效奖金 岗位晋升 年度旅游 ,[深圳湾]
四格互联,MySQL DBA(数据库管理员）,11k-19k·13薪,移动互联网 C轮 150-500人,经验3-5年 大专,“快速发展的公司，良好的发展平台”,MySQL DBA Linux ,[南油]
博奥特科技,数据库开发工程师,10k-16k,"移动互联网,金融 未融资 500-2000人",经验1-3年 本科,“五险一金 大平台 加班较少”,Oracle ,[龙岗区]
博奥特科技,数据库开发工程师,12k-20k,"移动互联网,金融 未融资 500-2000人",经验3-5年 大专,“五险一金 大平台 加班较少”,数据库开发 Oracle ,[福田区]
腾讯,腾讯_高级数据库开发工程师,20k-35k,社交 上市公司 2000人以上,经验5-10年 本科,“技术大牛；互联网大厂；高薪福利多”,数据分析 ,[南山区]
捷顺科技股份,高级dba工程师,15k-25k·13薪,"移动互联网,消费生活 上市公司 2000人以上",经验5-10年 本科,“团队大牛多，公司发展好”,DBA MySQL MongoDB Shell ,[下梅林]
腾讯,dba,20k-40k,移动互联网 上市公司 2000人以上,经验不限 本科,“对腾讯游戏海量数据的可靠性负责”,云计算 移动互联网 Linux 云平台运维 ,[南山区]
长城证券,数据库开发岗,20k-40k·15薪,金融 未融资 2000人以上,经验3-5年 本科,“职业好，发展稳定，团队氛围好”,Oracle 数据库开发 ETL ,[福田区]
货拉拉,高级DBA(J11894),20k-40k,"移动互联网,消费生活 D轮及以上 2000人以上",经验5-10年 本科,“年终奖 五险一金 团建 节日礼品”,DBA MongoDB MySQL ,[上梅林]
货拉拉,DBA工程师(J13620),10k-20k,"移动互联网,消费生活 D轮及以上 2000人以上",经验3-5年 大专,“独角兽 反欺诈 大平台”,DBA 运维 ,[上梅林]
深圳市林祺信息技术有限公司,ORALCE数据库开发(懂JAVA）,13k-20k·13薪,移动互联网 未融资 15-50人,经验3-5年 本科,“交通便利、年终+加薪+季度奖金”,数据库开发 ,[翠竹]
深圳市林祺信息技术有限公司,开发工程师（数据库）,10k-18k·13薪,移动互联网 未融资 15-50人,经验3-5年 本科,“13薪”,Oracle Java ,[翠竹]
慧择信息集团,dba工程师,22k-30k,"移动互联网,企业服务 不需要融资 500-2000人",经验5-10年 本科,“互联网金融一家”,金融 数据库运维 DBA MongoDB ,[南山区]
平安科技,dba,20k-40k,金融 不需要融资 2000人以上,经验5-10年 本科,“一流团队”,云计算 金融 MySQL 数据库管理员 ,[科技园]
富璟科技,数据库工程师DBA（深圳）,8k-15k,"信息安全,数据服务 不需要融资 50-150人",经验1-3年 大专,“双休 奖金 年度出游 体检”,企业服务 信息安全 DBA MySQL ,[南山区]
华策,数据库BI开发,10k-20k,移动互联网 未融资 50-150人,经验1-3年 本科,"“五险一金,周末双休,年终奖,年度旅游”",Hive MySQL SQLServer Oracle ,[福田区]
TP-LINK,dba工程师,12k-20k·16薪,硬件 不需要融资 2000人以上,经验3-5年 本科,“大平台”,信息安全 DBA ,[大冲]
深信服科技集团,星耀计划-数据库开发工程师,4k-7k,"信息安全,企业服务 不需要融资 2000人以上",经验应届毕业生 本科,“团队大牛多，实习福利好，成长空间大”,云计算 大数据 ,[南油]
银雁金融服务,DBA(J14025),12k-20k,企业服务 不需要融资 2000人以上,经验3-5年 本科,“公司规模大，员工福利，周末双休”,DBA ,[福田区]
光汇石油,DBA(J11068),20k-30k,其他 上市公司 500-2000人,经验5-10年 本科,“大公司 免费工作餐 五星级健身房”,股票期权 带薪年假 五险一金 午餐补助 ,[保税区]
云和恩墨,MySQL工程师,20k-40k,数据服务 不需要融资 500-2000人,经验3-5年 大专,“和**业界大牛的共事机会”,数据 ,[深圳]
慧择信息集团,DBA工程师,20k-35k,"移动互联网,企业服务 不需要融资 500-2000人",经验3-5年 本科,“年底奖金”,移动互联网 DBA 数据库运维 数据库开发 ,[南山区]
云路信息,oracle dba,15k-30k,"物流丨运输,软件开发 不需要融资 150-500人",经验3-5年 本科,“公司处于快速发展阶段，发展空间大，双休”,Oracle 数据库管理员 数据库运维 ,[科技园]
快找网络,DBA(数据库运维)工程师,15k-30k,"移动互联网,电商 未融资 15-50人",经验5-10年 不限,“五险一金”,电商 新零售 MySQL MongoDB Linux 运维 ,[车公庙]
前海恒道智融,数据库开发工程师,13k-18k,移动互联网 未融资 50-150人,经验3-5年 本科,"“朝九晚六
周末双休”",证券/期货 ,[福田区]
