公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
吉比特,php开发工程师,10k-20k·13薪,游戏 上市公司 500-2000人,经验1-3年 本科,“福利待遇/发展前景”,PHP ,[南山区]
小鹅（小鹅通）,php开发工程师,10k-20k·15薪,"移动互联网,社交 B轮 500-2000人",经验3-5年 本科,“发展空间大，团队氛围nice”,教育 PHP 后端 ,[南山区]
众云网,PHP开发工程师,10k-16k,"企业服务,信息安全 不需要融资 50-150人",经验3-5年 本科,"“团队氛围好,五险一金,周末双休”",电商 本地生活 PHP MySQL ,[科技园]
数睿科技,PHP开发工程师,15k-20k·14薪,"移动互联网,电商 上市公司 150-500人",经验3-5年 大专,“上市公司、高大上环境、高奖金、年轻化团队”,移动互联网 房产服务 PHP MySQL 后端 ,[福田区]
深圳市盛达瑞智能科技有限公司,php开发工程师,14k-20k,"移动互联网,区块链 不需要融资 150-500人",经验3-5年 本科,“扁平化管理”,PHP ,[科技园]
ASINKING,php开发工程师,8k-16k,"电商,企业服务 A轮 50-150人",经验1-3年 本科,“发展前景、团队实力、团队氛围”,PHP MySQL ,[西丽]
ASINKING,php开发工程师,12k-22k,"电商,企业服务 A轮 50-150人",经验3-5年 本科,“发展前景好，团队实力强，团队氛围好”,PHP MySQL ,[西丽]
贝尔创意科教,php开发工程师,7k-12k,其他 C轮 2000人以上,经验1-3年 本科,“年轻团队 大牛导师”,教育 企业服务 PHP ,[西丽]
深圳市嘉鸿网络科技有限公司,高级php开发工程师,20k-30k·13薪,"电商,移动互联网 不需要融资 500-2000人",经验5-10年 大专,“1-6个月年终奖”,电商 企业服务 PHP MySQL 后端 软件开发 ,[科技园]
森香,PHP开发工程师,4k-8k,"移动互联网,金融 不需要融资 50-150人",经验不限 大专,"“节日福利,生日福利,周末双休,年终奖”",PHP 服务器端 MySQL ,[南山医院]
朗强科技,PHP开发工程师,10k-15k,"电商,硬件 不需要融资 150-500人",经验1-3年 大专,“周末双休 年底双薪 不加班”,PHP Javascript MySQL HTML/CSS ,[福田区]
众云网,php开发工程师,10k-16k,"企业服务,信息安全 不需要融资 50-150人",经验1-3年 本科,“与90后青春团队一起造”,电商 企业服务 PHP ,[科技园]
柚子街,PHP工程师,9k-14k·13薪,"移动互联网,消费生活 A轮 15-50人",经验1-3年 大专,“腾讯项目，弹性上班制”,PHP Node.js ,[南山区]
深圳市盛达瑞智能科技有限公司,php开发工程师,10k-20k,"移动互联网,区块链 不需要融资 150-500人",经验3-5年 本科,“五险一金、周末双休、带薪年假、月度团建”,PHP ,[西丽]
数睿科技,高级php开发工程师,18k-25k·14薪,"移动互联网,电商 上市公司 150-500人",经验5-10年 本科,“上市公司、高大上环境、高奖金、年轻化团队”,PHP ,[上梅林]
TOPFUN,php开发工程师,15k-25k·13薪,游戏 上市公司 50-150人,经验1-3年 本科,“灵活调薪 上升空间”,PHP MySQL ,[大冲]
车轮,php开发工程师,12k-20k,移动互联网 D轮及以上 150-500人,经验不限 本科,"“福利待遇好,扁平管理,团队氛围佳”",汽车 移动互联网 后端 ,[新安]
既明科技,php开发工程师,8k-16k,移动互联网 不需要融资 15-50人,经验1-3年 大专,"“快速成长,大品牌项目,领导优秀”",广告营销 PHP 后端 Javascript ,[华侨城]
法本信息,php开发工程师,10k-15k,"企业服务,软件开发 上市公司 2000人以上",经验1-3年 本科,“Yii框架”,移动互联网 MySQL ,[南山区]
换换优品,php开发工程师,10k-15k,"移动互联网,电商 不需要融资 50-150人",经验1-3年 本科,“氛围良好”,电商 PHP ,[科技园]
深圳飞之度科技有限公司,php开发工程师,16k-18k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 本科,“弹性上班时间，五险一金，旅游，体检，全勤奖”,PHP MySQL ,[大冲]
