公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
北斗智能,python开发工程师,10k-20k·14薪,"人工智能,软件开发 天使轮 50-150人",经验1-3年 本科,“年轻团队，周末双休，福利多多”,大数据 云计算 Python ,[南山区]
深信服科技集团,python开发工程师,15k-30k,"信息安全,企业服务 不需要融资 2000人以上",经验不限 本科,"“平台大,福利好,薪资高”",信息安全 Python ,[南山区]
ASINKING,python开发工程师,10k-16k,"电商,企业服务 A轮 50-150人",经验1-3年 本科,“发展前景好，团队实力强，福利待遇好”,Python MySQL ,[西丽]
ASINKING,python开发工程师,20k-35k,"电商,企业服务 A轮 50-150人",经验5-10年 本科,“发展前景好，团队实力强，福利待遇好”,Python MySQL ,[西丽]
威尔视觉,python开发工程师,18k-35k·13薪,"移动互联网,文娱丨内容 天使轮 50-150人",经验3-5年 本科,"“不打卡成长空间大,六险一金,年假十天起”",Golang Python Shell 云计算 ,[南山区]
嘉为信息,python开发工程师,10k-17k·13薪,"企业服务,数据服务 A轮 500-2000人",经验3-5年 本科,“入职培训 体检”,Python ,[福田区]
微诺,python开发,15k-30k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“交通便利、团队活泼、薪资优厚、腾讯系”,移动互联网 ,[新安]
盛迪嘉支付,python开发工程师,15k-25k·13薪,"移动互联网,金融 不需要融资 500-2000人",经验3-5年 本科,“团队氛围好 发展潜力大”,MySQL Linux 安全运维 网络安全运维 ,[科技园]
MICO,Python开发工程师,15k-25k,移动互联网 A轮 150-500人,经验1-3年 本科,“绩效奖金、团队nice、福利完善”,移动互联网 社交 MySQL Python ,[南山区]
茂源资本,python开发工程师,18k-35k·15薪,"电商,金融 不需要融资 50-150人",经验3-5年 本科,“高年终高福利 员工基金 公司无息贷款”,金融 Python MySQL 服务器端 内核开发 ,[科技园]
紫川软件,python工程师,14k-18k,"电商,金融 不需要融资 500-2000人",经验3-5年 本科,“周末双休 免费体检 员工旅游 五险一金”,Python ,[南油]
深圳市比一比网络科技有限公司,python开发工程师,15k-25k,"电商,数据服务 B轮 50-150人",经验5-10年 本科,“双休、五险一金、人工智能、大数据、活动”,Python ,[大冲]
深圳市比一比网络科技有限公司,python开发工程师,15k-20k,"电商,数据服务 B轮 50-150人",经验5-10年 本科,“双休、五险一金、人工智能、大数据、活动”,Python ,[大冲]
寻找母星,python工程师,15k-25k,"移动互联网,消费生活 A轮 50-150人",经验1-3年 本科,“风口行业、明星团队、晋升空间大、待遇优厚”,本地生活 大数据 Python 数据库 ,[南山区]
