公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
金蝶账无忧,VB开发工程师,12k-20k,企业服务 不需要融资 50-150人,经验3-5年 本科,“大公司年底双薪班车旅游弹性工作”,企业服务 大数据 软件开发 ERP 企业软件 ,[科技园]
腾讯,VB中后台产品策划经理（深圳）,20k-40k,社交 上市公司 2000人以上,经验5-10年 本科,“虚拟银行中后台产品”,银行 产品设计 金融 需求分析 ,[南油]
众安保险,大数据开发工程师-VB,20k-40k,金融 上市公司 2000人以上,经验5-10年 本科,“弹性工作 福利多 六险一金 家属保险”,定期体检 每天下午茶 六险一金 年度体检 ,[南油]
咸鱼游戏,绩效专员,10k-20k·13薪,游戏 B轮 150-500人,经验3-5年 本科,“六险一金”,游戏 绩效管理 绩效考核 ,[南山区]
恒方大,ERP工程师,5k-10k,医疗丨健康 未融资 500-2000人,经验1-3年 本科,“五险一金、话补、节假日福利、员工体检、等”,IT支持 运维 ,[大冲]
泓齐网科,H5,13k-18k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 大专,“加班工资 五险一金”,Web前端 ,[大冲]
印孚瑟斯,高级自动化测试,15k-22k,移动互联网 上市公司 2000人以上,经验5-10年 本科,“外企平台 高端项目”,Selenium 测试开发 ,[科技园]
科力公司,电气工程经理,6k-12k,其他 不需要融资 50-150人,经验3-5年 大专,“依法给予相应福利，综合年薪30到50万”,光通信 ,[宝安区]
深圳市凌智自动化科技有限公司,机器视觉开发工程师,8k-12k,"硬件,其他 未融资 15-50人",经验不限 大专,“五险一金、绩效奖金、员工活动、提供住宿”,深度学习 算法 人工智能 图像处理 ,[龙华新区]
印孚瑟斯,高级软件测试工程师（英语）,15k-25k,移动互联网 上市公司 2000人以上,经验5-10年 本科,“外企平台 高端项目”,压力测试 性能测试 ,[科技园]
捷牛智能,机器视觉软件工程师(非标自动化),15k-25k,硬件 不需要融资 150-500人,经验5-10年 本科,“绩效奖金 股票期权”,图像处理 计算机视觉 ,[龙岗区]
明辉实业,.NET软件工程师,5k-10k,其他 上市公司 2000人以上,经验3-5年 大专,“周末双休 带薪年假 包住宿 节日福利 .NET”,工具软件 C#/.NET ,[龙岗区]
