公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
同程旅行,c++开发工程师,15k-20k,旅游 上市公司 2000人以上,经验3-5年 本科,“上市公司”,其他 C C++ Linux/Unix ,[工业园区]
畅行智能,c/c++开发工程师,10k-15k·13薪,汽车丨出行 天使轮 50-150人,经验应届毕业生 本科,“前沿行业、创业公司”,汽车 C++ ,[渭塘]
Aunbox,c++客户端,12k-18k,移动互联网 未融资 150-500人,经验3-5年 本科,“全额缴纳五险一金、海外旅游、氛围nice”,客户端 MFC QT Windows ,[独墅湖]
什伯智能,c++开发工程师,7k-11k,"移动互联网,企业服务 不需要融资 15-50人",经验应届毕业生 本科,“清华技术大牛”,C++ ,[昆山市]
苏州先进院,c++软件开发实习生,3k-4k·13薪,医疗丨健康 未融资 50-150人,经验应届毕业生 硕士,“周末双休 完善培训 优厚福利 良好环境”,医疗健康 大数据 C++ ,[工业园区]
艺顺,c++软件开发工程师,11k-20k,"游戏,软件开发 未融资 少于15人",经验3-5年 本科,“工作轻松，环境舒适”,游戏 工具软件 软件开发 C++ 图像编程 游戏开发 ,[渭塘]
迪凯尔,c++高级开发工程师,13k-25k,医疗丨健康 C轮 50-150人,经验3-5年 本科,“岗位晋升”,C++ Python ,[工业园区]
Momenta,C++开发工程师（算法/工程）,25k-40k,"数据服务,硬件 B轮 150-500人",经验1-3年 本科,“自动驾驶”,Linux/Unix C++ ,[元和]
吉风智能,c++,12k-24k,金融 / /,经验1-3年 硕士,“大牛带队 周末双休 奖金福利”,大数据 互联网金融 Linux/Unix ,[常熟市]
思必驰科技,C/C++工程师（算法工程方向）,20k-40k,企业服务 D轮及以上 150-500人,经验3-5年 本科,“国内语音独角兽 E轮”,C++ 服务器端 ,[独墅湖]
上海绿建信息科技有限公司,c++开发工程师 开发助理,6k-10k,"信息安全,数据服务 未融资 15-50人",经验应届毕业生 本科,"“培训,提供住宿,旅游,团建聚餐”",信息安全 后端 C++ Windows ,[昆山市]
云学堂,c++开发工程师,15k-30k,企业服务、教育 D轮及以上 500-2000人,经验5-10年 本科,“年度绩效奖金带薪病假年假，年度体检”,视频 直播 后端 软件开发 音视频 视频编解码 ,[木渎]
Aunbox,c++开发工程师,10k-15k·13薪,移动互联网 未融资 150-500人,经验1-3年 本科,“年底双薪、财年奖金、沟通高效、上升空间”,工具软件 C++ 后端 图像处理 图像识别 ,[独墅湖]
东吴证券,C++交易开发工程师,17k-33k,"金融,移动互联网 上市公司 2000人以上",经验3-5年 本科,“系统开发”,C++ ,[工业园区]
全时,高级c++开发工程师,20k-30k,"移动互联网,企业服务 D轮及以上 500-2000人",经验5-10年 本科,“年终奖金 六险一金 年度体检 弹性工作”,客户端 C++ ,[工业园区]
超娱互动,c++游戏服务器,10k-15k,游戏 未融资 15-50人,经验1-3年 大专,“高薪，周末不加班，有前景”,C++ MySQL ,[娄葑]
中金所技术公司,C++开发工程师,7k-10k,"金融,数据服务 不需要融资 150-500人",经验应届毕业生 本科,"“团队和谐,带薪年假,定期体检,五险一金”",C ,[独墅湖]
苏州恩巨网络有限公司,软件开发(C/C++/JAVA/信号处理),8k-16k,移动互联网 未融资 15-50人,经验不限 本科,“五险一金 双休 旅游 奖金”,软件开发 系统集成 Java ,[高新区]
