公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
同程旅行,Java开发工程师,15k-20k·15薪,旅游 上市公司 2000人以上,经验3-5年 本科,“牛人团队 福利待遇好”,旅游 Java ,[工业园区]
厦门唐普,java开发工程师,10k-15k,"企业服务,数据服务 B轮 50-150人",经验3-5年 大专,“高薪职位”,Java 数据库 MySQL ,[工业园区]
收钱吧,java开发工程师,15k-30k,移动互联网 C轮 2000人以上,经验3-5年 本科,“股票期权，大牛带队，晋升空间”,后端 Java ,[工业园区]
中地行,Java开发工程师,10k-15k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“福利好，待遇优，办公环境优美”,大数据 移动互联网 ,[湖东]
端木软件,java开发工程师,9k-12k,"移动互联网,电商 未融资 50-150人",经验3-5年 本科,“激发活力 团队氛围好 五险一金 年终奖”,技能培训 节日礼物 专项奖金 扁平管理 ,[虎丘区]
亿友慧云,java高级开发工程师,15k-20k,"移动互联网,电商 不需要融资 150-500人",经验3-5年 本科,“前景好，已在新三板挂牌，福利好”,大数据 移动互联网 后端 IOS C#/.NET C++ ,[吴江区]
文和网络,Java开发工程师,15k-25k,企业服务、数据服务 未融资 少于15人,经验3-5年 大专,“技术大牛团队”,企业服务 医疗健康 ,[苏州工业园区]
微创软件,java开发工程师,12k-20k,"企业服务,移动互联网 不需要融资 2000人以上",经验5-10年 本科,“民营五百强 独角兽 人工智能”,Java ,[工业园区]
梅施软件,java开发工程师,8k-13k,"电商,企业服务 不需要融资 15-50人",经验3-5年 本科,“十三薪 团建旅游 部门聚餐”,电商 后端 客户端 平台 ,[松陵]
联龙博通,java开发工程师,10k-13k,"移动互联网,电商 D轮及以上 2000人以上",经验1-3年 本科,“餐补 周末双休 五险一金 带薪年假”,Java MySQL ,[吴中区]
微创软件,java开发工程师,14k-27k,"企业服务,移动互联网 不需要融资 2000人以上",经验5-10年 本科,“六险一金 人工智能”,大数据 Java 分布式 后端 ,[工业园区]
