公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
有光科技,前端开发工程师,6k-10k,"移动互联网,电商 不需要融资 15-50人",经验1-3年 大专,“欢迎加入我们”,Web前端 Vue 移动端 前端开发 ,[昆山市]
昆山微远,前端工程师,15k-20k,"游戏,其他 未融资 150-500人",经验5-10年 大专,“年终奖 旅游 2次加薪”,前端开发 Javascript ,[昆山市]
中地行,前端工程师,10k-15k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“领导nice，地铁口，上升空间”,Web前端 ,[湖东]
上海归于贸易中心,前端开发工程师,12k-18k,房产家居 未融资 少于15人,经验1-3年 本科,“项目早期，从零到一建设项目的过程，有期权”,电商 工具软件 ,[苏州工业园区]
岐凤科技,前端开发工程师,6k-12k·13薪,"汽车丨出行,软件开发 不需要融资 15-50人",经验1-3年 本科,“节日福利，年底双薪”,汽车 大数据 前端开发 Web前端 ,[姑苏区]
磐荣软件,前端开发工程师,8k-15k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 本科,“双休”,金融 ,[木渎]
微软（中国）有限公司,前端开发工程师,25k-50k,"移动互联网,数据服务 上市公司 2000人以上",经验不限 本科,“发展前景好，福利待遇优”,React Javascript Angular Web前端 ,[工业园区]
微创软件,前端开发工程师,15k-25k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 大专,“人工智能；民营五百强；独角兽”,前端开发 Web前端 Vue ,[工业园区]
科沃斯,前端开发工程师,10k-15k,"电商,其他 A轮 2000人以上",经验3-5年 大专,“电商/新零售系统”,电商 新零售 Vue React HTML5 CSS ,[吴中区]
微创软件,前端开发工程师,16k-25k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 本科,“六险一金 人工智能”,大数据 Web前端 Vue Node.js HTML ,[工业园区]
阿拉贝尔,前端开发工程师,6k-8k,"医疗丨健康,硬件 未融资 少于15人",经验1-3年 大专,"“福利好,晋升快,技术大牛多”",企业服务 大数据 Javascript CSS Node.js ,[张家港市]
神彩科技,前端开发工程师,8k-16k,数据服务 不需要融资 150-500人,经验1-3年 本科,"“加班少,福利好,全额公积金,有大楼”",前端开发 Vue ,[工业园区]
友谊时光,前端开发工程师,10k-20k·13薪,"移动互联网,游戏 上市公司 500-2000人",经验3-5年 本科,“内部培训 多次调薪”,Javascript HTML5 ,[吴中区]
思达客教育科技,前端开发工程师,7k-12k,"移动互联网,企业服务 天使轮 少于15人",经验1-3年 本科,“年终奖、年假、老板很nice”,前端开发 HTML5 Javascript CSS ,[独墅湖]
收钱吧,前端开发工程师（苏州研发中心）,15k-30k,移动互联网 C轮 2000人以上,经验3-5年 本科,"“平台大,牛人多,福利好”",Node.js Vue Web前端 React native ,[工业园区]
博云,前端开发工程师,10k-17k,"移动互联网,企业服务 B轮 150-500人",经验3-5年 本科,“六险一金；员工旅游；定期体检；加班补助；”,云计算 前端开发 ,[工业园区]
奥瑞纳,Web前端工程师,10k-20k,移动互联网 未融资 50-150人,经验3-5年 本科,"“五险一金,年终奖金,专业培训”",前端开发 ,[独墅湖]
