公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
奥瑞纳,Junior Software Engineer/初级软件开发工程师（数据库）,8k-12k·13薪,移动互联网 未融资 50-150人,经验1-3年 本科,“六险一金 朝九晚六 13薪”,企业服务 MySQL Java ,[独墅湖]
苏小研,数据库开发工程师(J10814),20k-30k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“五险一金、交通补贴、餐饮补贴、通讯补贴”,Oracle MySQL 数据库开发 ,[高新区]
建信金科,数据库开发工程师,20k-30k,"金融,软件开发 不需要融资 2000人以上",经验3-5年 本科,“待遇好，机会多，前景广”,Hadoop Spark ,[工业园区]
苏小研,软件开发工程师（数据库方向）(J10829),20k-30k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“五险一金、交通补贴、餐饮补贴、通讯补贴”,MySQL Java 数据库开发 ,[高新区]
同程旅行,Java开发工程师,15k-20k·15薪,旅游 上市公司 2000人以上,经验3-5年 本科,“牛人团队 福利待遇好”,旅游 Java ,[工业园区]
东华,etl,8k-15k,"企业服务,数据服务 上市公司 2000人以上",经验不限 不限,“上市公司、五险一金、年终奖、弹性工作制”,年底双薪 专项奖金 股票期权 带薪年假 ,[城南]
阿拉贝尔,后端工程师,10k-15k,"医疗丨健康,硬件 未融资 少于15人",经验1-3年 本科,“氛围简单，五险一金”,企业服务 社交 Python .NET C ,[张家港市]
创源微致,Python开发主管,25k-30k,移动互联网 不需要融资 50-150人,经验5-10年 本科,“发展平台”,后端 ,[吴江区]
中地行,java架构师,20k-25k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“福利好，待遇优，办公环境优美”,移动互联网 大数据 ,[湖东]
中地行,java开发工程师--外派银行,8k-14k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 不限,“福利好，待遇优，办公环境优美”,云计算 大数据 ,[湖东]
收钱吧,Java开发工程师（苏州研发中心）,15k-30k,移动互联网 C轮 2000人以上,经验3-5年 本科,“平台大，福利好，牛人多，晋升机会”,后端 J2EE docker ,[工业园区]
收钱吧,java开发工程师（苏州研发中心）,15k-20k,移动互联网 C轮 2000人以上,经验1-3年 本科,"“平台大,牛人多,福利好”",后端 服务器端 docker Java ,[工业园区]
端木软件,java开发工程师,9k-12k,"移动互联网,电商 未融资 50-150人",经验3-5年 本科,“激发活力 团队氛围好 五险一金 年终奖”,技能培训 节日礼物 专项奖金 扁平管理 ,[虎丘区]
科罗博智能,全栈工程师,10k-15k,"医疗丨健康,软件开发 未融资 少于15人",经验3-5年 本科,“付出总有回报”,医疗健康 全栈 ,[虎丘区]
同程旅行,研发工程师,15k-25k,旅游 上市公司 2000人以上,经验3-5年 不限,“上市公司”,C C++ Golang ,[工业园区]
亿友慧云,java高级开发工程师,15k-20k,"移动互联网,电商 不需要融资 150-500人",经验3-5年 本科,“前景好，已在新三板挂牌，福利好”,大数据 移动互联网 后端 IOS C#/.NET C++ ,[吴江区]
亿友慧云,实施项目运维工程师,5k-10k,"移动互联网,电商 不需要融资 150-500人",经验1-3年 不限,“岗位晋升 午餐补助 带薪年假 年终奖”,项目管理 过程管理 实施 PMP ,[彩香]
CODING,测试工程师,7k-12k,数据服务 B轮 50-150人,经验1-3年 本科,“平台型产品、腾讯系、福利全面”,云计算 企业服务 Server端测试 Web测试 自动化测试 测试开发 ,[湖东]
岐凤科技,软件测试工程师,5k-10k·13薪,"汽车丨出行,软件开发 不需要融资 15-50人",经验1-3年 大专,“年底双薪 节日礼品”,功能测试 性能测试 ,[胥江]
友谊时光,游戏数据分析师,8k-15k·13薪,"移动互联网,游戏 上市公司 500-2000人",经验1-3年 本科,“一年两次调薪、氛围好”,数据分析 ,[吴中区]
八分量,运维开发工程师,6k-8k,移动互联网 天使轮 15-50人,经验1-3年 本科,“六险一金、弹性工时、绩效奖金、带薪假期”,Java Python MySQL ,[工业园区]
微创软件,java开发工程师,12k-20k,"企业服务,移动互联网 不需要融资 2000人以上",经验5-10年 本科,“民营五百强 独角兽 人工智能”,Java ,[工业园区]
凌志软件,高级软件开发工程师/项目经理,12k-20k·13薪,金融 上市公司 2000人以上,经验5-10年 本科,“五险一金 节日福利 带薪休假”,后端 ,[吴中区]
梅施软件,java开发工程师,8k-13k,"电商,企业服务 不需要融资 15-50人",经验3-5年 本科,“十三薪 团建旅游 部门聚餐”,电商 后端 客户端 平台 ,[松陵]
