公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
创源微致,Python开发主管,25k-30k,移动互联网 不需要融资 50-150人,经验5-10年 本科,“发展平台”,后端 ,[吴江区]
畅行智能,python后端开发工程师,10k-15k·13薪,汽车丨出行 天使轮 50-150人,经验3-5年 本科,“创业团队”,汽车 Python 后端 软件开发 ,[渭塘]
臻顺云,python,10k-15k,"软件开发,电商 不需要融资 15-50人",经验1-3年 不限,“除了五险一金、双休、各种补贴，还有轻松的氛围”,电商 物流 Golang 全栈 爬虫 ,[昆山市]
微创软件,Python开发工程师,10k-15k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“微软驻场；***工作氛围”,Python C# ,[工业园区]
筑牛网,Python开发工程师,10k-15k,"移动互联网,电商 不需要融资 50-150人",经验3-5年 本科,“薪酬待遇，公司氛围”,Python 爬虫工程师 爬虫架构 python爬虫 ,[石路]
苏小研,Python开发工程师(J10004),15k-25k,移动互联网 不需要融资 500-2000人,经验1-3年 本科,“五险一金、交通补贴、餐饮补贴、通讯补贴”,Python Linux/Unix MySQL 云计算 ,[高新区]
爱特曼科技,Python后端工程师,10k-15k,"移动互联网,数据服务 A轮 15-50人",经验不限 本科,“人工智能领域，福利制度健全”,医疗健康 工具软件 Python 后端 数据库 ,[独墅湖]
问卷网@爱调研,python开发工程师,10k-16k·13薪,移动互联网 C轮 150-500人,经验1-3年 本科,“职位晋升 节日福利 五险一金 水果零食”,Python ,[工业园区]
东湾信息,Python工程师,10k-20k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“五险一金”,Python ,[工业园区]
苏小研,安全研发工程师(python/C)(J10793),20k-30k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“五险一金、交通补贴、餐饮补贴、通讯补贴”,云计算 C Python 软件开发 ,[高新区]
绿网环境保护服务中心(NGO),Python工程师,6k-12k,"数据服务,其他 不需要融资 15-50人",经验1-3年 大专,"“六险一金,靠近地铁,双休,自由工作”",大数据 MySQL 后端 爬虫 ,[木渎]
问卷网@爱调研,python实习生,2k-3k,移动互联网 C轮 150-500人,经验不限 本科,“可转正”,Python ,[工业园区]
苏州珂晶达电子有限公司,C++/python GUI 软件工程师,10k-15k,移动互联网 未融资 15-50人,经验1-3年 本科,“双休、13薪、五险一金加团体商业险”,其他 ,[娄葑]
同程旅行,深度学习工程师,20k-35k·16薪,旅游 上市公司 2000人以上,经验1-3年 本科,“牛人团队 福利待遇好”,移动互联网 旅游 深度学习 ,[工业园区]
Aunbox,高级研发工程师,20k-35k·13薪,移动互联网 未融资 150-500人,经验3-5年 大专,“发展空间大，福利待遇佳”,Python C++ ,[独墅湖]
苏州徳地博润智能科技有限公司,web前端开发工程师,6k-12k,"人工智能,软件开发 不需要融资 少于15人",经验1-3年 本科,“前沿技术、创新应用”,教育 移动互联网 Javascript 前端开发 Vue Node.js ,[苏州]
阿拉贝尔,后端工程师,10k-15k,"医疗丨健康,硬件 未融资 少于15人",经验1-3年 本科,“氛围简单，五险一金”,企业服务 社交 Python .NET C ,[张家港市]
微创软件,Android开发工程师,10k-14k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“五险一金 带薪年假 技术大牛 氛围好”,Android 移动端 ,[工业园区]
安硕信息（amarsoft）,算法工程师,10k-20k,金融 上市公司 2000人以上,经验1-3年 不限,"“牛人带队,领先优势,福利优厚,发展空间大”",大数据 人工智能 算法 ,[高新区]
安硕信息（amarsoft）,高级爬虫工程师,15k-30k,金融 上市公司 2000人以上,经验3-5年 本科,“金融大数据领域，待遇优厚，发展前景大”,金融 大数据 数据仓库 数据挖掘 ,[虎丘区]
收钱吧,Java开发工程师（苏州DVB001）,15k-30k,移动互联网 C轮 2000人以上,经验3-5年 本科,"“平台大,牛人多,福利好”",后端 Java ,[工业园区]
收钱吧,测试开发工程师,15k-28k,移动互联网 C轮 2000人以上,经验3-5年 本科,“福利好，平台大 ，牛人多”,测试 ,[工业园区]
中地行,数据分析工程师,8k-15k,"数据服务,移动互联网 不需要融资 50-150人",经验1-3年 本科,“领导nice，地铁口，上升空间”,大数据 移动互联网 数仓架构 数据架构 数据库开发 ,[湖东]
奥瑞纳,运维工程师,8k-15k·13薪,移动互联网 未融资 50-150人,经验3-5年 本科,“六险一金 朝九晚六 周末双休 零食饮料”,企业服务 DevOps/AIOps Shell CI/CD ,[独墅湖]
美能华智能科技,运维开发工程师,8k-13k,"企业服务,人工智能 A轮 15-50人",经验1-3年 本科,“微软创业团队，人好技术好氛围好，福利完善。”,工具软件 K8s/Docker Linux ,[工业园区]
