公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
东方国信,Java工程师（HYZC17wn）(J12126),6k-12k·14薪,数据服务 上市公司 2000人以上,经验1-3年 本科,“13薪、年终奖、带薪年假、定期体检”,Java ,[小店区]
北京数介科技有限公司,java开发工程师,8k-10k,数据服务 A轮 50-150人,经验1-3年 本科,“学习空间大”,Java ,[晋源区]
传世科技,Java开发工程师,7k-14k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 大专,“努力3年之后做自己喜欢做的事”,教育 物流 Java MySQL ,[高新科技产业区]
安硕信息（amarsoft）,JAVA开发工程师（太原）,7k-11k,金融 上市公司 2000人以上,经验1-3年 本科,“上市公司 牛人带队 金融行业 福利健全”,后端 Java ,[坞城]
融盛网络,java开发工程师,3k-6k,软件开发、其他 未融资 150-500人,经验应届毕业生 大专,“高薪五险双休住宿补贴轻松无压力”,JS MySQL PHP Java ,[小店区]
河北星泰,高级Java工程师,6k-10k,软件开发 未融资 150-500人,经验3-5年 大专,“职位晋升、带薪培训、节日福利、五险、定期团建”,Java 数据库 ,[小店区]
传智播客,Java高级开发工程师,25k-35k,教育 C轮 500-2000人,经验5-10年 本科,“阿里P6级薪资+半月带薪年假+大平台”,教育 中间件 后端 系统架构 Java ,[杏花岭区]
泉尊电子科技,java开发工程师,8k-14k,"移动互联网,数据服务 未融资 50-150人",经验1-3年 本科,"“五险一金,带薪年假,节日福利,待遇好”",后端 J2EE Javascript Java ,[长风街]
传智播客,Java导师(J12731),25k-35k,教育 C轮 500-2000人,经验5-10年 大专,“阿里P6级薪资+半月带薪年假+大平台”,教育 移动互联网 分布式 中间件 架构师 Java ,[杏花岭区]
尚学堂,java开发工程师+五险一金,8k-10k,"教育,移动互联网 未融资 150-500人",经验1-3年 大专,“五险一金”,Java 后端 ,[迎泽区]
广州星鸟科技,java开发工程师（太原分部）,8k-15k,"移动互联网,数据服务 不需要融资 150-500人",经验1-3年 本科,"“待遇高,管理宽松,内部培训,五险一金”",Java 数据库 ,[小店区]
来回出行,java开发工程师,8k-12k,"其他,汽车丨出行 未融资 50-150人",经验3-5年 本科,“国企血统”,Java MySQL C++ ,[小店区]
玖邦科技,Java开发工程师,6k-8k,软件开发、电商 未融资 15-50人,经验5-10年 本科,“初创公司，注重人才培养，发挥空间大”,企业服务 工具软件 ,[坞城]
北京华云天下科技有限公司,中级java软件工程师,6k-12k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“地铁周边，领导nice，美女如云”,云计算 J2EE 后端 ,[坞城]
吉大正元,中级java开发工程师,6k-8k,信息安全 不需要融资 500-2000人,经验1-3年 本科,“拟上市企业，发展前景好”,Java ,[坞城]
鹭友科技,java开发,3k-6k·13薪,软件开发 未融资 少于15人,经验1-3年 本科,“团队氛围”,Java MySQL ,[小店区]
鹭友科技,java开发,5k-9k·13薪,软件开发 未融资 少于15人,经验3-5年 本科,“福利”,,[小店区]
北京华云天下科技有限公司,中级java软件工程师,7k-12k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“发展前景好”,企业服务 后端 ,[坞城]
华山科技,JAVA高级软件工程师,8k-15k,"金融,移动互联网 不需要融资 15-50人",经验5-10年 本科,“发展前景 福利待遇”,银行 教育 Java 移动开发 数据采集 ,[小店区]
宿达网络,java后端,6k-8k,企业服务、软件开发 未融资 少于15人,经验3-5年 不限,“简单易上手，工作弹性”,后端 MySQL Linux/Unix ,[下元]
深度好奇,测试工程师,5k-10k·13薪,"企业服务,数据服务 A轮 15-50人",经验不限 本科,"“周末双休,五险一金,年底双薪,扁平管理”",功能测试 接口测试 性能测试 Web测试 ,[小店区]
格蒂电力,大数据工程师,8k-12k,企业服务 未融资 500-2000人,经验3-5年 本科,“上市公司，福利待遇优厚，职业发展空间广阔”,Oracle ETL Spark Hadoop ,[桥东]
格蒂电力,数据架构师,10k-18k,企业服务 未融资 500-2000人,经验5-10年 大专,“上市公司，福利待遇优厚，职业发展空间广阔”,ETL 数据架构 Hadoop Oracle ,[桥东]
深度好奇,后端研发工程师,12k-24k·13薪,"企业服务,数据服务 A轮 15-50人",经验不限 本科,“五险一金，周末双休，年底双休”,Golang Python docker ,[小店区]
晋越网络,android开发工程师,6k-10k,"广告营销,软件开发 未融资 15-50人",经验3-5年 本科,“android社交”,社交 Android ,[迎泽区]
融盛网络,程序员,4k-6k,软件开发、其他 未融资 150-500人,经验应届毕业生 大专,“高薪五险双休住宿轻松无压力”,其他 移动互联网 J2EE Java Javascript 前端开发 ,[小店区]
东华医为,实施工程师,5k-10k,医疗丨健康 未融资 500-2000人,经验不限 本科,“公司氛围很好”,医疗健康 实施 ,[杏花岭区]
山西特信环宇信息技术有限公司,中高级算法工程师,7k-10k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 硕士,“双休五险”,即时通讯 云计算 分布式搜索 MATLAB Python 自然语言处理 ,[小店区]
清木有,Android开发工程师,8k-10k,"软件开发,数据服务 未融资 15-50人",经验5-10年 本科,“垂直领域，可提升能力”,移动互联网 教育 Android 移动端 音视频开发 混合开发 ,[坞城]
小石小木,开发工程师,6k-8k,"数据服务,人工智能 未融资 少于15人",经验应届毕业生 不限,“人工智能 股权分配 扁平管理”,企业服务 工具软件 高级技术管理 业务流程管理 ,[小店区]
医体优医疗健康产业,前端开发工程师,4k-8k,医疗丨健康 未融资 50-150人,经验3-5年 本科,“70后掌舵者带领90后年轻团队”,医疗健康 ,[迎泽区]
壹门徒,区块链,9k-12k,"移动互联网,教育 未融资 少于15人",经验3-5年 本科,“团队nice”,企业服务 信息安全 ,[高新科技产业区]
传智播客,Java导师(J12818),20k-30k,教育 C轮 500-2000人,经验5-10年 本科,“五险一金 奖金 补助等学习提升机会”,教育 Java ,[杏花岭区]
传智播客,Java高级工程师(J12821),25k-35k,教育 C轮 500-2000人,经验5-10年 本科,“五险一金 奖金 补助等学习提升机会”,Java ,[杏花岭区]
融盛网络,软件开发工程师,3k-5k,软件开发、其他 未融资 150-500人,经验应届毕业生 大专,“高薪五险双休住宿补贴轻松无压力”,JS MySQL PHP Java ,[小店区]
