公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
山西清风渡信息技术有限公司,前端开发工程师,5k-8k,"企业服务,其他 未融资 少于15人",经验3-5年 大专,“发展前景好，上升空间大，技术天花板高，氛围好”,CSS3 jQuery HTML5 Javascript ,[小店区]
山西省投资集团信息技术有限公司,web前端开发工程师,6k-10k,"数据服务,信息安全 未融资 500-2000人",经验3-5年 本科,“国有企业”,前端开发 Web前端 Vue Angular ,[小店区]
冰塔科技,前端开发工程师,11k-20k·13薪,软件开发 天使轮 少于15人,经验3-5年 本科,“移动互联网 发展潜力巨大 上升空间巨大”,CSS Vue HTML5 React ,[小店区]
长河科技,前端开发工程师,6k-9k,企业服务 上市公司 少于15人,经验3-5年 本科,“公司业务发展快，发展前景好”,企业服务 移动互联网 ,[小店区]
世纪天乐,前端开发工程师,8k-12k,消费生活 未融资 2000人以上,经验不限 不限,“前端”,前端开发 ,[迎泽区]
医体优医疗健康产业,前端开发工程师,4k-8k,医疗丨健康 未融资 50-150人,经验3-5年 本科,“70后掌舵者带领90后年轻团队”,医疗健康 ,[迎泽区]
新狮瑞德,前端开发工程师,6k-7k,"消费生活,电商 上市公司 500-2000人",经验3-5年 不限,“福利待遇好”,前端开发 ,[坞城]
如选陆选,h5前端开发工程师,6k-12k·13薪,区块链、电商 未融资 50-150人,经验3-5年 大专,“舒适轻松，周末双休～”,电商 移动互联网 HTML5 Javascript 前端开发 ,[小店区]
传世科技,前端工程师,6k-9k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 不限,“餐补，节日福利，年内多次调薪，项目奖金等”,移动端 前端开发 Web前端 Vue ,[小店区]
清木有,前端开发工程师,6k-10k,"软件开发,数据服务 未融资 15-50人",经验3-5年 本科,“垂直领域，可提升能力”,教育 前端开发 移动端 Web前端 Flutter ,[坞城]
硕联电子,前端开发工程师,4k-7k,信息安全、数据服务 未融资 15-50人,经验3-5年 大专,“绩效奖金，项目奖金，双休”,Javascript 前端开发 HTML Web前端 ,[万柏林区]
玖邦科技,前端开发工程师,5k-7k,软件开发、电商 未融资 15-50人,经验3-5年 大专,“五险、双休”,HTML bootstrap ,[坞城]
深圳市壹平台,web前端开发工程师,5k-8k·13薪,软件开发 未融资 150-500人,经验1-3年 本科,“五险一金、双休、节日福利、员工团建”,Vue ,[小店区]
谦润和,移动前端开发工程师,6k-8k,软件开发 未融资 15-50人,经验1-3年 不限,“五险一金、补充医疗保险”,前端开发 ,[晋源区]
卡布达,前端工程师+五险一金,5k-9k,"移动互联网,电商 不需要融资 50-150人",经验1-3年 本科,“季度涨薪”,电商 视频 前端开发 Web前端 Node.js ,[小店区]
全球蛙,高级前端开发工程师,9k-15k,"移动互联网,电商 天使轮 50-150人",经验3-5年 不限,“山西最好的互联网企业”,大数据 前端开发 React webpack CSS ,[小店区]
安硕信息（amarsoft）,JAVA开发工程师（太原）,7k-11k,金融 上市公司 2000人以上,经验1-3年 本科,“上市公司 牛人带队 金融行业 福利健全”,后端 Java ,[坞城]
北京数介科技有限公司,java开发工程师,8k-10k,数据服务 A轮 50-150人,经验1-3年 本科,“学习空间大”,Java ,[晋源区]
河北星泰,高级Java工程师,6k-10k,软件开发 未融资 150-500人,经验3-5年 大专,“职位晋升、带薪培训、节日福利、五险、定期团建”,Java 数据库 ,[小店区]
山西百信信息,python,4k-7k,企业服务 未融资 500-2000人,经验3-5年 本科,"“五险 餐补节日福利年终奖励双休
****”",信息安全 ,[小店区]
吉大正元,中级java开发工程师,6k-8k,信息安全 不需要融资 500-2000人,经验1-3年 本科,“拟上市企业，发展前景好”,Java ,[坞城]
泉尊电子科技,java开发工程师,8k-14k,"移动互联网,数据服务 未融资 50-150人",经验1-3年 本科,"“五险一金,带薪年假,节日福利,待遇好”",后端 J2EE Javascript Java ,[长风街]
广州星鸟科技,java开发工程师（太原分部）,8k-15k,"移动互联网,数据服务 不需要融资 150-500人",经验1-3年 本科,"“待遇高,管理宽松,内部培训,五险一金”",Java 数据库 ,[小店区]
北京华云天下科技有限公司,中级java软件工程师,6k-12k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“地铁周边，领导nice，美女如云”,云计算 J2EE 后端 ,[坞城]
企拓网络,程序开发,8k-10k,"物流丨运输,数据服务 未融资 15-50人",经验3-5年 本科,“五险一金”,PHP Java ,[万柏林区]
猫游网络,.net开发工程师,6k-9k,"信息安全,通讯电子 未融资 15-50人",经验1-3年 不限,“诚聘有梦想的你加入我们的团队”,C# .NET ,[小店区]
北京华云天下科技有限公司,中级java软件工程师,7k-12k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“发展前景好”,企业服务 后端 ,[坞城]
宿达网络,java后端,6k-8k,企业服务、软件开发 未融资 少于15人,经验3-5年 不限,“简单易上手，工作弹性”,后端 MySQL Linux/Unix ,[下元]
