公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
东方国信,Java工程师（HYZC17wn）(J12126),6k-12k·14薪,数据服务 上市公司 2000人以上,经验1-3年 本科,“13薪、年终奖、带薪年假、定期体检”,Java ,[小店区]
北京数介科技有限公司,java开发工程师,8k-10k,数据服务 A轮 50-150人,经验1-3年 本科,“学习空间大”,Java ,[晋源区]
格蒂电力,实施工程师,8k-15k,企业服务 未融资 500-2000人,经验3-5年 大专,“上市公司，福利待遇优厚，职业发展空间广阔”,Oracle ETL Hadoop 数据仓库 ,[桥东]
格蒂电力,大数据工程师,8k-12k,企业服务 未融资 500-2000人,经验3-5年 本科,“上市公司，福利待遇优厚，职业发展空间广阔”,Oracle ETL Spark Hadoop ,[桥东]
代乐乐,php后端,3k-6k,"移动互联网,企业服务 未融资 15-50人",经验1-3年 大专,“弹性制工作，五险，带薪培训，可晋升”,新零售 移动互联网 后端 MySQL Laravel JS ,[鼓楼]
初灵信息,linux运维工程师,5k-8k,"移动互联网,数据服务 上市公司 500-2000人",经验1-3年 大专,“弹性工作；六险一金；租房补助；午餐补贴”,运维 Linux ,[坞城]
尚学堂,java开发工程师+五险一金,8k-10k,"教育,移动互联网 未融资 150-500人",经验1-3年 大专,“五险一金”,Java 后端 ,[迎泽区]
富士康科技集团,系统开发工程师,9k-13k,"电商,数据服务 上市公司 2000人以上",经验5-10年 本科,“五险一金、绩效奖金、定期体检、节日福利”,年底双薪 带薪年假 全新的平台 绩效奖金 ,[小店区]
传智播客,Java导师(J12731),25k-35k,教育 C轮 500-2000人,经验5-10年 大专,“阿里P6级薪资+半月带薪年假+大平台”,教育 移动互联网 分布式 中间件 架构师 Java ,[杏花岭区]
传智播客,Java高级开发工程师,25k-35k,教育 C轮 500-2000人,经验5-10年 本科,“阿里P6级薪资+半月带薪年假+大平台”,教育 中间件 后端 系统架构 Java ,[杏花岭区]
山西特信环宇信息技术有限公司,go开发工程师,4k-8k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 本科,“双休五险”,Golang Python ,[小店区]
山西百信信息,python,4k-7k,企业服务 未融资 500-2000人,经验3-5年 本科,"“五险 餐补节日福利年终奖励双休
****”",信息安全 ,[小店区]
吉大正元,中级java开发工程师,6k-8k,信息安全 不需要融资 500-2000人,经验1-3年 本科,“拟上市企业，发展前景好”,Java ,[坞城]
北京华云天下科技有限公司,中级java软件工程师,6k-12k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“地铁周边，领导nice，美女如云”,云计算 J2EE 后端 ,[坞城]
专注海外置业,高级php开发工程师,7k-14k,移动互联网 不需要融资 50-150人,经验5-10年 本科,“五险，团建，零食下午茶”,后端 PHP 数据库 ,[北营]
鹭友科技,java开发,3k-6k·13薪,软件开发 未融资 少于15人,经验1-3年 本科,“团队氛围”,Java MySQL ,[小店区]
鹭友科技,java开发,5k-9k·13薪,软件开发 未融资 少于15人,经验3-5年 本科,“福利”,,[小店区]
来回出行,java开发工程师,8k-12k,"其他,汽车丨出行 未融资 50-150人",经验3-5年 本科,“国企血统”,Java MySQL C++ ,[小店区]
山西清风渡信息技术有限公司,qt开发工程师,5k-10k,"企业服务,其他 未融资 少于15人",经验3-5年 不限,“公司五险，弹性上班等等”,工具软件 大数据 软件开发 C++ ,[小店区]
玖邦科技,Java开发工程师,6k-8k,软件开发、电商 未融资 15-50人,经验5-10年 本科,“初创公司，注重人才培养，发挥空间大”,企业服务 工具软件 ,[坞城]
猫游网络,.net开发工程师,6k-9k,"信息安全,通讯电子 未融资 15-50人",经验1-3年 不限,“诚聘有梦想的你加入我们的团队”,C# .NET ,[小店区]
北京华云天下科技有限公司,中级java软件工程师,7k-12k,"数据服务,移动互联网 不需要融资 50-150人",经验3-5年 本科,“发展前景好”,企业服务 后端 ,[坞城]
小石小木,开发工程师,6k-8k,"数据服务,人工智能 未融资 少于15人",经验应届毕业生 不限,“人工智能 股权分配 扁平管理”,企业服务 工具软件 高级技术管理 业务流程管理 ,[小店区]
华山科技,JAVA高级软件工程师,8k-15k,"金融,移动互联网 不需要融资 15-50人",经验5-10年 本科,“发展前景 福利待遇”,银行 教育 Java 移动开发 数据采集 ,[小店区]
传智播客,Java导师(J12818),20k-30k,教育 C轮 500-2000人,经验5-10年 本科,“五险一金 奖金 补助等学习提升机会”,教育 Java ,[杏花岭区]
传智播客,Java高级工程师(J12821),25k-35k,教育 C轮 500-2000人,经验5-10年 本科,“五险一金 奖金 补助等学习提升机会”,Java ,[杏花岭区]
格蒂电力,数据架构师,10k-18k,企业服务 未融资 500-2000人,经验5-10年 大专,“上市公司，福利待遇优厚，职业发展空间广阔”,ETL 数据架构 Hadoop Oracle ,[桥东]
