公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
文景信息,.net c# 开发工程师,6k-12k,"移动互联网,其他 不需要融资 50-150人",经验不限 本科,“氛围好、福利好、晋升快”,移动互联网 工具软件 C#/.NET ASP MySQL ,[友谊大道]
文景信息,.NET C#研发实习生（武汉）,3k-5k,"移动互联网,其他 不需要融资 50-150人",经验应届毕业生 本科,“朝阳行业，氛围好、福利好”,企业服务 物流 C#/.NET ,[友谊大道]
国科云漫,c#开发工程师,10k-16k·13薪,"企业服务,电商 A轮 50-150人",经验5-10年 大专,“研究所工作，技术背景强大，流程正规”,企业服务 信息安全 C# ,[洪山区]
ThoughtWorks,后端开发工程师（Java、C#，Python）,12k-24k,企业服务 不需要融资 2000人以上,经验不限 不限,“外企背景 追求技术卓越 扁平化管理”,Python C++ ,[鲁巷]
采招云公司,C#桌面软件开发工程师,6k-12k,"电商,移动互联网 未融资 15-50人",经验1-3年 本科,“五险一金、餐补、交通补、通讯补、寒暑补”,后端 C#/.NET ,[武珞路]
上海强辰信息技术武汉...,C# 对日开发 工程师,7k-12k·13薪,企业服务 不需要融资 50-150人,经验3-5年 本科,“项目稳定”,C# ,[关山]
颂大教育,C#开发工程师,12k-18k,"教育,数据服务 上市公司 150-500人",经验3-5年 本科,"“五险一金,空间大,发展好”",教育 移动互联网 ,[东湖新技术开发区]
云台数据,c#开发工程师,8k-10k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 本科,"“五险一金,餐补,交通补助”",后端 C#/.NET 分布式 客户端 ,[洪山区]
国科云漫,c#开发工程师(外派),10k-15k·13薪,"企业服务,电商 A轮 50-150人",经验3-5年 大专,“工作氛围佳、业务提升快”,.NET MySQL ,[洪山区]
力迩斯,C#,7k-10k,移动互联网 A轮 50-150人,经验3-5年 本科,“工资高 ，奖金高”,C#/.NET 嵌入式 ,[东西湖区]
超图软件,c#开发工程师,7k-10k,"移动互联网,数据服务 上市公司 2000人以上",经验1-3年 本科,“六险一金”,地图 C# 后端 软件开发 ,[洪山区]
中仪物联,C#,11k-20k·14薪,"其他,物联网 上市公司 150-500人",经验3-5年 本科,“轻松的团队氛围/项目奖金”,,[东湖新技术开发区]
阿里印,C#开发工程师,7k-10k·14薪,"电商,企业服务 天使轮 少于15人",经验1-3年 本科,“双休 五险一金 期权”,电商 云计算 后端 ,[东湖新技术开发区]
中咨数据,C#开发工程师,13k-21k,"其他,移动互联网 不需要融资 150-500人",经验3-5年 本科,“发展前景好”,C#/.NET ,[新华]
烽火技服,C# .NET开发中高级工程师,8k-15k,"移动互联网,信息安全 不需要融资 500-2000人",经验5-10年 本科,“团队扁平化 有较好的开发氛围和公司福利”,大数据 信息安全 客户端 服务器端 Wpf Winform ,[流芳]
纬创软件（武汉）有限公司,C#/.net 架构师,15k-22k,"移动互联网,企业服务 上市公司 2000人以上",经验不限 本科,“发展前景好；周末双休；公司规模大”,大数据 C# .NET ,[东湖新技术开发区]
顺丰科技有限公司,DSQ-测试工程师-武汉岗位,18k-35k,"软件开发,数据服务 不需要融资 2000人以上",经验3-5年 本科,“职位发展前景大，福利高”,测试 ,[流芳]
至邦工程,.net开发工程师,3k-6k,软件开发 不需要融资 50-150人,经验不限 本科,“软件工程师”,.NET C# 后端 数据库 ,[光谷]
优品财富管理有限公司,web前端工程师,10k-17k,金融 未融资 500-2000人,经验5-10年 本科,“大牛云集”,Web前端 Angularjs React native ,[流芳]
多比特,Unity3D开发工程师,10k-18k,"移动互联网,文娱丨内容 不需要融资 150-500人",经验3-5年 本科,“公司和个人成长快，福利全面，团队氛围好”,游戏 Unity3d ,[洪山区]
神州数码,.net高级开发工程师,15k-25k,"硬件,数据服务 上市公司 2000人以上",经验3-5年 本科,“六险一金、员工体检、餐补、通讯补贴等”,C#/.NET ,[流芳]
国科云漫,web前端开发工程师,10k-16k·13薪,"企业服务,电商 A轮 50-150人",经验5-10年 大专,“研究所工作，技术背景强大，流程正规”,Web前端 Vue ,[洪山区]
战吼,游戏研发工程师【实习】,4k-5k,"移动互联网,社交 A轮 15-50人",经验应届毕业生 本科,"“爆款游戏,跟大牛学习,工作气氛活跃”",游戏 Unity3d ,[关山]
战吼,游戏研发工程师,8k-16k,"移动互联网,社交 A轮 15-50人",经验应届毕业生 本科,"“爆款游戏,跟大牛学习,工作气氛活跃”",游戏 Unity3d ,[关山]
哈工智慧,GIS研发工程师(应届生),8k-15k,"人工智能,软件开发 未融资 150-500人",经验应届毕业生 本科,“发展平台大，成长机制全， 丰厚的福利”,前端开发 ,[武汉经济技术开发区]
北京尖峰武汉分公司,JavaScript 工程师,8k-15k,"数据服务,其他 不需要融资 50-150人",经验不限 本科,“六险一金”,Javascript ,[流芳]
金慧软件,.net软件工程师（武汉）,8k-15k·13薪,移动互联网 未融资 150-500人,经验3-5年 本科,“产品研发；大项目设计架构”,.NET C# ,[古田]
万科,CAD资深工程师,15k-20k,房产家居 上市公司 2000人以上,经验3-5年 本科,“世界500强，公司级重点项目，福利好”,CAD/制图 ,[东湖新技术开发区]
泛员网,.net开发工程师 （中级）,7k-12k,企业服务 不需要融资 150-500人,经验3-5年 本科,“扁平化管理 宽带薪酬 双通道发展 周末双休”,MySQL 后端 分布式 ,[丁字桥]
微派,游戏客户端开发工程师,15k-25k,社交 B轮 150-500人,经验3-5年 本科,"“独挡一面,技术氛围好,空间大”",游戏 Unity3d ,[东湖新技术开发区]
