公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
北京尖峰武汉分公司,C++,10k-20k,"数据服务,其他 不需要融资 50-150人",经验1-3年 本科,“专业技能培训，发展空间大，福利待遇好。”,节日礼物 带薪年假 绩效奖金 年度旅游 ,[流芳]
武汉睿之航科技有限公司,c++,7k-10k·13薪,"硬件,消费生活 未融资 150-500人",经验1-3年 本科,“C++”,,[流芳]
优品财富管理有限公司,LinuxC/C++,8k-15k,金融 未融资 500-2000人,经验3-5年 本科,"“腾讯团队,薪酬好,福利好,氛围好”",服务器端 ,[流芳]
国科云漫,C++/QT开发工程师,10k-18k·13薪,"企业服务,电商 A轮 50-150人",经验3-5年 大专,“研究生工作，技术背景强，流程正规”,大数据 企业服务 C C++ ,[洪山区]
天喻信息,c++开发工程师,10k-16k·15薪,"移动互联网,信息安全 上市公司 2000人以上",经验3-5年 本科,“上市公司 平台好 双休 免费班车 工作餐”,C++ ,[洪山区]
数科网维,初级C++工程师,8k-15k,企业服务 未融资 150-500人,经验不限 大专,“团建、年度旅游、年终奖、项目奖、弹性办公”,Linux/Unix QT MFC ,[流芳]
数科网维,高级c++工程师,10k-20k,企业服务 未融资 150-500人,经验3-5年 本科,“团建、年度旅游、年终奖、项目奖、弹性办公”,Linux/Unix ,[流芳]
有为信息,高级C/C++开发工程师,12k-20k,"移动互联网,硬件 不需要融资 500-2000人",经验3-5年 本科,“六险一金，具有竞争力的薪资水平，各项补贴”,C++ 流媒体转封装 视频流转码 视频编解码 ,[关山]
青藤云安全,c++开发工程师,15k-25k,数据服务 B轮 150-500人,经验3-5年 本科,“下午茶、餐补、房补、竞争力的薪资”,客户端 后端 C++ ,[关山]
多比特,C++游戏开发工程师,15k-25k,"移动互联网,文娱丨内容 不需要融资 150-500人",经验3-5年 本科,"“五险一金,定期体检旅,每年调薪,下午茶”",游戏 C++ Python ,[洪山区]
多比特,C++游戏开发工程师,10k-15k,"移动互联网,文娱丨内容 不需要融资 150-500人",经验1-3年 本科,“充分授权 福利完善”,游戏 服务器端 客户端 C++ ,[洪山区]
青藤云安全,高级C++开发工程师,20k-35k,数据服务 B轮 150-500人,经验5-10年 本科,“五险一金 期权激励”,信息安全 C++ ,[东湖新技术开发区]
国科云漫,C++/QT（外派）,10k-15k·13薪,"企业服务,电商 A轮 50-150人",经验3-5年 大专,“办公环境不错，直系leader优”,C++ ,[洪山区]
未来科技城,C++ 开发工程师（武汉）,10k-20k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“五险一金 周末双休 餐补交补”,通信/网络设备 C++ ,[洪山区]
未来科技城,C++开发工程师（要求2020届）,10k-20k·14薪,"移动互联网,企业服务 不需要融资 50-150人",经验不限 本科,“五险一金、14-16薪、周末双休，福利齐全”,C++ 算法 软件开发 ,[洪山区]
惟景三维,软件工程师(C++),12k-18k·13薪,"硬件,人工智能 未融资 50-150人",经验1-3年 本科,“五险一金 年终奖 项目奖金 员工旅游”,C++ 后端 ,[东湖新技术开发区]
通达信,C/C++开发工程师,15k-25k,移动互联网 不需要融资 150-500人,经验5-10年 本科,“五险一金，节假日福利”,C C++ ,[关山]
中庆集团,c++（音视频）,10k-20k,"教育,人工智能 未融资 150-500人",经验3-5年 本科,“食堂+班车+五险一金+年终奖+双休+体检”,C++ ,[关山]
斗鱼直播,高级C++客户端开发工程师 (MJ000273),25k-35k,文娱丨内容 上市公司 2000人以上,经验5-10年 本科,“工作氛围棒 快速发展 平台大 企业文化好”,移动互联网 即时通讯 C++ Windows 音视频 客户端 ,[关山]
斗鱼直播,高级C++后台开发工程师 (MJ000287),20k-35k,文娱丨内容 上市公司 2000人以上,经验3-5年 本科,“工作氛围棒 快速发展 平台大 企业文化好”,移动互联网 即时通讯 服务器端 C++ Linux/Unix ,[关山]
安徽省刀锋网络科技有限公司,C++高级开发工程师/架构师,20k-35k,"移动互联网,游戏 B轮 500-2000人",经验3-5年 大专,“高速发展，机遇，分红，有激情，腾讯系”,客户端 C++ ,[东湖新技术开发区]
百旺金赋,C++开发工程师,15k-20k,"移动互联网,其他 不需要融资 150-500人",经验3-5年 本科,"“五险一金,14薪,周末双休,免费班车”",企业服务 信息安全 C++ ,[东湖新技术开发区]
千流网络,c++开发工程师,8k-15k,"数据服务,软件开发 未融资 少于15人",经验1-3年 本科,“五险一金，奖金”,C++ 后端 游戏开发 ,[徐东]
雷龙游戏,C++游戏服务器工程师,5k-8k,"移动互联网,游戏 不需要融资 15-50人",经验不限 大专,"“周末双休,五险一金,每日下午茶,节日福利”",游戏 体育 服务器端 后端 C++ ,[洪山区]
雷龙游戏,C++游戏服务器资深开发工程师,9k-18k,"移动互联网,游戏 不需要融资 15-50人",经验1-3年 大专,"“发展迅速,扁平管理,五险一金,周末双休”",游戏 社交 服务器端 C++ 游戏开发 移动开发 ,[洪山区]
楚匠网络,C++开发工程师-小程序,15k-25k,软件开发 未融资 15-50人,经验3-5年 大专,“五险一金 餐饮交通补贴”,大数据 工具软件 C/C++ ,[常青]
通达信,高级c++开发工程师,14k-24k·13薪,"移动互联网,金融 不需要融资 150-500人",经验5-10年 本科,“年终奖金、每年多次调薪、节日福利”,C++ C ,[光谷]
新创云图,C++开发工程师（烽火外包）,6k-12k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 大专,"“五险一金,年终奖,通讯补贴,节假日福利”",软件开发 C++ ,[东湖新技术开发区]
天喻信息,c++开发工程师（校招）,8k-10k·14薪,"移动互联网,信息安全 上市公司 2000人以上",经验不限 硕士,“国企背景，团队氛围良好，领导负责”,C++ ,[洪山区]
中科创新,C/C++软件工程师,10k-18k,其他 未融资 150-500人,经验1-3年 本科,“C/C++ VS Qt Windows”,C C++ ,[东湖新技术开发区]
北京天融信公司,linux c/c++高级开发工程师,16k-22k·15薪,信息安全 上市公司 2000人以上,经验5-10年 本科,“年终奖、五险一金、旅游、交通补助、餐补”,信息安全 通信/网络设备 软件开发 架构师 C C++ ,[长青]
华为技术有限公司,c++开发工程师,15k-30k,通讯电子 不需要融资 2000人以上,经验1-3年 本科,“五险一金、绩效奖金、股票期权”,云计算 通信/网络设备 C++ 云计算 光通信 架构师 ,[东湖新技术开发区]
华为技术有限公司,C/C++软件开发工程师（5G）,20k-40k,通讯电子 不需要融资 2000人以上,经验3-5年 本科,“正式岗位！ 五险一金、绩效奖金、股票期权”,云计算 通信/网络设备 后端 C C++ Java ,[东湖新技术开发区]
金山办公软件,c++,12k-24k,移动互联网 上市公司 2000人以上,经验3-5年 本科,"“六险一金,年终奖金,高额餐补,下午茶”",工具软件 移动互联网 IOS 内核开发 算法 Android ,[关山]
卓讯互动,C/C++开发工程师,10k-20k,"移动互联网,游戏 不需要融资 150-500人",经验3-5年 本科,“五险一金，带薪年假，绩效奖金，年终奖”,C C++ 服务器端 后端 ,[光谷]
卓讯互动,游戏服务端c++,11k-18k·13薪,"移动互联网,游戏 不需要融资 150-500人",经验1-3年 本科,“五险一金，带薪年假，绩效奖金，年终奖”,C++ ,[光谷]
奥浦信息,linux c/c++开发工程师,6k-12k·13薪,信息安全 未融资 50-150人,经验1-3年 本科,"“五险一金,周末双休,年底双薪,员工旅游”",C++ ,[江夏区]
金山世游,C++游戏开发,15k-30k,游戏 上市公司 2000人以上,经验3-5年 本科,“优秀团队、双休”,年底双薪 绩效奖金 年度旅游 美女多 ,[江夏区]
游兰网络,c++服务端实习生,3k-5k,游戏 未融资 50-150人,经验应届毕业生 大专,“手游 五险一金 包含中晚餐”,C++ 服务器端 ,[汉阳区]
武汉金策略信息科技有限公司,c++开发工程师,15k-25k,移动互联网 未融资 50-150人,经验3-5年 大专,“五险一金 周末双休 管理规范 领导好”,C++ ,[关山]
共成联创,c++开发工程师,8k-13k,移动互联网 不需要融资 50-150人,经验1-3年 大专,“五险一金，带薪年假，双休”,C++ ,[东湖新技术开发区]
国网信通产业集团亿力吉奥公司,【武汉】C++开发工程师,8k-15k,"移动互联网,信息安全 不需要融资 500-2000人",经验3-5年 本科,"“平台大,高福利,技术氛围好”",C++ C ,[徐东]
慧明和创,C++工程师,10k-20k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 本科,"“合作开发,技术挑战”",C++ 软件开发 ,[洪山区]
武汉金策略信息科技有限公司,C++软件工程师,10k-20k,移动互联网 未融资 50-150人,经验3-5年 大专,"“五险一金,周末双休,法定节假日”",旅游 软件开发 C++ Java ,[关山]
芯云道数据科技,c++开发工程师,11k-20k,金融 未融资 15-50人,经验1-3年 本科,“五险一金，双休，下午茶，节日福利”,互联网金融 证券/期货 C++ C Linux/Unix ,[东湖新技术开发区]
中观,C++软件开发工程师,8k-16k,其他 不需要融资 50-150人,经验1-3年 本科,“工作餐、丰富的团队活动等”,汽车 智能硬件 前端开发 C/C++ ,[洪山区]
思达尔科技,C++初级工程师,6k-8k,其他 D轮及以上 50-150人,经验不限 大专,“五险一金/12天带薪年假/14个月薪资”,电子/半导体/集成电路 ,[东湖新技术开发区]
武汉港迪电气有限公司,c++开发工程师,8k-15k,其他 不需要融资 500-2000人,经验1-3年 本科,“早八晚五、周末双休”,C++ 后端 ,[东湖新技术开发区]
