公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
广州源创,java开发工程师,7k-12k·13薪,"电商,企业服务 不需要融资 50-150人",经验1-3年 本科,“个人发展 工作环境”,金融 Java Shell MySQL ,[江汉区]
GYENNO,java开发工程师,8k-15k,医疗丨健康 B轮 50-150人,经验3-5年 本科,“医疗健康”,Java ,[东湖新技术开发区]
朗蕴科技,java开发工程师,6k-9k,移动互联网 未融资 50-150人,经验1-3年 不限,“周末双休，实缴五险一金”,电商 后端 ,[洪山区]
鸿链科技,JAVA,14k-22k,"物联网,软件开发 A轮 50-150人",经验3-5年 本科,"“五险一金,十三薪,奖金,技术提升”",后端 ,[东湖新技术开发区]
盛天网络,Java开发工程师,10k-16k,"游戏,文娱丨内容 上市公司 500-2000人",经验1-3年 不限,“上市公司，发展空间大，福利完善”,移动互联网 后端 ,[东湖新技术开发区]
湖北华旺达信息技术,java高级开发工程师,10k-18k,"移动互联网,金融 不需要融资 50-150人",经验3-5年 本科,“团队实力扎实”,企业服务 电商 Java ,[光谷]
天喻信息,java开发工程师,10k-18k,"移动互联网,信息安全 上市公司 2000人以上",经验3-5年 本科,“团队好 大牛 免费工作餐 班车”,Java ,[洪山区]
中科图灵,高级java开发工程师,15k-25k,"移动互联网,电商 天使轮 15-50人",经验5-10年 本科,“五险一金 餐饮补贴 年终奖金 周末双休”,大数据 ,[洪山区]
中科图灵,Java高级开发工程师,18k-35k,"移动互联网,电商 天使轮 15-50人",经验5-10年 本科,“五险一金 加班餐补”,年底双薪 绩效奖金 带薪年假 定期体检 ,[洪山区]
数科网维,JAVA工程师,8k-15k·13薪,企业服务 未融资 150-500人,经验3-5年 本科,“弹性办公、双休、补助、项目奖金、年终奖”,Java ,[流芳]
青藤云安全,java开发工程师,15k-25k,数据服务 B轮 150-500人,经验5-10年 本科,“下午茶、技术成长、双休、”,服务器端 ,[关山]
筑龙信息,java开发工程师,9k-15k,移动互联网 不需要融资 150-500人,经验不限 本科,“周末双休 五险一金 定期体检 带薪年假”,Java 后端 数据库 ,[武昌区]
多比特,JAVA开发工程师,10k-15k,"移动互联网,文娱丨内容 不需要融资 150-500人",经验1-3年 本科,"“薪资福利好,年终丰厚,充分授权”",后端 服务器端 ,[洪山区]
百得思维,java开发工程师,10k-13k·14薪,其他 未融资 2000人以上,经验3-5年 本科,“五险一金+双休+餐补+话补”,Java ,[洪山区]
青藤云安全,高级java开发工程师,20k-30k,数据服务 B轮 150-500人,经验5-10年 本科,“五险一金 期权计划 弹性工作”,后端 服务器端 Java ,[东湖新技术开发区]
瀚正科技,java开发工程师,6k-10k,"人工智能,软件开发 不需要融资 15-50人",经验3-5年 本科,“老大nice，车补餐补话补”,Java ,[汉阳区]
朗蕴科技,java开发工程师,6k-9k,移动互联网 未融资 50-150人,经验1-3年 大专,“做五休二”,Java ,[武汉经济技术开发区]
上海拓云信息科技有限公司,JAVA开发工程师,8k-16k,"企业服务,数据服务 天使轮 15-50人",经验3-5年 本科,"“股权激励,年终奖金,团队拓展,五险一金”",云计算 大数据 后端 ,[江夏区]
