公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
财人汇,数据库开发工程师（Oracle开发）,11k-16k,"移动互联网,金融 上市公司 150-500人",经验3-5年 本科,"“五险一金,技术氛围佳,各项福利全”",MySQL Oracle Java ,[新华]
斗鱼直播,dba工程师,15k-25k·15薪,文娱丨内容 上市公司 2000人以上,经验3-5年 本科,“福利待遇健全，发展前景好”,MySQL ,[关山]
斗鱼直播,【2021秋招】DBA工程师（武汉） (MJ000648),10k-20k·15薪,文娱丨内容 上市公司 2000人以上,经验应届毕业生 本科,“福利待遇好，发展空间大”,移动互联网 ,[关山]
回收哥,数据库开发工程师,8k-15k,消费生活 未融资 150-500人,经验3-5年 本科,“独立设计业务系统的报表和数据分析平台。”,数据架构 MySQL DBA ,[关山]
朗新科技,高级数据库开发工程师(J11429),8k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验5-10年 本科,“六险一金/双休/差补/年底双薪”,数据仓库 数据挖掘 Java 数据分析 ,[洪山区]
朗新科技,DBA(J11526),6k-12k·14薪,"移动互联网,企业服务 上市公司 2000人以上",经验1-3年 本科,“五险一金/补充商业保险/双休”,DBA MySQL ,[武昌区]
四通信服,dba数据库管理员,7k-12k,"企业服务,信息安全 不需要融资 150-500人",经验3-5年 本科,“周末双休 福利好 发展前景好”,DBA ,[江夏区]
云智汇科技服务,数据库管理员DBA,9k-12k,数据服务 上市公司 500-2000人,经验1-3年 大专,“周末双休 五险一金 年底奖金”,Oracle SQLServer DBA ,[流芳]
顺丰科技有限公司,DSQ-测试工程师-武汉岗位,18k-35k,"软件开发,数据服务 不需要融资 2000人以上",经验3-5年 本科,“职位发展前景大，福利高”,测试 ,[流芳]
招银云创,初级-Java开发工程师-武汉,8k-12k,"金融,移动互联网 不需要融资 150-500人",经验不限 本科,“招行一级子公司、商业保险、定期体检”,Java ,[江汉区]
纸贵科技,Java开发工程师（武汉）,15k-26k,"文娱丨内容,企业服务 A轮 50-150人",经验3-5年 本科,“带薪假期、员工福利、扁平管理”,Java Golang ,[武昌区]
