公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
易游顶峰 TE,PHP开发工程师,7k-8k,"移动互联网,电商 A轮 50-150人",经验1-3年 大专,“周末双休 五险一金 带薪年假 年终奖金”,旅游 电商 PHP MySQL ,[关山]
Firestorm,php开发工程师,9k-16k,"移动互联网,金融 A轮 15-50人",经验3-5年 本科,"“扁平化管理,发展空间大,股票期权”",移动互联网 Linux/Unix MySQL ,[鲁巷]
伴伴,高级PHP开发工程师,20k-40k,"移动互联网,社交 不需要融资 150-500人",经验3-5年 本科,"“氛围欢乐,领导耐撕,管理扁平,弹性工作”",后端 Phalcon 分布式 ,[洪山区]
盛天网络,php开发工程师,10k-13k,"游戏,文娱丨内容 上市公司 500-2000人",经验3-5年 大专,“福利好 发展快”,电商 PHP ,[东湖新技术开发区]
盛天网络,PHP开发工程师,10k-15k·14薪,"游戏,文娱丨内容 上市公司 500-2000人",经验3-5年 大专,“六险一金，免费下午茶，发展空间”,PHP ,[东湖新技术开发区]
中科图灵,PHP,10k-15k·13薪,"移动互联网,电商 天使轮 15-50人",经验3-5年 本科,“五险一金”,MySQL ,[洪山区]
ZingFront智线,php开发工程师,8k-15k,"移动互联网,数据服务 A轮 50-150人",经验1-3年 本科,“六险一金 超长年假 绩效奖金 福利多多”,移动互联网 后端 PHP ,[关山]
北京尖峰武汉分公司,PHP工程师,8k-16k,"数据服务,其他 不需要融资 50-150人",经验1-3年 本科,“发展空间大”,软件开发 ,[流芳]
易仓,PHP工程师,7k-12k,"移动互联网,电商 A轮 150-500人",经验3-5年 本科,“五险一金、员工旅游、专业培训、年终奖金”,工具软件 电商 Linux/Unix ERP PHP JS ,[关山]
多游科技,PHP工程师,7k-14k,移动互联网 不需要融资 50-150人,经验不限 不限,"“包食宿,发展空间大,五险一金,年轻化”",PHP ,[徐东]
洪山区福瑞和教育培训学校,php工程师,6k-11k,教育 未融资 15-50人,经验3-5年 本科,“发展前景光明，福利待遇优厚”,教育 PHP 后端 ,[洪山区]
Firestorm,PHP后台工程师,7k-12k,"移动互联网,金融 A轮 15-50人",经验不限 本科,"“扁平化管理,发展空间大,股票期权”",移动互联网 PHP MySQL ,[洪山区]
博看网,初中高级PHP开发,10k-20k,"移动互联网,文娱丨内容 不需要融资 150-500人",经验3-5年 大专,“13薪，加班少，公司实力强”,移动互联网 后端 PHP ,[江汉区]
可待科技,PHP产品研发工程师,9k-14k,"移动互联网,电商 不需要融资 15-50人",经验3-5年 本科,“免费零食，丰厚的项目奖金，轻松的工作氛围”,PHP MySQL ,[洪山区]
可待科技,PHP项目开发工程师,6k-11k,"移动互联网,电商 不需要融资 15-50人",经验1-3年 本科,“免费零食，丰厚的项目奖金，轻松的工作氛围”,PHP MySQL ,[洪山区]
ZingFront智线,中高级php开发工程师,12k-20k,"移动互联网,数据服务 A轮 50-150人",经验3-5年 本科,“六险一金 超长年假 绩效奖金 福利多多”,移动互联网 后端 服务器端 PHP ,[关山]
朗蕴科技,CI/php 开发工程师,6k-9k·13薪,移动互联网 未融资 50-150人,经验1-3年 大专,“做五休二，员工旅游”,PHP 分布式 ,[武汉经济技术开发区]
武汉飞猫环球商贸有限公司,php中级开发工程师,6k-10k,"电商,其他 未融资 150-500人",经验1-3年 本科,“节日物资 带薪年假 五险”,体育 PHP 后端 软件开发 ,[江夏区]
安徽省刀锋网络科技有限公司,PHP微服务架构师,20k-30k,"移动互联网,游戏 B轮 500-2000人",经验5-10年 本科,“氛围好”,游戏 社交 服务器端 后端 ,[东湖新技术开发区]
明源云,PHP LD,13k-18k·13薪,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 大专,“技能提升 扁平化管理 团队氛围好”,移动互联网 房产服务 PHP docker MySQL ,[洪山区]
