公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
柏睿数据,Python开发工程师,10k-20k·14薪,"数据服务,信息安全 B轮 50-150人",经验不限 本科,“大数据 多绩效”,大数据 Java Python ,[鲁巷]
ZingFront智线,python开发工程师,8k-15k,"移动互联网,数据服务 A轮 50-150人",经验1-3年 不限,“六险一金 超长年假 绩效奖金 福利多多”,移动互联网 后端 网络爬虫 python爬虫 Python ,[关山]
Firestorm,python工程师,8k-10k,"移动互联网,金融 A轮 15-50人",经验1-3年 本科,"“扁平化管理,发展空间大,股票期权”",移动互联网 MySQL ,[洪山区]
抖盟,python开发工程师,8k-16k,"数据服务,社交 未融资 50-150人",经验3-5年 本科,“公司大，上班环境好”,Python ,[硚口区]
森果,python后端,9k-15k,"移动互联网,企业服务 天使轮 50-150人",经验1-3年 本科,“技术大牛，项目奖金，自主研发，提供mac”,后端 Python ,[江夏区]
云杉智达科技,高级python开发工程师,15k-25k,"移动互联网,企业服务 不需要融资 15-50人",经验3-5年 本科,“五险一金 节假日福利”,Python ,[新华]
哥本巷,python中级开发工程师,10k-20k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,“五险一金，餐补，带薪年假，双休”,移动互联网 Python MySQL 数据抓取 ,[关山]
极验,Python（极验验证）,9k-18k,"信息安全,数据服务 B轮 50-150人",经验3-5年 不限,“双休+弹性工作制+五险一金+餐补”,股票期权 绩效奖金 交通补助 带薪年假 ,[东湖新技术开发区]
有为信息,Python自动化开发工程师,6k-10k·14薪,"移动互联网,硬件 不需要融资 500-2000人",经验1-3年 本科,“六险一金，具有竞争力的薪资水平，各项补贴”,Python ,[关山]
ZingFront智线,中高级python开发工程师,12k-20k,"移动互联网,数据服务 A轮 50-150人",经验3-5年 本科,“六险一金 超长年假 绩效奖金 福利多多”,移动互联网 Python python爬虫 ,[关山]
百旺金赋,python开发,6k-8k,"移动互联网,其他 不需要融资 150-500人",经验1-3年 本科,"“五险一金,14薪,周末双休,免费班车”",企业服务 移动互联网 Python Linux/Unix 爬虫 抓取 ,[东湖新技术开发区]
数字绿土,后端开发工程师（Python Java ）,8k-15k·14薪,其他 A轮 50-150人,经验1-3年 本科,“弹性工作 竞争力薪酬 六险一金 发展好”,Python Java 数据库 ,[洪山区]
ThoughtWorks,后端开发工程师（Java、C#，Python）,12k-24k,企业服务 不需要融资 2000人以上,经验不限 不限,“外企背景 追求技术卓越 扁平化管理”,Python C++ ,[鲁巷]
森果,高级 Python 后端开发工程师,15k-25k,"移动互联网,企业服务 天使轮 50-150人",经验5-10年 本科,“丰厚的待遇，期权，施展才能的空间”,Python ,[江夏区]
武汉夜莺科技有限公司,高级Python后端开发工程师,21k-26k,企业服务 A轮 50-150人,经验3-5年 本科,“核心部门 发展前景大 涨薪快 工作氛围好”,企业服务 工具软件 Node.js 全栈 网络优化 ,[关山]
未有科技,python工程师,10k-18k,人工智能 未融资 50-150人,经验3-5年 本科,“优秀者有期权 扁平化管理”,MySQL Python Hadoop ,[洪山区]
一城同鑫智能,python开发工程师,10k-20k,移动互联网 未融资 15-50人,经验5-10年 大专,“发展空间大”,移动互联网 工具软件 Golang MySQL 后端 ,[武昌区]
创芯杰合伙企业,python金融数据工程师,6k-12k,"金融,软件开发 未融资 15-50人",经验3-5年 大专,“五险一金，下午茶，节日福利，双休”,期货 证券 证券分析 ,[东湖新技术开发区]
唯理科技,python爬虫工程师,9k-18k·14薪,企业服务 不需要融资 50-150人,经验1-3年 本科,“五险一金 带薪年假 团建培训 大牛带队”,爬虫 爬虫工程师 python爬虫 数据抓取 ,[东湖新技术开发区]
诚迈,Python自动化测试,8k-13k,"移动互联网,企业服务 不需要融资 2000人以上",经验1-3年 本科,"“五险一金,周末双休,带薪年假,加班费”",移动互联网 Android测试 测试开发 自动化测试 客户端 ,[东湖新技术开发区]
