公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
勇仕,资深游戏服务端（erlang，c++，c#等）,10k-20k,"移动互联网,游戏 上市公司 50-150人",经验3-5年 本科,"“奖金,分红,项目好,出国游”",游戏 服务器端 C++ Erlang C ,[湖里区]
天海图汇,c#软件开发工程师,5k-10k,数据服务 未融资 50-150人,经验1-3年 大专,“不断完善的竞争力优势的薪酬福利体系”,C#/.NET C# ,[思明区]
厦门易维,C#/.Net软件开发工程师,5k-10k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 大专,“五险一金，五天工作，每天8小时”,后端 C# .NET ,[思明区]
吉比特,U3D开发工程师,10k-20k,游戏 上市公司 500-2000人,经验3-5年 本科,“A股上市公司，薪酬福利好，做精品游戏”,Unity3d ,[思明区]
云之巅,.net开发工程师,7k-11k·13薪,移动互联网 未融资 15-50人,经验1-3年 本科,“五险一金，年底双薪”,.NET ,[集美区]
点触科技,服务端开发工程师（中高级）,10k-20k,游戏 上市公司 500-2000人,经验3-5年 本科,"“五险一金,免费班车,免费早餐,免费体检”",Java Python 嵌入式 ,[思明区]
点触科技,Unity3d开发工程师,12k-16k,游戏 上市公司 500-2000人,经验1-3年 本科,“福利待遇优厚，发挥空间巨大”,Unity3d ,[思明区]
勇仕,资深游戏客户端开发（U3D等）,12k-20k,"移动互联网,游戏 上市公司 50-150人",经验3-5年 本科,"“奖金,分红,项目好,出国游”",游戏 前端开发 Unity3d COCOS2D-X C/C++ ,[湖里区]
鼎捷软件,软件开发工程师,6k-8k,其他 上市公司 2000人以上,经验应届毕业生 本科,“扁平管理 上市公司”,MySQL 后端 软件开发 数据库 ,[集美区]
大道同行,U3D客户端程序（熟悉战斗系统开发）,18k-25k,游戏 不需要融资 50-150人,经验不限 本科,“资深团队、项目靠谱、研发氛围好、福利齐全”,游戏 前端开发 Unity3d ,[湖里区]
大道同行,C++服务端（欢迎应届生）,6k-12k,游戏 不需要融资 50-150人,经验不限 本科,“弹性工作制，食堂用餐，健身设施，吧台”,游戏 C++ 算法 游戏开发 C ,[湖里区]
缔盟科技,技术支持工程师,4k-6k,企业服务 未融资 15-50人,经验不限 本科,"“逻辑思维强,分析能力强,沟通表达能力强”",数据分析 IT支持 ,[思明区]
同步推,web前端开发工程师（21届）,3k-5k·13薪,移动互联网 不需要融资 150-500人,经验应届毕业生 本科,“福利好，氛围好，成长快”,React HTML CSS Web前端 ,[思明区]
缔盟科技,售前售后技术支持,4k-6k·13薪,企业服务 未融资 15-50人,经验应届毕业生 本科,“季度奖金”,通信/网络设备 工具软件 IT支持 ,[思明区]
青瓷,u3d,9k-16k,"移动互联网,游戏 未融资 150-500人",经验1-3年 大专,“福利待遇高”,游戏 Unity3d IOS C/C++ Android ,[思明区]
青瓷,U3D开发工程师,10k-20k,"移动互联网,游戏 未融资 150-500人",经验1-3年 大专,“五险一金、班车接送、午餐补贴、加班补贴”,Unity3d SDK Android IOS ,[莲前]
厦门科拓通讯技术股份有限公司,.net开发工程师,7k-10k,"硬件,企业服务 不需要融资 500-2000人",经验1-3年 本科,“不限量下午茶、弹性工作时间、牛人同事”,中间件 ,[思明区]
巴萨迪软件,高级Windows应用程序开发,15k-25k,"其他,移动互联网 未融资 15-50人",经验5-10年 本科,“发展前景好；工作时间自由；人性化管理”,Wpf Winform C#/.NET ,[滨海]
巴萨迪软件,高级.Net研发工程师,15k-25k,"其他,移动互联网 未融资 15-50人",经验5-10年 本科,“发展前景好；工作时间自由；人性化管理”,Wpf Winform C#/.NET ,[滨海]
厦航传科,.net开发工程师,8k-16k,"数据服务,文娱丨内容 不需要融资 50-150人",经验3-5年 本科,“良好的平台”,全栈 ,[湖里区]
百威投资（中国）有限公司,.net开发工程师,10k-13k,文娱丨内容 上市公司 2000人以上,经验1-3年 大专,“世界500强”,C#/.NET ,[思明区]
飞鱼科技,高级Unity3D开发工程师（3D开放世界）,15k-30k,游戏 上市公司 150-500人,经验不限 不限,“技术实力强，上市公司，弹性打卡，扁平管理”,移动互联网 游戏 Unity3d 前端开发 底层 移动端 ,[思明区]
立达信物联科技股份有限公司,MES项目经理,15k-20k,"硬件,其他 不需要融资 2000人以上",经验5-10年 本科,“大平台，领导nice”,PMP ,[金尚路]
指魂网络,客户端程序员,6k-11k,游戏 不需要融资 少于15人,经验1-3年 本科,“老师傅带队，项目资金充足，团队项目分成”,前端开发 Unity3d ,[思明区]
兰特科技,UE4引擎程序员 VR开发工程师,5k-10k,"电商,硬件 未融资 15-50人",经验1-3年 大专,"“高工资,待遇福利好,成长空间大,潜力高”",游戏 ,[海沧区]
泽泰征信,后端开发工程师,7k-14k,"企业服务,数据服务 A轮 15-50人",经验3-5年 大专,“大数据 逻辑 设计 需求对接”,企业服务 大数据 PHP Java MySQL C#/.NET ,[思明区]
鱼子游戏,u3d客户端主程,16k-30k,软件开发 不需要融资 15-50人,经验3-5年 不限,“项目奖金 年底双薪 五险一金 不加班”,Unity3d 前端开发 ,[思明区]
乐域互联（互联网+航运）,初级.NET开发工程师,6k-10k,"移动互联网,电商 未融资 15-50人",经验1-3年 本科,“五险一金、加班补贴、13薪”,.NET 软件开发 ,[湖里区]
好鸟科技,unity3d游戏,5k-7k,"移动互联网,游戏 不需要融资 15-50人",经验1年以下 本科,“福利待遇 项目奖金 技能提升空间大”,Unity3d ,[集美区]
奥佳华品牌营销,.net开发工程师,6k-8k,"医疗丨健康,人工智能 上市公司 2000人以上",经验1-3年 大专,“六险一金，员工食堂，节假日福利，13薪”,医疗健康 新零售 后端 C#/.NET ,[湖里区]
特宝生物,软件开发工程师,5k-10k,医疗丨健康 D轮及以上 150-500人,经验3-5年 大专,“定期体检、五险一金、节日福利、高温补贴”,Java Web前端 C# HTML/CSS ,[新阳工业区]
点触科技,游戏后端开发工程师,10k-15k,游戏 上市公司 500-2000人,经验1-3年 本科,“部门扁平化管理、技术氛围浓厚！”,游戏 移动互联网 Python Java C C++ ,[思明区]
勇仕,游戏客户端开发（U3D等）,8k-15k,"移动互联网,游戏 上市公司 50-150人",经验1-3年 本科,"“奖金,分红,项目好,出国游”",游戏 前端开发 Unity3d COCOS2D-X C/C++ ,[湖里区]
青瓷,unity3d,8k-16k,"移动互联网,游戏 未融资 150-500人",经验1-3年 不限,“五险一金、班车接送、餐费补贴、加班补贴”,IOS C/C++ SDK ,[莲前]
青瓷,U3D客户端开发,8k-15k,"移动互联网,游戏 未融资 150-500人",经验1-3年 本科,“有才，你也可以任性~”,游戏 ,[莲前]
