公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
云之巅,java开发工程师,6k-9k,移动互联网 未融资 15-50人,经验1-3年 大专,“优秀团队，愉悦办公环境”,物流 后端 ,[集美区]
顺磊集团,高级java开发工程师,10k-15k,"汽车丨出行,物流丨运输 不需要融资 500-2000人",经验3-5年 本科,“发展前景好，工作氛围愉快，加班强度小，非外包”,汽车 物流 后端 软件开发 数据库 分布式 ,[集美区]
至恒融兴,java开发工程师,7k-14k,"移动互联网,金融 不需要融资 500-2000人",经验1-3年 本科,“6险一金、年终奖、员工体检、年度调薪”,后端 Java ,[思明区]
厦门易联众易方科技有限公司,java开发工程师,9k-15k,"其他,企业服务 未融资 500-2000人",经验3-5年 本科,“五险一金 定期体检 带薪年假”,,[思明区]
职行力,高级java开发工程师,15k-25k·13薪,移动互联网 B轮 50-150人,经验5-10年 大专,“五险一金、开发-架构-CTO、内推奖金、积分商城”,Java ,[思明区]
海鼎,java开发工程师,7k-14k,企业服务 不需要融资 500-2000人,经验1-3年 本科,"“大牛多多,氛围好,环境好 福利多多”",新零售 企业服务 后端 ,[前埔医院]
厦门默往,JAVA,10k-15k·14薪,移动互联网 不需要融资 15-50人,经验3-5年 本科,“五险一金 14薪 弹性工作制”,电商 ,[思明区]
畅享信息,java,8k-15k,"移动互联网,数据服务 不需要融资 150-500人",经验1-3年 大专,“五险一金、高温补贴、过节费、员工旅游”,后端 ,[禾山]
厦门云脉技术有限公司,Java工程师,6k-8k,"移动互联网,其他 未融资 50-150人",经验1-3年 大专,“五险一金、5天8小时工作制、办理厦门落户”,移动互联网 大数据 ,[集美区]
至恒融兴,java开发工程师,8k-15k,"移动互联网,金融 不需要融资 500-2000人",经验不限 本科,“六险一金 年终奖金 年度调薪 培训”,Java ,[思明区]
安硕信息（amarsoft）,JAVA【厦门】,8k-15k,金融 上市公司 2000人以上,经验1-3年 本科,“精英团队 晋升空间大 五险一金”,银行 后端 数据库 解决方案 ,[思明区]
金山云,高级java工程师,20k-40k,"移动互联网,数据服务 D轮及以上 2000人以上",经验5-10年 本科,“三餐，七险一金，大平台”,docker J2EE 中间件 分布式 ,[思明区]
云之巅,中级Java 开发工程师,10k-15k,移动互联网 未融资 15-50人,经验3-5年 大专,“13薪”,后端 ,[集美区]
凌云创想,java中级开发工程师,8k-13k,金融 未融资 少于15人,经验3-5年 大专,“区块链”,区块链 ,[思明区]
神州鹰,java架构师,20k-40k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,Java 全栈 分布式 ,[思明区]
神州鹰,高级java工程师,15k-25k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,Java 分布式 中间件 全栈 ,[思明区]
美图公司,"大数据平台开发工程师（java,web）",18k-25k·15薪,硬件 上市公司 2000人以上,经验3-5年 本科,“晋升空间，上市公司，扁平管理”,移动互联网 数仓建模 ETL Hadoop Java ,[思明区]
朗新科技,高级Java开发工程师(J10156),10k-16k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 带薪年假 年度体检 周末双休”,后端 分布式 ,[湖里区]
朗新科技,Java开发专家(J10227),11k-17k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 带薪年假 年度体检 周末双休”,后端 分布式 ,[湖里区]
勇仕,Java高级开发,9k-14k,"移动互联网,游戏 上市公司 50-150人",经验1-3年 本科,“奖金高，福利好，出国游”,游戏 Java 后端 ,[湖里区]
博睿宏远,Java高级工程师,12k-24k,"移动互联网,数据服务 不需要融资 150-500人",经验不限 本科,"“五险一金,年底双薪,弹性工作,定期体检”",Java ,[思明区]
职行力,高级java架构师,15k-25k·13薪,移动互联网 B轮 50-150人,经验5-10年 大专,“五险一金、带薪休假、积分商城”,Java ,[思明区]
畅享信息,高级java工程师,15k-25k,"移动互联网,数据服务 不需要融资 150-500人",经验5-10年 不限,"“五险一金,员工旅游，高温补贴，周末双休”",Java ,[禾山]
法信公证云,中级java开发工程师,9k-15k·13薪,数据服务、信息安全 不需要融资 500-2000人,经验3-5年 大专,“五险一金，绩效奖金，零食福利”,Java ,[思明区]
指纹科技,中级Java工程师,10k-15k,电商 不需要融资 150-500人,经验3-5年 本科,“Java elasticsearch”,后端 Java ERP ,[思明区]
海鼎,Java开发工程师-厦门,6k-10k,企业服务 不需要融资 500-2000人,经验应届毕业生 本科,"“大牛多多,氛围好,环境好”",新零售 后端 Java ,[前埔医院]
盈众控股集团,java开发工程师,10k-15k,"汽车丨出行,消费生活 不需要融资 2000人以上",经验3-5年 大专,“扁平化管理、团队年轻”,Java ,[海沧区]
易联众民生（厦门）科技有限公司,java开发工程师,8k-15k,"移动互联网,企业服务 上市公司 150-500人",经验3-5年 本科,“中高级”,医疗健康 移动互联网 ,[思明区]
RingCentral厦门研发中心,Java开发工程师,15k-30k·14薪,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,“大牛同事，福利齐全，学习型氛围”,Java ,[思明区]
国网信通产业集团亿力吉奥公司,JAVA软件研发工程师,8k-15k,"移动互联网,信息安全 不需要融资 500-2000人",经验1-3年 本科,"“平台大,高福利,年终4薪,技术氛围好”",地图 Java ,[思明区]
国网信通产业集团亿力吉奥公司,【厦门】技术经理（Java方向）,10k-20k,"移动互联网,信息安全 不需要融资 500-2000人",经验5-10年 本科,"“五险一金,绩效奖金,餐补,带薪年假”",后端 服务器端 系统架构 ,[思明区]
中兴新云,JAVA开发工程师-厦门,10k-20k,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 本科,“五险一金，带薪年假，扁平化管理等”,Java ,[湖里区]
指纹科技,java工程师,10k-15k,电商 不需要融资 150-500人,经验3-5年 本科,“Java elasticsearch”,Java ERP ,[思明区]
网宿科技,【21届校招】JAVA开发工程师,12k-24k,移动互联网 上市公司 2000人以上,经验应届毕业生 本科,“六险一金 节日礼金 年度体检”,Java ,[集美区]
网宿科技,java开发工程师,10k-20k,移动互联网 上市公司 2000人以上,经验3-5年 本科,“六险一金”,后端 Linux/Unix Java ,[集美区]
RingCentral厦门研发中心,java开发工程师,15k-20k,"移动互联网,数据服务 上市公司 500-2000人",经验不限 本科,“六险一金 超长年假 班车接送 海景办公”,Java ,[思明区]
辣妈计划,java工程师,13k-18k,"移动互联网,电商 A轮 500-2000人",经验3-5年 本科,“团队管理、公司发展速度快、机会多”,电商 后端 中间件 分布式 ,[思明区]
厦门科拓通讯技术股份有限公司,java开发工程师,10k-20k,"硬件,企业服务 不需要融资 500-2000人",经验3-5年 不限,“不限量下午茶、弹性工作时间、牛人同事”,后端 架构师 分布式 中间件 ,[思明区]
百捷集团百度推广服务,java开发工程师,13k-25k·13薪,广告营销 不需要融资 500-2000人,经验5-10年 本科,“具有五险一金，公积金高，发展前景大。”,Java ,[思明区]
他趣,java开发工程师,8k-16k,"移动互联网,电商 上市公司 500-2000人",经验3-5年 本科,“良好的晋升空间 工作氛围佳”,后端 ,[思明区]
石头城,java开发工程师,15k-30k,其他 B轮 50-150人,经验不限 本科,“年底双薪 绩效奖 股票期权 年假 交通补助”,物流 Java ,[后溪]
网新众达,java后端开发工程师,10k-15k,"软件开发,区块链 未融资 15-50人",经验3-5年 大专,“五险一金 节日福利 周末双休 下午茶”,工具软件 Java Python 后端 数据库 ,[思明区]
建信金科,Java工程师,15k-30k,"金融,软件开发 不需要融资 2000人以上",经验3-5年 本科,“发展空间大”,绩效奖金 带薪年假 交通补助 通讯津贴 ,[思明区]
南方科宇,java高级开发工程师,10k-20k,电商 不需要融资 150-500人,经验5-10年 大专,“五险一金、股权激励、多种激励”,J2EE MySQL Javascript ,[前埔医院]
厦航传科,Java开发工程师,8k-16k,"数据服务,文娱丨内容 不需要融资 50-150人",经验3-5年 本科,“良好的平台”,Java 全栈 ,[湖里区]
厦门约约出行科技有限公司,java开发工程师,10k-20k,移动互联网 天使轮 50-150人,经验3-5年 本科,“五险一金 带薪病假 每年调薪”,移动互联网 分布式 ,[思明区]
稿定科技,Java开发工程师,15k-30k,"电商,企业服务 不需要融资 150-500人",经验不限 不限,“行业大牛带你飞；海景办公楼；弹性上班”,Java 后端 服务器端 ,[湖里区]
微微科技有限公司,高级java开发工程师,16k-25k,"电商,人工智能 不需要融资 150-500人",经验5-10年 大专,“五险一金”,后端 Java ,[思明区]
至恒融兴,java开发工程师,9k-14k,"移动互联网,金融 不需要融资 500-2000人",经验3-5年 本科,“六险一金”,Java ,[思明区]
云之巅,高级java,11k-15k,移动互联网 未融资 15-50人,经验5-10年 大专,“行业前景好，团队大咖，环境舒适优美”,Javascript Java ,[后溪]
至恒融兴,java开发工程师,10k-15k,"移动互联网,金融 不需要融资 500-2000人",经验3-5年 本科,“六险一金、年终奖、节日福利、定期体检”,,[思明区]
神州信息,Java开发工程师,8k-13k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“五险一金 带薪年假 餐补 通讯补贴”,银行 Java Shell ,[湖里区]
悦讯科技,java开发工程师,7k-9k,移动互联网 A轮 50-150人,经验1-3年 大专,“五险一金、双休、带薪年假等”,Java ,[集美区]
神州鹰,高级java开发工程师,15k-25k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“五险一金、荣誉奖金、节日礼品”,移动端 前端开发 Vue Node.js ,[思明区]
登特口腔医院,java开发工程师,10k-15k,医疗丨健康 不需要融资 150-500人,经验3-5年 本科,“包两餐年终激励可谈。接触美女护士医生机会”,Java MySQL ,[思明区]
SAS,Java开发工程师,15k-20k,人工智能 不需要融资 2000人以上,经验3-5年 本科,“知名外企，SAS大数据分析平台，发展空间”,大数据 银行 Java Python 全栈 后端 ,[思明区]
埃尔维斯,JAVA开发工程师,8k-12k,"移动互联网,电商 未融资 15-50人",经验3-5年 不限,“年底双薪”,软件开发 Java ,[新店]
顶峰高瑞文化传媒,java,12k-20k·13薪,软件开发 未融资 15-50人,经验3-5年 大专,“周末双休、朝九晚六”,,[湖里区]
Guwodata,JAVA工程师,10k-20k,"金融,数据服务 未融资 15-50人",经验3-5年 本科,“团聚力强”,HTML Vue React ,[思明区]
宜买车,高级java开发工程师,15k-25k,"消费生活,电商 B轮 500-2000人",经验3-5年 大专,“团队朝气、独角兽企业、福利健全”,汽车 新零售 后端 分布式 ,[厦港]
亚信,java开发工程师,9k-15k·13薪,"企业服务,移动互联网 上市公司 2000人以上",经验3-5年 本科,“国际项目”,通信/网络设备 Java MySQL 后端 ,[湖里区]
RingCentral厦门研发中心,高级java开发工程师,15k-28k,"移动互联网,数据服务 上市公司 500-2000人",经验5-10年 本科,“超长年假，高效沟通”,Java ,[思明区]
九九网智,java开发工程师,6k-12k,"移动互联网,教育 未融资 15-50人",经验3-5年 本科,"“法定作息,氛围舒适”",教育 移动互联网 Java MySQL Javascript 软件开发 ,[禾山]
天阳科技,Java开发工程师,13k-16k,"企业服务,金融 C轮 2000人以上",经验3-5年 大专,“周末双休、餐补、话补、带薪年假、年终奖”,金融 Java ,[思明区]
云安网络,java高级开发工程师,11k-15k·13薪,软件开发 未融资 15-50人,经验3-5年 不限,“广阔的发展空间”,Java 后端 分布式 ,[思明区]
网新众达,java程序员,10k-15k,"软件开发,区块链 未融资 15-50人",经验3-5年 大专,“五险一金 周末双休 节日福利 下午茶”,工具软件 即时通讯 Java ,[思明区]
中咨数据,java开发工程师（偏大数据方向）,10k-15k,"其他,移动互联网 不需要融资 150-500人",经验1-3年 本科,"“央企背景,发展空间大,领导Nice”",大数据 Java Python Scala Hadoop ,[思明区]
厦门航空,JAVA开发工程师,12k-20k,消费生活 不需要融资 2000人以上,经验1-3年 本科,"“高薪,八险二金,免费机票,国企”",Java ,[湖里区]
厦门梦加,Java游戏服务端主程,15k-25k,"移动互联网,游戏 D轮及以上 150-500人",经验不限 不限,“13薪”,服务器端 C++ Java 游戏开发 ,[后溪]
易联众民生（厦门）科技有限公司,java开发工程师,10k-13k,"移动互联网,企业服务 上市公司 150-500人",经验1-3年 本科,“六险一金 话费补贴 周末双休”,移动互联网 后端 ,[思明区]
RingCentral厦门研发中心,Java Engineer,15k-30k,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,"“高薪待遇,六险一金,硅谷文化,加班少”",Java ,[思明区]
