公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
喵宝科技,前端开发工程师,10k-20k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“年终多薪、项目奖金、过节费、七险一金”,教育 移动端 ,[后溪]
畅享信息,前端开发工程师,8k-13k,"移动互联网,数据服务 不需要融资 150-500人",经验1-3年 大专,“五险一金、高温补贴、过节费、员工旅游”,前端开发 ,[禾山]
TOB,前端工程师,4k-8k,"移动互联网,教育 未融资 15-50人",经验应届毕业生 本科,“创始团队靠谱”,教育 HTML5 Web前端 CSS 前端开发 ,[莲前]
美图公司,（2021届校招）前端开发工程师-厦门,8k-15k,硬件 上市公司 2000人以上,经验应届毕业生 本科,“大数据平台”,移动互联网 ,[思明区]
云之巅,web前端开发工程师,8k-12k,移动互联网 未融资 15-50人,经验1-3年 大专,“优秀团队，愉悦办公环境”,前端开发 ,[集美区]
云之巅,VUE前端工程师,9k-15k·13薪,移动互联网 未融资 15-50人,经验3-5年 大专,“五险一金，年底双薪”,Vue 前端开发 ,[集美区]
神州鹰,资深前端工程师,20k-30k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,Vue Web前端 架构师 ,[思明区]
神州鹰,高级前端工程师,15k-20k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,Web前端 Vue ,[思明区]
10com,Web前端开发工程师,15k-30k,"移动互联网,电商 不需要融资 15-50人",经验5-10年 本科,“弹性工作、五险一金、股权分红”,云计算 移动互联网 Web前端 Javascript bootstrap HTML5 ,[嘉莲]
厦门市徳医互联科技有限公司,前端工程师,9k-12k,移动互联网 A轮 15-50人,经验3-5年 大专,"“免费饮料,健身房,多次加薪,五险一金”",HTML5 Javascript ,[集美区]
易联众民生（厦门）科技有限公司,前端开发工程师,8k-15k,"移动互联网,企业服务 上市公司 150-500人",经验3-5年 本科,“中高级”,医疗健康 移动互联网 ,[思明区]
中闽汇金,前端开发工程师（量化交易系统）,10k-17k,金融 不需要融资 15-50人,经验3-5年 本科,“德才兼备，以德为先，任人唯贤，用人所长”,Web前端 Vue React Angular ,[湖里区]
厦门方特软件公司,前端开发工程师,6k-12k·13薪,移动互联网 上市公司 50-150人,经验3-5年 本科,“公司免费提供住宿”,前端开发 Vue ,[同安区]
牧云数据,前端工程师,10k-20k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“五险一金；年终奖；就业前景”,大数据 Web前端 Vue React React native ,[湖里区]
指纹科技,中级前端工程师,8k-12k,电商 不需要融资 150-500人,经验1-3年 本科,"“五险一金,旅游基金,弹性打卡,打底6天年”",前端开发 Javascript CSS bootstrap ,[思明区]
指纹科技,高级前端工程师,10k-20k,电商 不需要融资 150-500人,经验3-5年 本科,“前端”,移动端 Javascript Web前端 ,[思明区]
TOB,web前端开发工程师,4k-8k,"移动互联网,教育 未融资 15-50人",经验应届毕业生 本科,“创始团队靠谱”,前端开发 HTML5 CSS Web前端 ,[莲前]
网新众达,前端工程师,8k-13k,"软件开发,区块链 未融资 15-50人",经验1-3年 大专,“五险一金 周末双休 节日福利 下午茶”,Web前端 jQuery Vue ,[思明区]
奥洛科技,前端开发工程师,10k-15k·13薪,"移动互联网,社交 不需要融资 50-150人",经验3-5年 本科,“快速成长，办公环境好”,前端开发 Javascript ,[集美区]
网新众达,前端开发工程师,10k-20k,"软件开发,区块链 未融资 15-50人",经验3-5年 大专,“五险一金 周末双休 节日福利 下午茶”,Vue ,[思明区]
美柚,前端开发工程师,10k-20k,移动互联网 D轮及以上 500-2000人,经验3-5年 本科,“六险一金、班车”,移动端 HTML CSS Javascript ,[思明区]
网宿科技,前端开发工程师,10k-20k,移动互联网 上市公司 2000人以上,经验3-5年 本科,“六险一金”,前端开发 HTML React native ,[集美区]
国网信通产业集团亿力吉奥公司,【厦门】web前端开发工程师,10k-20k,"移动互联网,信息安全 不需要融资 500-2000人",经验5-10年 本科,"“平台大,高福利,技术氛围好”",Web前端 前端开发 ,[思明区]
巨虎网络,中高级前端工程师,8k-13k·13薪,"消费生活,金融 不需要融资 15-50人",经验不限 本科,“五天七小时、六险一金、每日下午茶、健身房”,前端开发 ,[思明区]
同步推,web前端开发工程师（21届）,3k-5k·13薪,移动互联网 不需要融资 150-500人,经验应届毕业生 本科,“福利好，氛围好，成长快”,React HTML CSS Web前端 ,[思明区]
RingCentral厦门研发中心,【2020届校招】前端开发工程师,8k-15k,"移动互联网,数据服务 上市公司 500-2000人",经验应届毕业生 本科,“薪资福利、硅谷文化、生活工作平衡”,Javascript CSS Web前端 ,[思明区]
RingCentral厦门研发中心,web前端开发工程师,15k-30k,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,“硅谷文化，技术氛围好，上下班不打卡”,前端开发 Javascript CSS HTML5 ,[思明区]
美图公司,前端开发工程师,10k-15k,硬件 上市公司 2000人以上,经验1-3年 本科,"“奖金丰厚,福利待遇好,发展空间大”",移动互联网 ,[思明区]
航信,前端开发工程师,25k-35k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“公司平台好 晋升空间大”,前端开发 ,[湖里区]
