公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
指纹科技,DBA,15k-28k,电商 不需要融资 150-500人,经验3-5年 本科,“DBA 数据库”,数据库开发 ,[思明区]
神州鹰,数据库开发工程师,15k-25k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“五险一金 年终奖 扁平化管理”,Hadoop 数据仓库 Hive 数据库开发 ,[思明区]
青瓷,数据库开发工程师,7k-12k,"移动互联网,游戏 未融资 150-500人",经验1-3年 大专,“五险一金、班车接送、餐费补贴、加班补贴”,DBA MySQL Linux Python ,[莲前]
美图公司,DBA-厦门,12k-24k·15薪,硬件 上市公司 2000人以上,经验3-5年 本科,“平台开放”,DBA ,[软件园]
名游网络,高级php开发工程师,12k-20k,游戏 不需要融资 少于15人,经验3-5年 大专,“扁平化管理”,游戏 ,[思明区]
PaaSoo 无限云科技,测试工程师,5k-10k,企业服务 不需要融资 15-50人,经验1-3年 本科,"“国际市场,强势福利”",测试 功能测试 性能测试 ,[思明区]
厦门回车网络,php工程师,6k-10k·13薪,"软件开发,其他 未融资 15-50人",经验1-3年 本科,“往技术总监方向培养”,PHP ,[思明区]
安硕信息（amarsoft）,JAVA【厦门】,8k-15k,金融 上市公司 2000人以上,经验1-3年 本科,“精英团队 晋升空间大 五险一金”,银行 后端 数据库 解决方案 ,[思明区]
云之巅,技术经理,12k-16k,移动互联网 未融资 15-50人,经验5-10年 大专,“五险一金 周末双休”,技术管理 系统架构 决策能力 高级技术管理 ,[集美区]
云之巅,中级Java 开发工程师,10k-15k,移动互联网 未融资 15-50人,经验3-5年 大专,“13薪”,后端 ,[集美区]
凌云创想,java中级开发工程师,8k-13k,金融 未融资 少于15人,经验3-5年 大专,“区块链”,区块链 ,[思明区]
上海诺祺科技,数据挖掘算法,15k-25k,金融 不需要融资 150-500人,经验5-10年 本科,“五险一金 体检 年终奖”,企业服务 Hive 数据挖掘 数据分析 算法 ,[祥平]
神州鹰,架构师,20k-35k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“dubbo 、SpringCloud”,系统架构 ,[思明区]
商帆,实施经理-CRM项目,10k-15k,移动互联网 B轮 150-500人,经验3-5年 大专,“职位晋升空间较大”,CRM ERP SAAS ,[思明区]
厦门市政科技,项目经理,10k-15k,数据服务 不需要融资 50-150人,经验5-10年 本科,“优质团队”,大数据 ,[湖里区]
格普网络,php工程师（兼职）,10k-20k,"电商,移动互联网 未融资 15-50人",经验3-5年 大专,“高薪”,PHP 全栈 ,[思明区]
摩尔脉能,Golang,15k-20k·13薪,区块链 未融资 50-150人,经验1-3年 本科,“技术大牛 扁平化管理 五险一金 弹性工作”,区块链 ,[思明区]
顺磊集团,高级java开发工程师,10k-15k,"汽车丨出行,物流丨运输 不需要融资 500-2000人",经验3-5年 本科,“发展前景好，工作氛围愉快，加班强度小，非外包”,汽车 物流 后端 软件开发 数据库 分布式 ,[集美区]
厦门易联众易方科技有限公司,java开发工程师,9k-15k,"其他,企业服务 未融资 500-2000人",经验3-5年 本科,“五险一金 定期体检 带薪年假”,,[思明区]
职行力,高级java开发工程师,15k-25k·13薪,移动互联网 B轮 50-150人,经验5-10年 大专,“五险一金、开发-架构-CTO、内推奖金、积分商城”,Java ,[思明区]
职行力,高级java架构师,15k-25k·13薪,移动互联网 B轮 50-150人,经验5-10年 大专,“五险一金、带薪休假、积分商城”,Java ,[思明区]
大道同行,C++服务端程序（3年以上）,25k-50k,游戏 不需要融资 50-150人,经验3-5年 本科,“资深团队、福利齐全、研发氛围好、项目靠谱”,C++ 游戏开发 后端 服务器端 ,[湖里区]
海鼎,测试工程师-厦门,6k-10k,企业服务 不需要融资 500-2000人,经验1-3年 本科,“团队氛围好、发展空间大”,新零售 测试 ,[前埔医院]
