公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
厦门云脉技术有限公司,C/C++/python实习生,2k-3k,"移动互联网,其他 未融资 50-150人",经验应届毕业生 不限,“实习岗位，毕业可直接转正，并能安排落户”,C C++ Python ,[集美区]
网宿科技,【21届校招】Python开发工程师,12k-24k,移动互联网 上市公司 2000人以上,经验应届毕业生 本科,“六险一金 节日礼金 年度体检 免费班车”,Python ,[集美区]
BaseBit AI 翼方健数,python开发工程师,12k-20k·14薪,医疗丨健康 B轮 50-150人,经验3-5年 本科,“牛人带队”,医疗健康 大数据 Python ,[翔安区]
立达信物联科技股份有限公司,python开发工程师,10k-20k,"硬件,其他 不需要融资 2000人以上",经验3-5年 硕士,"“物联网,技术氛围浓,嗨嗨嗨”",Python 平台 ,[湖里区]
微赛网络,Python高级后端开发工程师,12k-16k,移动互联网 未融资 15-50人,经验3-5年 本科,“python、Django、架构师”,移动互联网 视频 Python 后端 架构师 MySQL ,[思明区]
美图公司,（2021届校招）深度学习/计算机视觉工程师-厦门,8k-15k,硬件 上市公司 2000人以上,经验应届毕业生 硕士,“大数据平台”,移动互联网 ,[思明区]
美图公司,（2021届校招）测试开发工程师-厦门,8k-15k,硬件 上市公司 2000人以上,经验应届毕业生 本科,“大数据平台”,移动互联网 ,[思明区]
PaaSoo 无限云科技,测试工程师,5k-10k,企业服务 不需要融资 15-50人,经验1-3年 本科,"“国际市场,强势福利”",测试 功能测试 性能测试 ,[思明区]
乐约健康,厦门测试工程师,10k-15k,"移动互联网,医疗丨健康 C轮 150-500人",经验3-5年 大专,“五险一金”,测试 Web测试 ,[禾山]
金山云,高级java工程师,20k-40k,"移动互联网,数据服务 D轮及以上 2000人以上",经验5-10年 本科,“三餐，七险一金，大平台”,docker J2EE 中间件 分布式 ,[思明区]
上海诺祺科技,数据挖掘算法,15k-25k,金融 不需要融资 150-500人,经验5-10年 本科,“五险一金 体检 年终奖”,企业服务 Hive 数据挖掘 数据分析 算法 ,[祥平]
神州鹰,高级运维工程师,10k-15k·13薪,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“五险一金 周末双休 日活百万”,DBA MySQL ,[思明区]
神州鹰,高级测试工程师,10k-15k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,功能测试 接口测试 性能测试 自动化测试 ,[思明区]
朗新科技,前端H5开发（J11480）,12k-17k,"移动互联网,企业服务 上市公司 2000人以上",经验5-10年 本科,“六险一金 周末双休 不打卡”,前端开发 HTML5 Javascript ,[湖里区]
点触科技,服务端开发工程师（中高级）,10k-20k,游戏 上市公司 500-2000人,经验3-5年 本科,"“五险一金,免费班车,免费早餐,免费体检”",Java Python 嵌入式 ,[思明区]
点触科技,后端开发工程师（Golang),13k-25k,游戏 上市公司 500-2000人,经验1-3年 本科,“福利完善，视频面试，在家办公，技术氛围强”,后端 服务器端 ,[思明区]
灵雀云,后端开发工程师,15k-20k·13薪,"数据服务,企业服务 B轮 150-500人",经验3-5年 本科,“技术前沿、技术氛围浓厚、成长不受限”,云计算 Golang docker ,[集美区]
喵宝科技,测试工程师（硬件）,7k-14k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“年终多薪、出国旅游、过节费、七险一金”,智能硬件 测试 脚本 硬件测试 测试开发 ,[后溪]
昇利扬,算法工程师,15k-25k·13薪,软件开发、物联网 未融资 15-50人,经验3-5年 本科,“年底双薪 年终奖 项目奖金 旅游 五险一金”,深度学习 ,[集美区]
昇利扬,算法工程师,15k-25k·13薪,软件开发、物联网 未融资 15-50人,经验不限 硕士,“年底双薪 年终奖 项目奖金 旅游 五险一金”,,[集美区]
畅享信息,c++开发工程师,5k-8k,"移动互联网,数据服务 不需要融资 150-500人",经验1-3年 本科,"“五险一金,员工旅游，高温补贴，周末双休”",C++ 服务器端 ,[禾山]
厦门银行,数据分析岗,10k-20k,金融 不需要融资 2000人以上,经验3-5年 本科,“绩效奖金带薪年假定期体检管理规范技能培训”,云计算 数据挖掘 数据架构 数据分析 ,[湖里区]
指纹科技,高级计算机视觉算法工程师,25k-35k,电商 不需要融资 150-500人,经验3-5年 本科,"“产品规划,产品运营”",图像处理 算法 计算机视觉 建模 ,[思明区]
指纹科技,DBA,15k-28k,电商 不需要融资 150-500人,经验3-5年 本科,“DBA 数据库”,数据库开发 ,[思明区]
国网信通产业集团亿力吉奥公司,【厦门】中高级测试工程师,10k-20k,"移动互联网,信息安全 不需要融资 500-2000人",经验5-10年 本科,“五险一金 国企办公 行业领先 周末双休”,Loadrunner Jmeter 性能测试 自动化 ,[思明区]
优倍快 (UBNT),服务端开发工程师,8k-16k·14薪,"移动互联网,硬件 上市公司 500-2000人",经验不限 不限,"“美国上市公司, 绩效奖金, 五险一金”",信息安全 大数据 Java 后端 ,[思明区]
亿联网络,高级测试工程师,13k-25k·14薪,移动互联网 上市公司 500-2000人,经验3-5年 本科,“平台好，发展空间大，行业好”,功能测试 接口测试 自动化测试 性能测试 ,[湖里区]
同步推,web前端开发工程师（21届）,3k-5k·13薪,移动互联网 不需要融资 150-500人,经验应届毕业生 本科,“福利好，氛围好，成长快”,React HTML CSS Web前端 ,[思明区]
优倍快 (UBNT),服务端开发实习生,5k-7k,"移动互联网,硬件 上市公司 500-2000人",经验应届毕业生 本科,“美国上市公司、做软硬件相关的产品”,企业服务 信息安全 后端 服务器端 Linux/Unix ,[前埔医院]
网宿科技,【21届校招】C/C++开发工程师,10k-20k,移动互联网 上市公司 2000人以上,经验应届毕业生 本科,“六险一金 节日礼金 年度体检 免费班车”,C++ ,[集美区]
网新众达,即时通讯（IM聊天系统）架构师,20k-35k,"软件开发,区块链 未融资 15-50人",经验1-3年 大专,“五险一金 周末双休”,即时通讯 移动互联网 部门管理 高级技术管理 团队建设 ,[思明区]
网新众达,软件测试工程师,8k-15k,"软件开发,区块链 未融资 15-50人",经验3-5年 本科,“五险一金 节日福利 周末双休 下午茶”,工具软件 移动互联网 自动化测试 功能测试 系统测试 app测试 ,[思明区]
深度赋智,测试工程师-厦门,14k-20k,人工智能 未融资 15-50人,经验不限 本科,“明星团队、高速发展、成长空间大”,自动化测试 白盒测试 ,[思明区]
青瓷,数据库开发工程师,7k-12k,"移动互联网,游戏 未融资 150-500人",经验1-3年 大专,“五险一金、班车接送、餐费补贴、加班补贴”,DBA MySQL Linux Python ,[莲前]
美柚,自然语言处理算法,15k-30k,移动互联网 D轮及以上 500-2000人,经验1-3年 硕士,“绩效奖金、免费班车”,NLP ,[思明区]
美柚,算法工程师,15k-30k,移动互联网 D轮及以上 500-2000人,经验3-5年 本科,"“六险一金,氛围好,技术牛逼,重点项目”",NLP 机器学习 数据挖掘 ,[思明区]
RingCentral厦门研发中心,运维开发工程师,15k-25k·14薪,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,“国际团队 外企文化”,即时通讯 云计算 DevOps/AIOps Linux CI/CD Jenkins ,[思明区]
深度赋智,推荐算法工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,推荐算法 ,[思明区]
航信,大数据开发工程师,30k-35k,"移动互联网,企业服务 上市公司 2000人以上",经验5-10年 本科,“公司平台好 发展空间大”,Hadoop ,[湖里区]
航信,自动化测试工程师,25k-35k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“公司平台发展好 晋升空间大”,自动化测试 ,[湖里区]
SAS,数据挖掘,25k-40k,人工智能 不需要融资 2000人以上,经验3-5年 硕士,“知名外企，SAS大数据分析平台，发展空间”,大数据 银行 Python ,[思明区]
SAS,风控建模,25k-40k,人工智能 不需要融资 2000人以上,经验3-5年 硕士,“知名外企，SAS大数据分析平台，发展空间”,银行 大数据 Python 数据挖掘 算法工程师 ETL ,[思明区]
上海诺祺科技,hadoop,8k-13k,金融 不需要融资 150-500人,经验3-5年 本科,“五险一金  员工旅游  年终奖  体检”,企业服务 银行 Linux/Unix Python Shell ,[湖里区]
喵宝科技,初级测试工程师,5k-10k·13薪,移动互联网 不需要融资 50-150人,经验1-3年 本科,“晋升空间大，福利待遇好”,功能测试 性能测试 安全测试 app测试 ,[后溪]
稿定科技,数据分析师,15k-30k,"电商,企业服务 不需要融资 150-500人",经验不限 本科,“和优秀的人做有挑战的事”,大数据 电商 ,[湖里区]
稿定科技,测试工程师,13k-25k,"电商,企业服务 不需要融资 150-500人",经验3-5年 本科,“行业大牛带你飞；海景办公楼；弹性上班”,自动化测试 Web测试 app测试 ,[湖里区]
厦航传科,大数据平台工程师,10k-20k,"数据服务,文娱丨内容 不需要融资 50-150人",经验3-5年 本科,“良好的平台”,大数据 Java ,[湖里区]
微微科技有限公司,安全测试工程师,15k-30k,"电商,人工智能 不需要融资 150-500人",经验5-10年 本科,“13薪，五险一金，季度绩效激励，”,安全测试 稳定性测试 ,[思明区]
微微科技有限公司,技术总监,60k-100k,"电商,人工智能 不需要融资 150-500人",经验10年以上 本科,“东南亚美团”,技术管理 ,[思明区]
建信金科,人力系统软件开发岗,10k-20k,"金融,软件开发 不需要融资 2000人以上",经验3-5年 本科,“国企”,绩效奖金 带薪年假 交通补助 通讯津贴 ,[思明区]
建信金科,人工智能结构化数据算法工程师,20k-40k,"金融,软件开发 不需要融资 2000人以上",经验5-10年 本科,“良好发展趋势与空间，良好工作与学习氛围。”,互联网金融 银行 人工智能 机器学习 算法 深度学习 ,[思明区]
今天国际,大数据高级工程师,15k-25k,"硬件,其他 上市公司 500-2000人",经验5-10年 本科,“福利待遇好，上市公司”,大数据 物流 ,[松柏]
百威投资（中国）有限公司,人事实习生,1k-2k,文娱丨内容 上市公司 2000人以上,经验不限 本科,“韩语 人事 实习 500强”,人事 ,[思明区]
深圳市威富视界有限公司,模式识别/图像处理算法工程师,12k-24k,人工智能 未融资 500-2000人,经验1-3年 硕士,“五险一金，年终奖金，员工宿舍、餐饮补贴”,移动互联网 图像处理 模式识别 深度学习 计算机视觉 ,[思明区]
Cocos,移动端SDK开发工程师,10k-20k,"移动互联网,游戏 A轮 50-150人",经验3-5年 本科,“技术氛围好 发展空间大 做行业最牛引擎产品”,Android iOS ,[思明区]
Cocos,自动化测试工程师,11k-20k,"移动互联网,游戏 A轮 50-150人",经验3-5年 本科,“技术氛围好 发展空间大 做行业最牛引擎产品”,接口测试 性能测试 自动化测试 ,[思明区]
斗牛蚁科技,爬虫工程师,8k-13k,"电商,社交 不需要融资 50-150人",经验1-3年 大专,“入职缴纳社保”,直播 大数据 Java ,[软件园]
瑞幸咖啡,高级数据分析师,12k-20k·14薪,"移动互联网,消费生活 上市公司 2000人以上",经验3-5年 本科,“团队氛围好 专业性强 福利待遇丰厚”,新零售 电商 增长黑客 数据分析 数据运营 ,[思明区]
新诺航科,GIS（地理信息系统）工程师,4k-6k,"数据服务,其他 上市公司 150-500人",经验应届毕业生 本科,“五险一金、加班补贴、年终奖、每年调薪”,平台 J2EE ,[后溪]
趣店,高级测试开发工程师,15k-25k,"移动互联网,金融 上市公司 500-2000人",经验3-5年 本科,“上市公司”,自动化 ,[思明区]
赛德沃克科技,运维工程师,12k-18k,移动互联网 A轮 15-50人,经验3-5年 大专,"“前景好,团队好,发展快,扁平化”",监控 故障监控 故障排查 服务器运维 ,[思明区]
任学教育,研发主管,14k-18k,"教育,人工智能 未融资 15-50人",经验3-5年 大专,“发展 高薪 管理”,技术管理 部门管理 团队建设 系统架构 ,[思明区]
任学教育,测试工程师,8k-10k,"教育,人工智能 未融资 15-50人",经验3-5年 大专,“发展”,测试 Web测试 产品测试 ,[思明区]
RingCentral厦门研发中心,SDK开发工程师,15k-30k,"移动互联网,数据服务 上市公司 500-2000人",经验不限 本科,“硅谷文化，很少加班，工作幸福感”,Node.js C#/.NET Golang Java ,[思明区]
立达信物联科技股份有限公司,高级自动化测试,15k-22k,"硬件,其他 不需要融资 2000人以上",经验3-5年 本科,"“物联网,项目大！,老大牛！,技术新！”",自动化 ,[湖里区]
润铭网络,运维开发工程师,8k-15k,"移动互联网,硬件 A轮 50-150人",经验5-10年 本科,"“领导好,薪资分红高,发展空间大”",通信/网络设备 大数据 Linux Windows 自动化运维 ,[湖里区]
Manteia科技,深度学习算法工程师,15k-30k,"移动互联网,医疗丨健康 A轮 15-50人",经验1-3年 硕士,“五险一金，氛围好，办公环境优美，定期活动”,医疗健康 深度学习 机器学习 图像处理 算法 ,[思明区]
白山云科技,高级缓存研发工程师 (MJ000026),20k-40k,"企业服务,信息安全 C轮 150-500人",经验不限 本科,“一日三餐 五险一金 商业保险”,服务器端 C C++ ,[思明区]
星宸科技,AI软件工程师,12k-20k·16薪,"通讯电子,其他 未融资 150-500人",经验1-3年 本科,“职位空间大 专业技术提升大 公司前景好”,人脸识别 ,[思明区]
星宸科技,AI FAE 工程师,15k-18k·15薪,"通讯电子,其他 未融资 150-500人",经验3-5年 本科,“资深技术人士带领，两岸团队支持”,图像算法 TensoFlow C/C++ Python ,[思明区]
智蓝信息,java开发工程师,12k-20k,"企业服务,数据服务 不需要融资 150-500人",经验3-5年 大专,“重点项目，大牛团队”,金融 Python Hadoop Scala ,[思明区]
巴根网络,云平台中高级运维工程师（ Linux工程师）,13k-26k,区块链 不需要融资 150-500人,经验3-5年 本科,“弹性工作内外环境优雅氛围活跃配套健身器材”,Python Shell Linux MySQL ,[思明区]
MetaApp,java开发工程师,10k-13k,"移动互联网,游戏 C轮 150-500人",经验1-3年 本科,“有发展前景、绩效”,Linux/Unix MySQL 网络爬虫 ,[思明区]
厦门海晟融创,大数据架构师,20k-30k,"移动互联网,信息安全 不需要融资 150-500人",经验5-10年 本科,“五险一金+公积金+餐费补贴”,大数据 数据架构 ,[思明区]
厦门海晟融创,高级算法工程师,15k-30k,"移动互联网,信息安全 不需要融资 150-500人",经验3-5年 本科,“五险一金+公积金+餐费补贴”,移动互联网 人工智能 算法 ,[思明区]
嘉兴门门,前端开发工程师,11k-20k·13薪,"软件开发,电商 A轮 15-50人",经验3-5年 大专,“组长候选”,电商 大数据 ,[湖里区]
云之端,php高级开发工程师,15k-20k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,“环境轻松”,PHP Python 服务器端 后端 ,[思明区]
腾星云,大数据测试工程师,10k-15k·13薪,"金融,人工智能 不需要融资 50-150人",经验1-3年 本科,“金融科技领域，友爱同事良好氛围期待您加入”,金融 Web测试 app测试 ,[思明区]
腾星云,高、中、初级数据开发工程师,12k-21k·13薪,"金融,人工智能 不需要融资 50-150人",经验3-5年 本科,“金融科技领域，友爱同事良好氛围期待您加入”,银行 互联网金融 ETL 数据仓库 数仓建模 数据库开发 ,[思明区]
高阳飞动,java工程师,9K-18K,移动互联网 上市公司 50-150人,经验3-5年 本科,“薪资多多，福利多多，培训多多”,Java ,[思明区]
汉纳森,大数据应用工程师,7k-14k,"硬件,移动互联网 不需要融资 150-500人",经验1-3年 本科,“发展前景好”,大数据 云计算 数据采集 视频算法 推荐算法 数据库 ,[思明区]
厦门福信光电,深度学习算法工程师-（应届生）,10k-15k,硬件 未融资 150-500人,经验应届毕业生 硕士,"“人工智能 图像算法,深度学习 目标检测”",机器学习 人工智能 深度学习 计算机视觉 ,[思明区]
厦门福信光电,深度学习算法工程师,10k-16k,硬件 未融资 150-500人,经验1-3年 本科,“前沿技术 大咖指导 智能制造”,人工智能 计算机视觉 图像处理 算法 ,[思明区]
品尚征信,数据分析师,10k-15k,"移动互联网,数据服务 不需要融资 50-150人",经验3-5年 本科,“双休，五险一金，法定节假日，年休假”,大数据 征信 数据分析 ,[湖里区]
简帛云生态,大数据开发工程师,12k-20k,教育 不需要融资 50-150人,经验3-5年 本科,“五险一金、平台稳定、快速发展”,Hadoop Spark Storm 数据架构 ,[思明区]
微赛网络,数据库工程师,9k-12k,移动互联网 未融资 15-50人,经验1-3年 本科,“数据库、PostgreSQL、MySQL”,招聘 移动互联网 DBA MySQL 数据架构 数据库开发 ,[思明区]
恒拓开源,高级java工程师,15k-22k,"企业服务,数据服务 A轮 500-2000人",经验5-10年 本科,“金融行业”,Java ,[思明区]
厦门凌拓,测试经理,10k-16k,移动互联网 B轮 150-500人,经验3-5年 本科,“双休 五险一金 年终奖 加班补贴”,Android测试 产品测试 功能测试 ,[湖里区]
吾轶科技,Golang开发工程师,20k-40k,移动互联网 不需要融资 15-50人,经验不限 大专,"“技术挑战,技术提升”",GO Golang Java ,[思明区]
厦门龙商网络技术服务有限公司,高级前端开发工程师,10k-15k,电商 未融资 150-500人,经验5-10年 本科,“五险一金、节假日福利、国外旅游”,前端开发 ,[思明区]
在乎,ios开发工程师,7k-10k,移动互联网 未融资 少于15人,经验应届毕业生 大专,“年终奖 5天8小时”,移动互联网 ,[莲前]
瑞幸咖啡,推荐算法工程师,20k-40k,"移动互联网,消费生活 上市公司 2000人以上",经验5-10年 硕士,“独角兽企业，发展前景好，氛围好”,新零售 人工智能 搜索 推荐 机器学习 ,[思明区]
蚂蚁云科技,量化设计开发工程师,10k-20k,"企业服务,金融 天使轮 少于15人",经验1-3年 本科,“五险一金，5天7.5小时，股权激励等”,互联网金融 证券/期货 算法 数据分析 Linux ,[湖里区]
美图公司,数据研发工程师,10k-20k·15薪,硬件 上市公司 2000人以上,经验1-3年 本科,“扁平管理，上市公司，晋升空间”,移动互联网 数据仓库 数仓工程师 Hadoop Java ,[思明区]
美图公司,商业化产品数据分析师,15k-30k·15薪,硬件 上市公司 2000人以上,经验3-5年 本科,“晋升空间，上市公司，扁平管理”,移动互联网 ,[思明区]
美图公司,软件测试工程师,8k-12k·15薪,硬件 上市公司 2000人以上,经验1-3年 本科,“晋升空间，上市公司，扁平管理”,移动互联网 功能测试 接口测试 性能测试 系统测试 ,[思明区]
美图公司,测试开发工程师,10k-15k·15薪,硬件 上市公司 2000人以上,经验1-3年 本科,“晋升空间，上市公司，扁平管理”,移动互联网 app测试 H5测试 ,[思明区]
美图公司,"大数据平台开发工程师（java,web）",18k-25k·15薪,硬件 上市公司 2000人以上,经验3-5年 本科,“晋升空间，上市公司，扁平管理”,移动互联网 数仓建模 ETL Hadoop Java ,[思明区]
点触科技,风控算法工程师,15k-25k,游戏 上市公司 500-2000人,经验1-3年 硕士,“福利完善”,人工智能 机器学习 ,[思明区]
美图公司,服务端开发工程师（机器学习平台）-厦门,8k-15k,硬件 上市公司 2000人以上,经验不限 本科,"“大牛团队,上市公司,火速成长”",Golang MySQL C++ Python ,[思明区]
美图公司,计算机视觉工程师---厦门,12k-24k,硬件 上市公司 2000人以上,经验1-3年 本科,"“上市公司,大牛团队,火速成长”",机器学习 深度学习 计算机视觉 算法 ,[软件园]
点触科技,测试开发工程师(J10127),10k-15k,游戏 上市公司 500-2000人,经验1-3年 本科,“免费班车、五险一金、上市公司、周末双休”,游戏 移动互联网 自动化 测试开发 性能测试 自动化测试 ,[莲前]
网宿科技,java开发工程师,10k-20k,移动互联网 上市公司 2000人以上,经验3-5年 本科,“六险一金”,后端 Linux/Unix Java ,[集美区]
点触科技,服务端开发工程师(J10347),11k-20k,游戏 上市公司 500-2000人,经验1-3年 本科,“五险一金，班车，体检”,Golang ,[思明区]
美图公司,nlp算法工程师,25k-30k·14薪,硬件 上市公司 2000人以上,经验3-5年 本科,“平台开放”,数据挖掘 ,[思明区]
美图公司,Android开发工程师-移动中台,12k-18k,硬件 上市公司 2000人以上,经验3-5年 本科,"“奖金丰厚,福利待遇好,发展空间大”",移动互联网 ,[思明区]
美图公司,DBA-厦门,12k-24k·15薪,硬件 上市公司 2000人以上,经验3-5年 本科,“平台开放”,DBA ,[软件园]
神州鹰,资深测试工程师,20k-30k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“五险一金、年终奖金、节日礼品、年终多薪”,Jmeter 性能测试 功能测试 自动化 ,[思明区]
神州鹰,高级运维工程师,10k-15k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“五险一金、荣誉奖金、节日礼品”,运维 DBA Python Docker ,[思明区]
神州鹰,高级测试工程师,15k-20k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“五险一金、年终奖金、节日礼品、年终多薪”,移动互联网 性能测试 自动化测试 app测试 接口测试 ,[思明区]
神州鹰,算法工程师,35k-45k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“五险一金、节日礼品、年终奖、绩效奖金、餐补”,Python Java TensoFlow 推荐算法 ,[思明区]
美图公司,SRE工程师-厦门,13k-25k,硬件 上市公司 2000人以上,经验1-3年 本科,"“千万级用户,大数据平台,发展空间大”",社交 移动互联网 ,[思明区]
美图公司,NLP算法工程师-厦门,12k-24k·15薪,硬件 上市公司 2000人以上,经验不限 本科,“激情团队 社交方向”,深度学习 文本分类 文本生成 ,[思明区]
点触科技,游戏后端开发工程师,10k-15k,游戏 上市公司 500-2000人,经验1-3年 本科,“部门扁平化管理、技术氛围浓厚！”,游戏 移动互联网 Python Java C C++ ,[思明区]
RingCentral厦门研发中心,资深测试开发工程师,15k-25k,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,“核心团队 五险一金 股票福利 带薪年假”,云计算 即时通讯 测试 测试开发 自动化 脚本 ,[思明区]
网新众达,java程序员,10k-15k,"软件开发,区块链 未融资 15-50人",经验3-5年 大专,“五险一金 节日福利 周末双休 下午茶”,工具软件 Java Python 数据库 区块链 ,[开元]
星宸科技,算法工程师（人工智能/智能编解码）,15k-19k·14薪,"通讯电子,其他 未融资 150-500人",经验应届毕业生 硕士,“带薪年假、年终双薪、绩效奖金、股票期权”,MATLAB 深度学习 ,[思明区]
星宸科技,自动化测试工程师,10k-15k·14薪,"通讯电子,其他 未融资 150-500人",经验应届毕业生 本科,“带薪年假、年终双薪、绩效奖金、股票期权”,功能测试 性能测试 ,[思明区]
神州鹰,资深测试工程师,20k-30k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,功能测试 接口测试 性能测试 自动化测试 ,[思明区]
神州鹰,数据仓库ETL研发工程师（经理级）,15k-25k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“五险一金 年终奖 扁平化管理”,Java 数据仓库 Hadoop ETL ,[思明区]
神州鹰,数据库开发工程师,15k-25k,移动互联网 D轮及以上 150-500人,经验5-10年 本科,“五险一金 年终奖 扁平化管理”,Hadoop 数据仓库 Hive 数据库开发 ,[思明区]
神州鹰,算法工程师,20k-30k,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“入职即缴纳五险一金 周末双休”,机器学习 深度学习 算法 ,[思明区]
网宿科技,【21届校招】JAVA开发工程师,12k-24k,移动互联网 上市公司 2000人以上,经验应届毕业生 本科,“六险一金 节日礼金 年度体检”,Java ,[集美区]
网宿科技,【21届校招】Web前端开发工程师,12k-24k,移动互联网 上市公司 2000人以上,经验应届毕业生 本科,“六险一金 节日礼金 年度体检 免费班车”,云计算 Web前端 Angular ,[集美区]
网宿科技,【21届校招】大数据开发工程师,12k-24k,移动互联网 上市公司 2000人以上,经验应届毕业生 本科,“六险一金 节日礼金 年度体检 免费班车”,云计算 Hadoop ,[集美区]
美柚,数据分析师,9k-15k,移动互联网 D轮及以上 500-2000人,经验1-3年 本科,"“发展空间大,团队氛围好”",数据分析 ,[思明区]
美柚,网络安全工程师,13k-20k,移动互联网 D轮及以上 500-2000人,经验3-5年 本科,"“发展空间大,团队氛围好”",安全 ,[软件园]
深度赋智,计算机视觉算法工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,深度学习 图像算法 Python ,[思明区]
深度赋智,后台工程师-厦门,14k-20k,人工智能 未融资 15-50人,经验1-3年 本科,“明星团队、高速发展、待遇福利优厚”,Python C++ 后端 ,[思明区]
深度赋智,解决方案工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验1-3年 硕士,“大牛云集、高速发展、弹性工作”,年轻化 高成长 股票期权 带薪年假 ,[思明区]
深度赋智,大数据/AI架构工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验1-3年 硕士,“大牛云集、高速发展、高额年终、弹性工作”,大数据 ,[思明区]
深度赋智,用户画像工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,深度学习 ,[思明区]
深度赋智,人工智能算法研究员-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,深度学习 ,[思明区]
深度赋智,搜索算法工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,深度学习 ,[思明区]
深度赋智,大数据/AI架构工程师（实习）-厦门,5k-7k,人工智能 未融资 15-50人,经验应届毕业生 硕士,“大牛云集、高速发展、高额年终、弹性工作”,大数据 ,[思明区]
深度赋智,用户画像工程师（实习）-厦门,5k-7k,人工智能 未融资 15-50人,经验应届毕业生 硕士,“大牛云集、高速发展、弹性工作”,深度学习 ,[思明区]
深度赋智,后台工程师（实习）-厦门,5k-7k,人工智能 未融资 15-50人,经验应届毕业生 本科,“明星团队、高速发展、成长空间大”,Python 后端 C++ ,[思明区]
深度赋智,算法工程师（实习）-厦门,5k-7k,人工智能 未融资 15-50人,经验应届毕业生 硕士,“大牛云集、高速发展、弹性工作”,深度学习 ,[思明区]
深度赋智,人工智能研究员-比赛向（实习）-厦门,2k-4k,人工智能 未融资 15-50人,经验应届毕业生 硕士,“明星团队、高速发展、成长空间大”,深度学习 ,[思明区]
深度赋智,人工智能算法研究员（实习）-厦门,5k-7k·13薪,人工智能 未融资 15-50人,经验应届毕业生 硕士,“大牛云集、高速发展、弹性工作”,深度学习 Python ,[思明区]
深度赋智,算法工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,深度学习 ,[思明区]
深度赋智,自然语言处理算法工程师（实习）-厦门,5k-7k,人工智能 未融资 15-50人,经验应届毕业生 硕士,“大牛云集、高速发展、高额年终、弹性工作”,深度学习 自然语言处理 ,[思明区]
