公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
金蝶账无忧,VB开发工程师,12k-20k,企业服务 不需要融资 50-150人,经验3-5年 本科,“大公司年底双薪班车旅游弹性工作”,企业服务 大数据 软件开发 ERP 企业软件 ,[深圳·科技园]
腾讯,VB中后台产品策划经理（深圳）,20k-40k,社交 上市公司 2000人以上,经验5-10年 本科,“虚拟银行中后台产品”,银行 产品设计 金融 需求分析 ,[深圳·南油]
众安保险,大数据开发工程师-VB,20k-40k,金融 上市公司 2000人以上,经验5-10年 本科,“弹性工作 福利多 六险一金 家属保险”,定期体检 每天下午茶 六险一金 年度体检 ,[深圳·南油]
卓智钢云,实施工程师/ERP方向,10k-15k,"电商,企业服务 A轮 50-150人",经验1-3年 本科,“超强创业团队”,企业服务 云计算 ERP 数据库 企业软件 ,[上海·提篮桥]
途虎养车网,软件开发工程师（PLC开发方向),10k-20k·13薪,汽车丨出行 D轮及以上 2000人以上,经验3-5年 本科,“发展前景”,工具软件 ,[嘉兴·南湖区]
卓智钢云,RPA 开发工程师,15k-20k,"电商,企业服务 A轮 50-150人",经验3-5年 本科,“团队气氛好，都是年轻人，工作弹性”,OA ,[上海·提篮桥]
奥解思,自动化测试工程师,15k-20k,金融 上市公司 500-2000人,经验3-5年 本科,“外企工作环境，弹性工作制，薪资open。”,Selenium 自动化 脚本 自动化测试 ,[上海·张江]
鑫属实业,组态开发工程师,5k-9k,其他 未融资 500-2000人,经验3-5年 大专,“五险一金、发展前景好、提供住宿”,PLC C++ ,[郑州·经开区]
成都佳发,品质管理工程师,4k-7k,教育 上市公司 500-2000人,经验1-3年 大专,"“周末双休,带薪年假,六险一金,节日福利”",移动互联网 ,[成都·武侯区]
富士通（西安）,高级软件开发工程师（JAVA/COBOL/C#/C),9k-12k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“周末双休 带薪年假 员工旅游 年终奖”,.NET Java C# ,[西安·雁塔区]
爱奇艺,IT支持工程师,5k-10k·13薪,文娱丨内容 上市公司 2000人以上,经验3-5年 本科,“新项目、大平台”,IT支持 ,[成都·武侯区]
爱奇艺,IT支持工程师,10k-15k·14薪,文娱丨内容 上市公司 2000人以上,经验1-3年 本科,“大平台”,Linux ,[成都·四川大学]
及未科技,脑机研究员,15k-30k,"移动互联网,金融 不需要融资 150-500人",经验3-5年 本科,"“朝九晚六,周末双休,精英团队,无限发展！”",云计算 深度学习 ,[上海·徐汇区]
明源云,运维告警服务工程师,6k-9k,"移动互联网,企业服务 上市公司 2000人以上",经验1-3年 大专,"“节日福利,六险一金,年终奖,带薪休假”",旅游 监控 ,[武汉·洪山区]
明源云,高级系统集成顾问,10k-18k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 大专,“发展前景 团队氛围 扁平化管理”,节日礼物 技能培训 年度旅游 岗位晋升 ,[武汉·洪山区]
领裕电子,软件工程师,5k-7k·13薪,通讯电子 上市公司 2000人以上,经验应届毕业生 本科,“上市公司 平台好”,C# C C++ ,[苏州·相城区]
广州理想资讯,RPA场景开发工程师（驻点汕尾）,6k-8k,"信息安全,数据服务 不需要融资 50-150人",经验1-3年 大专,“五险一金、双休、节日礼金、餐补、生日津贴”,Python ,[广州·龙口]
赢时胜软件,运维工程师,10k-20k,金融 上市公司 500-2000人,经验1-3年 本科,“带薪年假，团队旅游，加班费，补贴”,IT支持 运维 Oracle 系统运维 ,[北京·西单]
富璟科技,RPA开发工程师（广州）,6k-12k,"信息安全,数据服务 不需要融资 50-150人",经验1-3年 本科,“双休 年底奖金 年度出游 体检”,大数据 工具软件 人工智能 深度学习 ,[广州·珠江新城]
富璟科技,RPA开发工程师（成都）,6k-10k,"信息安全,数据服务 不需要融资 50-150人",经验1-3年 本科,“双休 奖金 年度出游 体检”,工具软件 ,[成都·紫荆]
咸鱼游戏,绩效专员,10k-20k·13薪,游戏 B轮 150-500人,经验3-5年 本科,“六险一金”,游戏 绩效管理 绩效考核 ,[深圳·南山区]
苏信环境,硬件工程师,9k-12k,其他 不需要融资 50-150人,经验3-5年 本科,“氛围好，美女多，高奖金，晋升透明”,单片机 传感器 PCB工艺 嵌入式 ,[苏州·工业园区]
凯捷,测试开发工程师,9k-15k,企业服务 上市公司 2000人以上,经验应届毕业生 本科,“六险一金”,脚本 Selenium Jmeter Loadrunner ,[天津·滨海新区]
