公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
晟思智能,C#软件开发工程师（代码）,8k-12k,硬件 未融资 15-50人,经验1-3年 不限,"“五险一金,年终奖金,快速成长,发展空间”",Wpf C#/.NET ,[西安国家民用航天产业基地]
晟思智能,C#软件开发工程师（代码）,8k-15k,硬件 未融资 15-50人,经验3-5年 不限,"“五险一金,年终奖金,快速成长,发展空间”",Wpf C#/.NET ,[西安国家民用航天产业基地]
Huatek,C#开发工程师,6k-12k,"电商,移动互联网 未融资 150-500人",经验3-5年 本科,"“弹性上班,五险一金,发展前景好,福利待遇好”",Wpf Winform C#/.NET ,[高新技术产业开发区]
合智宇,c#开发工程师,10k-13k·13薪,"信息安全,软件开发 未融资 15-50人",经验3-5年 本科,“五险一金，年假，生日福利，节日福利，定期团建”,C# ,[雁塔区]
富士通（西安）,高级软件开发工程师（JAVA/COBOL/C#/C),9k-12k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“周末双休 带薪年假 员工旅游 年终奖”,.NET Java C# ,[雁塔区]
西部机场集团悦泰科技公司,C#工程师,6k-10k,"移动互联网,电商 未融资 50-150人",经验3-5年 本科,“广阔的个人发展空间，领先业界的激励体系”,C#/.NET ,[高新技术产业开发区]
泽瑞通信,c#开发工程师,8k-12k,"数据服务,移动互联网 不需要融资 15-50人",经验3-5年 大专,“周末双休，五险，年终奖金，团队活动。”,教育 中间件 后端 客户端 C#/.NET ,[曲江新区]
易宝软件科技（南京）有限公司,C# 架构,15k-25k,移动互联网 上市公司 150-500人,经验5-10年 本科,“架构师 五险一金 周末双休”,.NET C# 架构师 ,[雁塔区]
上海科箭软件,中级C#开发,9k-14k·13薪,其他 未融资 50-150人,经验不限 本科,“物流软件产品，.net core，微服务”,物流 企业服务 .NET C# MySQL docker ,[雁塔区]
上海科箭软件,初级C#开发,6k-9k·13薪,其他 未融资 50-150人,经验不限 本科,“物流软件产品、.NET CORE、微服务”,物流 企业服务 C# MySQL ,[雁塔区]
鼎邦科技,C#开发工程师,8k-11k,"企业服务,消费生活 未融资 15-50人",经验3-5年 不限,“五险一金、定期体检、节日礼物、员工活动”,后端 C#/.NET ,[未央路沿线]
西安安森,c#开发工程师,10k-16k,硬件 不需要融资 150-500人,经验3-5年 本科,“研发氛围开放活泼”,C#/.NET ,[经济技术开发区]
西安天之星,C#开发工程师,4k-8k,移动互联网 未融资 少于15人,经验1-3年 大专,"“扁平管理,不打卡,氛围好”",软件开发 ,[高新技术产业开发区]
菲猫创达智能,c#软件工程师,9k-16k,"硬件,物联网 不需要融资 50-150人",经验3-5年 本科,“出境旅游、五险一金、节日福利”,大数据 后端 Winform ,[高新技术产业开发区]
