公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
凌图科技,c/c++开发工程师,10k-20k·13薪,人工智能 A轮 50-150人,经验5-10年 本科,“发展空间大”,新零售 大数据 C C++ 服务器端 软件开发 ,[曲江新区]
易流,c++开发工程师,8k-13k·13薪,移动互联网 不需要融资 500-2000人,经验1-3年 大专,“物联网”,C++ ,[高新技术产业开发区]
竞业达,C++音视频开发工程师,10k-15k,"移动互联网,硬件 不需要融资 500-2000人",经验1-3年 本科,"“大平台,上市公司,扁平化管理,周末双休”",C++ ,[雁塔区]
竞业达,c++开发工程师,9k-14k,"移动互联网,硬件 不需要融资 500-2000人",经验1-3年 本科,"“重点项目,上市公司,扁平化管理,周末双休”",音视频 ,[雁塔区]
Huatek,C++开发工程师,6k-12k,"电商,移动互联网 未融资 150-500人",经验3-5年 本科,"“弹性工作,五险一金,发展平台好”",C++ Java Windows ,[高新技术产业开发区]
快搜,c++开发工程师（爬虫方向）,20k-40k,"移动互联网,社交 不需要融资 15-50人",经验3-5年 本科,“在盈利项目”,大数据 爬虫工程师 爬虫架构 数据抓取 数据采集 ,[高新技术产业开发区]
华扬联众全国数据技术中心（HDTC）,C++高级开发工程师,8k-15k,"数据服务,文娱丨内容 不需要融资 2000人以上",经验3-5年 本科,"“每年调薪,带薪假期,五险一金,年底双薪”",Golang C++ C 服务器端 ,[唐延路]
格尔软件,Linux C/C++高级软件工程师,10k-20k,信息安全 上市公司 150-500人,经验5-10年 本科,"“上市公司,工程师文化,技术氛围浓”",信息安全 C++ ,[科技二路]
格尔软件,LinuxC/C++中级软件工程师,10k-15k,信息安全 上市公司 150-500人,经验3-5年 本科,"“上市公司,信息安全,工程师文化,技术氛围”",信息安全 Java C++ ,[沣惠南路]
西咸新区秦汉新城新丝路数字文化科技有限公司,c++开发工程师,13k-18k,"数据服务,移动互联网 未融资 50-150人",经验3-5年 本科,"“福利健全,管理规范,班车接送,绩效奖金”",移动互联网 服务器端 分布式 C++ Linux/Unix ,[新城区]
