公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
西安点通软件,Java开发工程师,3k-5k,移动互联网 未融资 15-50人,经验1年以下 本科,“五险一金、周末双休、年终奖金、绩效奖金”,移动互联网 工具软件 Java 软件开发 ,[雁塔区]
东华,java开发工程师,8k-15k,"企业服务,数据服务 上市公司 2000人以上",经验1-3年 本科,“上市公司、五险一金、年终奖、弹性工作制”,Java ,[高新技术产业开发区]
易宝软件科技（南京）有限公司,java开发工程师,11k-20k,移动互联网 上市公司 150-500人,经验应届毕业生 本科,“五险一金，双倍薪资，餐补，报销打车费”,Java ,[高新技术产业开发区]
华为技术有限公司,java开发工程师,10k-20k,通讯电子 不需要融资 2000人以上,经验1-3年 本科,“五险一金”,后端 Java ,[雁塔区]
上海中软华腾软件系统有限公司,Java开发工程师,12k-24k,"企业服务,金融 上市公司 2000人以上",经验不限 本科,“五险一金  节假日福利”,Java 数据库 分布式 ,[高新技术产业开发区]
智多兴,java开发工程师,12k-16k,移动互联网 未融资 50-150人,经验5-10年 本科,“福利待遇好。发展前景好”,汽车 大数据 后端 ,[雁塔区]
司顺电子商务,java开发工程师,8k-16k·13薪,电商 不需要融资 500-2000人,经验3-5年 本科,“五险一金，行业大牛”,电商 Java 后端 ,[西关]
易流,Java高级开发工程师,10k-20k,移动互联网 不需要融资 500-2000人,经验5-10年 本科,"“前沿技术,友好团队,晋升通道”",Java ,[雁塔区]
易流,java开发工程师,7k-14k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,"“晋升透明,免费住宿,氛围好”",软件开发 Java ,[雁塔区]
步峰信息,java开发工程师,10k-15k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“项目好，长期稳定，薪资高，五险一金，双休”,移动互联网 ,[雁塔区]
蝉鸣,高级java开发工程师,13k-25k·14薪,"教育,移动互联网 A轮 150-500人",经验5-10年 本科,“高速发展 股票期权”,教育 企业服务 Java ,[高新技术产业开发区]
上海中软华腾软件系统有限公司,java开发工程师,10k-18k,"企业服务,金融 上市公司 2000人以上",经验3-5年 本科,“带薪年假”,MySQL JS 数据库 ,[雁塔区]
网新博创,java开发工程师,7k-10k,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“五险一金，餐补，通讯补贴，年终奖”,Java MySQL 后端 ,[碑林区]
