公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
修齐治平,前端开发工程师,8k-16k·15薪,教育 未融资 2000人以上,经验不限 本科,“五险一金 年假 绩效奖 项目奖金 半年调薪”,前端开发 Web前端 Vue React ,[未央区]
网新博创,前端开发工程师,8k-12k,"企业服务,广告营销 不需要融资 500-2000人",经验1-3年 本科,“餐补、五险一金、出差补贴”,jQuery HTML ,[碑林区]
Huatek,前端开发工程师,8k-15k,"电商,移动互联网 未融资 150-500人",经验3-5年 不限,"“五险一金,带薪年假,餐补,公司旅游”",Web前端 ,[高新技术产业开发区]
格蒂电力,前端开发工程师,8k-15k,企业服务 未融资 500-2000人,经验3-5年 本科,“上市公司，福利待遇优厚，职业发展空间广阔”,移动端 Web前端 Vue ,[雁塔区]
西安卓派信息科技有限公司,前端开发工程师（偏JavaScript 方向）,7k-10k,"消费生活,其他 C轮 50-150人",经验1-3年 大专,“半弹性工作；英文环境；赴美工作”,移动互联网 Angularjs React native Hybird ,[雁塔区]
云积互动,前端开发工程师,13k-25k,"企业服务,移动互联网 天使轮 150-500人",经验3-5年 本科,“周末双休 五险一金 节日福利 员工旅游”,Web前端 ,[等驾坡]
格尔软件,前端开发工程师,8k-12k,信息安全 上市公司 150-500人,经验3-5年 本科,“五险一金/双休、各种法定假期”,信息安全 Web前端 Javascript ,[沣惠南路]
运通信息,前端开发工程师,11k-15k,"金融,其他 上市公司 150-500人",经验3-5年 大专,“发展前景，团队氛围”,前端开发 Web前端 Vue ,[沣惠南路]
西安墨道,前端开发工程师,7k-12k,"硬件,移动互联网 未融资 15-50人",经验5-10年 本科,“五险一金，双休”,移动端 Android IOS Web前端 ,[科技二路]
微嗨互动,前端开发工程师,8k-11k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 本科,“五险一金，加班补贴，交通补贴，通讯补贴”,前端开发 Web前端 ,[曲江新区]
东华,web前端开发工程师,8k-13k,"企业服务,数据服务 上市公司 2000人以上",经验1-3年 大专,“上市公司、五险一金、年终奖、弹性工作制”,前端开发 ,[高新技术产业开发区]
上海中软华腾软件系统有限公司,web前端开发工程师,10k-20k,"企业服务,金融 上市公司 2000人以上",经验不限 本科,“业务含大数据云计算5G通信芯片等各个方向”,Angular Web前端 Vue React ,[高新技术产业开发区]
易流,WEB前端开发工程师,8k-15k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,"“友好团队,前沿技术”",HTML Web前端 ,[雁塔区]
广州源创,h5前端开发工程师（西安）,8k-12k·13薪,"电商,企业服务 不需要融资 50-150人",经验1-3年 本科,“个人发展 工作环境”,电商 移动端 HTML5 ,[雁塔区]
网新博创,web前端开发工程师,8k-12k,"企业服务,广告营销 不需要融资 500-2000人",经验1-3年 本科,“餐补、五险一金、出差补贴”,Web前端 CSS ,[碑林区]
西安华为技术有限公司,前端开发工程师,15k-30k·15薪,"数据服务,硬件 不需要融资 2000人以上",经验3-5年 本科,“薪资高 团队氛围好 技术领先”,Web前端 Vue React Angular ,[高新技术产业开发区]
中兴新云,前端开发工程师,10k-20k,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 本科,“五险一金 双休 带薪年假”,Vue ,[雁塔区]
鲸鱼互动,web前端开发工程师,8k-13k·14薪,移动互联网 未融资 50-150人,经验3-5年 本科,"“周末双休,五险一金,晋升空间,带薪年假”",前端开发 HTML Javascript CSS ,[高新技术产业开发区]
陕西瑞奇网络,前端开发工程师,5k-10k,移动互联网 A轮 50-150人,经验3-5年 不限,“项目奖金，涨薪，团建，节假日福利！”,Javascript ,[雁塔区]
