公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
崤云安全,高级python开发工程师,10k-14k,信息安全 不需要融资 50-150人,经验3-5年 不限,“六险一金、提供食宿、年底双薪”,Python ,[高新技术产业开发区]
逆袭网络,Python开发工程师-爬虫方向,6k-10k,"移动互联网,社交 A轮 50-150人",经验1-3年 本科,“扁平管理、五险一金、健身福利、发展空间大”,社交 Python 爬虫 ,[科技二路]
Wisdom Garden,Python高级工程师,13k-26k,教育 A轮 50-150人,经验5-10年 不限,“弹性扁平 福利棒 大牛同你一起飞”,敏捷开发 Mac高配 六险一金 扁平化管理 ,[高新技术产业开发区]
逆袭网络,服务端开发工程师-Python,6k-10k,"移动互联网,社交 A轮 50-150人",经验1-3年 本科,“扁平管理、五险一金、健身福利、一对一导师”,社交 Python ,[科技二路]
上海中软华腾软件系统有限公司,Java/测试/安卓/运维/C++/Python,10k-20k,"企业服务,金融 上市公司 2000人以上",经验不限 本科,“五险一金 双休 高薪 电话面试”,云计算 移动互联网 ,[高新技术产业开发区]
鼎拓科技,python开发工程师,6k-12k,"信息安全,人工智能 未融资 50-150人",经验3-5年 大专,“五险一金、双休、加班少、稳定性高”,Python ,[高新技术产业开发区]
鼎拓科技,python开发工程师,6k-11k,"信息安全,人工智能 未融资 50-150人",经验1-3年 本科,“五险一金”,Python ,[高新技术产业开发区]
易宝软件科技（南京）有限公司,python开发工程师,9k-18k,移动互联网 上市公司 150-500人,经验1-3年 本科,“双休法定假日 五险一金 项目奖 节日福利”,Python ,[高新技术产业开发区]
宝兰德软件,python开发工程师（分布式系统）,13k-23k,企业服务 上市公司 150-500人,经验3-5年 大专,“发展空间大 上市公司 六险一金”,云计算 大数据 Linux/Unix 分布式 中间件 后端 ,[雁塔区]
宝兰德软件,Python高级开发（分布式系统）,12k-20k,企业服务 上市公司 150-500人,经验不限 大专,“发展空间大 上市公司 六险一金 带薪年假”,Python 分布式 服务器端 中间件 ,[雁塔区]
金数据,Python开发工程师,14k-28k,企业服务 不需要融资 50-150人,经验3-5年 本科,“五险一金 技术大牛 极客精神”,工具软件 后端 Python 全栈 自动化 ,[高新技术产业开发区]
