公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
第三维度软件,C#开发,10k-16k,"人工智能,软件开发 未融资 15-50人",经验3-5年 本科,“前景好，市场大，晋升空间大，待遇好”,大数据 C#/.NET 云计算 C# ,[郑东新区]
第三维度软件,C#开发（经理）,15k-30k,"人工智能,软件开发 未融资 15-50人",经验5-10年 本科,“绩效奖金 定期体检 项目奖金”,C#/.NET .NET C# 推荐算法 ,[郑东新区]
航天科宇测试仪器,c#软件开发工程师,6k-9k,其他 不需要融资 150-500人,经验1-3年 本科,“交五险，公司发展前景好”,C# .NET MySQL ,[高新区]
广州天越电子科技有限公司,.net高级开发工程师,10k-13k,"移动互联网,硬件 不需要融资 150-500人",经验5-10年 本科,“周末双休 节日福利 餐补 多元化发展路径”,后端 C#/.NET .NET ,[建设路]
北路软件,机器视觉工程师,10k-20k·13薪,物联网 未融资 150-500人,经验3-5年 本科,“自研产品、绩效奖金、职位晋升”,绩效奖金 带薪年假 交通补助 通讯津贴 ,[经开区]
上海爱壹得信息科技有限公司,实施工程师,4k-8k,"移动互联网,医疗丨健康 A轮 15-50人",经验1-3年 大专,“职位提升，福利优厚”,实施 ,[金水区]
UU跑腿,高级.net开发,10k-15k,"移动互联网,消费生活 B轮 500-2000人",经验3-5年 大专,“五险一金、带薪年假、节日福利、员工旅游”,C++ ,[金水区]
郑州联泰正宏,高级web前端开发工程师,8k-12k,"信息安全,软件开发 未融资 15-50人",经验3-5年 本科,“良好的发展前途”,信息安全 工具软件 Web前端 Vue HTML5 CSS ,[金水区]
中移在线服务有限公司,系统架构师,15k-25k,移动互联网 不需要融资 2000人以上,经验5-10年 本科,“大平台 高起点 大牛同事”,系统架构 ,[高新区]
宾果雅通,.NET工程师,10k-11k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“五险一金”,移动互联网 ,[郑东新区]
晨华科技,实施工程师,5k-7k,移动互联网 未融资 15-50人,经验1-3年 不限,“双休+节日福利+生日补贴+免费旅游”,企业服务 其他 实施 技术支持 解决方案 ,[高新区]
晨华科技,.net开发工程师,5k-8k,移动互联网 未融资 15-50人,经验1-3年 大专,“双休 节日福利 季度福利 生日福利”,.NET C# MySQL ,[高新区]
好多牛,测试工程师,10k-15k·14薪,"金融,信息安全 上市公司 2000人以上",经验3-5年 本科,“甲方正式员工，福利好，待遇高”,性能测试 自动化测试 黑盒测试 白盒测试 ,[金水区]
郑州星云互联,.NET工程师,6k-10k,"移动互联网,电商 不需要融资 少于15人",经验1-3年 大专,“五险一金、单双休”,后端 C#/.NET ,[高新区]
牧原肉食品,.net高级开发工程师,10k-20k,消费生活、物流丨运输 上市公司 2000人以上,经验3-5年 本科,“五险一金”,物流 电商 .NET C# ,[管城回族区]
河南灿烂阳光旅行社有限公司,.NET开发工程师,5k-10k,旅游 未融资 150-500人,经验1-3年 不限,“互联网 大牛带队”,.NET C# MySQL ,[管城区]
中誉鼎力,u3d开发工程师,8k-11k,"硬件,其他 上市公司 50-150人",经验3-5年 本科,“五险、单双休、餐补、聚餐、旅游等”,分类信息 企业服务 ,[管城回族区]
紫光教育,unity大学讲师,6k-11k,物联网、人工智能 未融资 15-50人,经验3-5年 本科,“周末双休，大牛带队，待遇从优”,,[经开区]
欣木网络,.net高级开发工程师,9k-14k,"软件开发,其他 未融资 少于15人",经验3-5年 大专,“面谈”,,[中原区]
中业教育,架构师,15k-20k,教育 不需要融资 500-2000人,经验3-5年 本科,“五险13薪 带薪年假16天 节假日”,移动互联网 教育 运维管理 系统架构 ,[金水路]
美年红,.net开发工程师,8k-12k,其他 不需要融资 50-150人,经验3-5年 本科,“五险一金，周末双休，节日福利，工作环境好”,互联网金融 ,[郑东新区]
航天智慧,产品经理,15k-20k,"移动互联网,数据服务 不需要融资 150-500人",经验5-10年 本科,“五险一金、定期体检、带薪年假、餐话交补助”,移动互联网 信息安全 用户研究 需求分析 产品策划 产品设计 ,[民航路]
曹到电子,高级.net开发工程师,8k-10k,"电商,软件开发 A轮 150-500人",经验3-5年 不限,“加班补助 绩效奖金 定期团建 节日福利”,后端 平台 C#/.NET ,[管城回族区]
恒品科技,IT项目总监,15k-25k,其他 不需要融资 50-150人,经验5-10年 本科,“充分施展个人才华”,目标管理 业务流程管理 决策能力 领导力 ,[郑东新区]
中关村在线,产品经理,8k-12k,"移动互联网,广告营销 上市公司 500-2000人",经验5-10年 本科,“五险一金”,新零售 产品设计 ,[商城路]
亿普格,. net程序师,3k-6k,企业服务、软件开发 未融资 少于15人,经验1-3年 大专,“底薪+满勤奖+奖金+晋升空间+旅游”,移动互联网 电商 C#/.NET 服务器端 Javascript 后端 ,[中原区]
宾果雅通,.net开发工程师,5k-7k,移动互联网 不需要融资 50-150人,经验1-3年 本科,“做自已的产品、技术大牛的团队、双休”,招聘 企业服务 后端 ASP C#/.NET ,[郑东新区]
第三维度软件,C#开发工程师,6k-12k·13薪,"人工智能,软件开发 未融资 15-50人",经验1-3年 本科,“五险一金 绩效奖金 定期体检 项目奖金”,大数据 C# 软件开发 ,[郑东新区]
晨华科技,软件实施工程师,5k-7k,移动互联网 未融资 15-50人,经验1-3年 大专,“双休 五险 节日福利”,数据库 ,[高新区]
