公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
研游,C++服务端开发工程师（郑州）,7k-12k,游戏 不需要融资 50-150人,经验不限 本科,"“团队氛围好,周末双休,下午茶,弹性上下班”",游戏 C++ Lua ,[高新区]
大河网,C++工程师,7k-9k,文娱丨内容 不需要融资 150-500人,经验3-5年 本科,"“五险,带薪休假,双休”",即时通讯 移动互联网 客户端 C++ 服务器端 架构师 ,[中原区]
北路软件,c++软件开发工程师,10k-15k·13薪,物联网 未融资 150-500人,经验3-5年 本科,“自研产品、职位晋升”,Shell ,[管城回族区]
中移在线服务有限公司,c++开发工程师,13k-23k,移动互联网 不需要融资 2000人以上,经验3-5年 本科,“大平台 高起点 大牛同事”,C++ ,[高新区]
第三维度软件,C++开发工程师,8k-15k,"人工智能,软件开发 未融资 15-50人",经验3-5年 本科,“绩效奖金 定期体检 项目奖金”,C++ MFC ,[郑东新区]
信大捷安,C/C++开发工程师-2020YF25,10k-15k,"移动互联网,信息安全 未融资 500-2000人",经验3-5年 本科,“公司平台好 发展空间大”,C 服务器端 后端 ,[金水区]
黄河科技,Linux C/C++软件开发工程师,10k-20k,数据服务 未融资 150-500人,经验3-5年 本科,“双休 五险一金 团队关系和谐”,C C++ ,[高新区]
蓝信科技,C++（服务器方向）,10k-15k·14薪,"移动互联网,硬件 上市公司 150-500人",经验3-5年 本科,“交通补贴、绩效奖金、补充医疗、五险一金”,C++ 服务器端 架构师 ,[高新区]
轻大慧联,c++开发工程师,6k-9k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,“环境舒适，氛围融洽”,工具软件 企业服务 C++ 全栈 C ,[高新区]
修齐治平,node.js开发工程师,8k-16k·15薪,教育 未融资 2000人以上,经验不限 大专,“入职缴纳五险一金 团队年轻有活力”,Java .NET C# Node.js ,[管城回族区]
泛微,项目经理（郑州）,9k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“绩效奖金 交通补贴 项目提成 五险一金”,工具软件 企业服务 项目管理 实施 ,[燕庄]
威尔视觉,WebRTC开发工程师,20k-40k·13薪,"移动互联网,文娱丨内容 天使轮 50-150人",经验5-10年 本科,“不打卡 周末双休 13薪 大牛带队 五险一金”,视频 直播 C++ 云计算 音视频 视频编解码 ,[中原区]
乐至科技,openWRT工程师,10k-20k,移动互联网 不需要融资 50-150人,经验3-5年 大专,“周末双休；五险一金；餐费补助；福利多多”,Linux 嵌入式 ,[秦岭路]
锅圈供应链,ios开发工程师,6k-10k,不限 C轮 500-2000人,经验3-5年 本科,“全勤，社保，商业险”,iOS ,[高新区]
