公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
国超科技,java高级开发工程师,15k-26k,"文娱丨内容,社交 未融资 150-500人",经验3-5年 大专,“稳定，工作时间灵活，年终奖”,社交 移动互联网 后端 架构师 分布式 中间件 ,[高新区]
易宝软件科技（南京）有限公司,java工程师,8k-12k·13薪,移动互联网 上市公司 150-500人,经验3-5年 本科,“上市公司，双休，五险一金”,Java ,[高新区]
易宝软件科技（南京）有限公司,java,7k-10k·13薪,移动互联网 上市公司 150-500人,经验1-3年 本科,"“双休,五险一金,年终奖,季度奖”",后端 软件开发 ,[高新区]
维斯泰克,高级java开发工程师,8k-16k,软件开发 不需要融资 15-50人,经验10年以上 大专,“部门领导”,后端 ,[郑东新区]
河南软邮,Java开发工程师,7k-9k,软件开发 未融资 15-50人,经验3-5年 本科,“双休  五险  免费班车  节日福利”,Java MySQL 全栈 ,[金水区]
锅圈供应链,java高级开发工程师,10k-15k,不限 C轮 500-2000人,经验5-10年 大专,“200人研发团队”,Java ,[高新区]
崤云安全,高级java开发工程师,8k-16k·13薪,信息安全 不需要融资 50-150人,经验5-10年 大专,“政府主导、自研项目、六险一金、提供食宿”,Java 分布式 ,[高新区]
峰和设计,java开发工程师,7k-10k,"数据服务,房产家居 未融资 15-50人",经验3-5年 本科,“项目负责、全能”,大数据 工具软件 Java 数据库 ,[郑东新区]
北路软件,java开发工程师,8k-16k·13薪,物联网 未融资 150-500人,经验3-5年 本科,“自研产品、职位晋升”,Java ,[经开区]
大河网,Java,5k-9k,文娱丨内容 不需要融资 150-500人,经验3-5年 本科,““双休、五险一金、带薪年假、扁平化管理””,节日礼物 年底双薪 专项奖金 带薪年假 ,[中原区]
大河网,JAVA工程师,5k-9k,文娱丨内容 不需要融资 150-500人,经验1-3年 本科,"“双休,带薪年假,五险”",即时通讯 后端 Java MySQL ,[中原区]
安硕信息（amarsoft）,Java 【郑州】,6k-11k,金融 上市公司 2000人以上,经验1-3年 本科,"“五险一金,年终福利,空间大”",金融 Java ,[郑东新区]
