公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
维斯泰克,前端开发工程师,5k-8k·13薪,软件开发 不需要融资 15-50人,经验3-5年 大专,“国家法定节假如”,工具软件 前端开发 ,[郑东新区]
金数网科,前端开发工程师,4k-6k·14薪,"移动互联网,数据服务 不需要融资 15-50人",经验1-3年 本科,“五险一金”,前端开发 ,[郑东新区]
北路软件,前端开发工程师,9k-16k·13薪,物联网 未融资 150-500人,经验5-10年 本科,“自研产品、职位晋升”,前端开发 Web前端 ,[经开区]
云拓智能,前端开发工程师,6k-10k,"移动互联网,硬件 不需要融资 15-50人",经验1-3年 大专,“健身房，孝顺基金，年终奖，每年多次调薪”,大数据 Web前端 Javascript ,[郑东新区]
新星科技,前端开发工程师,9k-14k,移动互联网 不需要融资 150-500人,经验3-5年 本科,“发展前景好 非外包 高奖金 双休”,前端开发 Web前端 Vue ,[高新区]
云智慧,高级web前端开发工程师,8k-15k·13薪,数据服务 D轮及以上 150-500人,经验3-5年 本科,“六险一金，下午茶，年终奖，8天年假”,Web前端 React 前端开发 ,[高新区]
锅圈供应链,web前端开发工程师,6k-11k,不限 C轮 500-2000人,经验3-5年 大专,“五险+商业险，300人技术团队”,Web前端 ,[高新区]
车易购,web前端开发工程师,6k-8k,"其他,硬件 未融资 50-150人",经验1-3年 大专,“双休 法定假期”,前端开发 HTML HTML5 CSS ,[迎宾路]
Datablau,web前端工程师,7k-14k,数据服务 A轮 50-150人,经验不限 本科,“技术大牛”,前端开发 Vue HTML5 ,[金水区]
崤云安全,高级前端工程师,8k-16k,信息安全 不需要融资 50-150人,经验5-10年 本科,“六险一金、提供食宿、年底双薪”,Node.js React native Vue ,[高新区]
格蒂电力,前端开发工程师,7k-10k,"数据服务,其他 上市公司 500-2000人",经验3-5年 大专,“电网项目+五险一金+福利待遇优”,Web前端 Vue Javascript jQuery ,[管城回族区]
阿帕斯数云,高级前端工程师,12k-18k·13薪,"数据服务,软件开发 未融资 150-500人",经验5-10年 本科,“五险一金、双休、年底双薪、经常有技术分享”,Vue React Web前端 Node.js ,[郑东新区]
辉之创网络科技,web/H5前端开发工程师助理/实习,4k-6k,"移动互联网,游戏 未融资 50-150人",经验不限 大专,“高薪 双休 提供住宿 带薪实习”,云计算 工具软件 前端开发 移动端 HTML5 HTML ,[经开区]
玖卓医疗,高级前端开发工程师,10k-20k,医疗丨健康 不需要融资 150-500人,经验3-5年 不限,“高薪资，大平台”,Vue ,[中原区]
郑州联泰正宏,高级web前端开发工程师,8k-12k,"信息安全,软件开发 未融资 15-50人",经验3-5年 本科,“良好的发展前途”,信息安全 工具软件 Web前端 Vue HTML5 CSS ,[金水区]
易宝软件科技（南京）有限公司,前端开发工程师,6k-12k·13薪,移动互联网 上市公司 150-500人,经验1-3年 本科,“上市公司五险一金年终奖”,前端开发 Web前端 jQuery CSS3 ,[高新区]
小鱼易连,前端开发工程师,10k-15k,移动互联网 B轮 150-500人,经验1-3年 本科,“五险一金、弹性工作、结婚礼金、下午茶”,前端开发 Web前端 ,[金水区]
云智慧,资深前端开发工程师,10k-20k,数据服务 D轮及以上 150-500人,经验3-5年 本科,“六险一金；扁平化管理;领导nice”,前端开发 Web前端 React ,[高新区]
科瑞思拓,前端工程师,7k-10k,"移动互联网,旅游 未融资 50-150人",经验3-5年 大专,“双休、五险一金、节日福利、员工旅游、员工体检”,HTML Javascript CSS ,[高新区]
开大工程咨询,web前端开发工程师,4k-8k,房产家居 D轮及以上 150-500人,经验1-3年 本科,“带薪年假，五险，年终奖金”,大数据 工具软件 ,[郑东新区]
格蒂电力,高级前端开发工程师,8k-15k,"数据服务,其他 上市公司 500-2000人",经验5-10年 大专,“五险一金+带薪休假+靠谱团队+电网项目”,企业服务 大数据 Vue 前端开发 Web前端 ,[淮河路]
中移在线服务有限公司,web前端开发工程师,13k-23k,移动互联网 不需要融资 2000人以上,经验5-10年 本科,“大平台 高起点 大牛同事”,前端开发 ,[高新区]
友拓软件,web前端开发工程师,7k-12k,"企业服务,软件开发 未融资 50-150人",经验3-5年 本科,“公司重点项目、发展前景好、项目奖金、工龄补贴”,企业服务 jQuery Vue Javascript ,[金水区]
锅圈供应链,web前端开发工程师,10k-15k·13薪,不限 C轮 500-2000人,经验3-5年 本科,“平台大，大牛带队，发展前景好”,电商 Web前端 ,[高新区]
玖蓝网络,前端开发工程师,8k-12k·13薪,"数据服务,软件开发 不需要融资 15-50人",经验1-3年 不限,“带薪年假 高于同行业水平工资 发展前景大”,教育 移动互联网 前端开发 Web前端 Vue CSS ,[二七区]
学海居,前端开发工程师,5k-6k,"移动互联网,消费生活 未融资 50-150人",经验1-3年 大专,“社保”,前端开发 ,[经开区]
易宝软件科技（南京）有限公司,前端开发工程师,6k-10k·13薪,移动互联网 上市公司 150-500人,经验1-3年 本科,"“朝九晚六,双休,五险一金,上市企业”",Web前端 jQuery Vue React ,[高新区]
前海数据金融科技,前端开发工程师,6k-12k,企业服务 未融资 50-150人,经验3-5年 大专,“创业公司”,前端开发 Web前端 ,[郑东新区]
创梦科技,前端开发工程师,4k-8k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 本科,“有实力”,jQuery HTML5 CSS3 ,[高新区]
元启网络,前端开发工程师,7k-10k·13薪,移动互联网 / /,经验3-5年 本科,“五险，弹性工作，节日福利”,电商 Web前端 Vue HTML5 ,[北环]
米棉有科技,前端开发工程师,3k-4k,软件开发 未融资 15-50人,经验不限 本科,“专业培训，发展空间大”,前端开发 Web前端 ,[经开区]
小鱼易连,前端开发工程师,10k-15k,移动互联网 B轮 150-500人,经验1-3年 本科,“职业发展好，定期团建，不打卡。”,前端开发 ,[郑东新区]
河南灿烂阳光旅行社有限公司,前端开发工程师,5k-7k,旅游 未融资 150-500人,经验1-3年 不限,“互联网 大牛带队”,Vue Web前端 ,[管城区]
郑州华沃太科信息技术有限公司,前端开发工程师,7k-10k,移动互联网 未融资 15-50人,经验3-5年 本科,“生日福利、过节福利、年终奖、14薪”,前端开发 Vue Web前端 Javascript ,[西环路]
郑州思博科,前端开发工程师,6k-9k,"移动互联网,企业服务 未融资 15-50人",经验3-5年 不限,“五险一金 双休 13薪”,前端开发 HTML5 CSS ,[城东路]
郑州华沃太科信息技术有限公司,前端工程师,7k-10k,移动互联网 未融资 15-50人,经验3-5年 大专,"“14薪,发展空间大”",大数据 企业服务 前端开发 HTML5 Vue Web前端 ,[中原区]
爱校园,前端开发工程师,6k-10k,"移动互联网,教育 A轮 15-50人",经验3-5年 本科,“公司发展稳定，团队融洽，五险一金”,教育 前端开发 HTML5 Weex Vue ,[龙子湖]
妙优车,前端开发工程师,6k-8k,金融 A轮 500-2000人,经验3-5年 大专,"“双休,五险一金,年终奖,带薪年假”",移动端 前端开发 Web前端 ,[郑东新区]
纬窝科技,前端开发工程师,5k-7k,"教育,房产家居 不需要融资 50-150人",经验1-3年 大专,“业务快速扩张期”,移动端 前端开发 Vue ,[经开区]
河南大慕游乐设备有限公司,前端开发工程师,4k-7k,电商 不需要融资 少于15人,经验1-3年 大专,“工作氛围轻松”,CSS3 Javascript HTML5 CSS ,[金水区]
佳和科技,前端开发工程师,5k-8k,企业服务 / /,经验1-3年 本科,“数字经济 企业信息化建设”,前端开发 Vue ,[金水区]
863软件,WEB前端开发工程师,5k-10k,移动互联网 未融资 500-2000人,经验1-3年 大专,"“国企,双休,五险一金,带薪年假”",Web前端 ,[高新区]
格蒂电力,前端开发工程师,8k-12k,"数据服务,软件开发 不需要融资 150-500人",经验3-5年 大专,“五险一金+双休+福利待遇优”,大数据 云计算 CSS Vue Web前端 HTML ,[长江路]
蜻蜓云科技,前端开发工程师,5k-10k,"软件开发,VR丨AR 未融资 15-50人",经验不限 本科,“房地产+互联网行业，职业发展前景好”,HTML5 webGL Javascript Node.js ,[经开区]
中瑞科技,前端开发工程师,3k-6k,物联网 未融资 15-50人,经验1-3年 大专,“五险一金、晋升空间大”,移动端 前端开发 ,[管城回族区]
格蒂电力,前端开发工程师,7k-12k,"数据服务,其他 上市公司 500-2000人",经验3-5年 大专,“大平台，双休，五险一金，福利齐全”,HTML 前端开发 Javascript CSS ,[淮河路]
合力亿捷,前端开发工程师,10k-15k,"移动互联网,企业服务 上市公司 500-2000人",经验5-10年 大专,“六险一金、双休”,Javascript CSS bootstrap Vue ,[高新区]
游呗科技,前端工程师,5k-8k,"移动互联网,旅游 不需要融资 15-50人",经验1-3年 本科,"“五险,旅游福利,项目奖,节日福利”",前端开发 ,[金水区]
国机互联,前端开发工程师,6k-10k,"软件开发,其他 不需要融资 50-150人",经验1-3年 本科,“团队实力、发展潜力”,Web前端 ,[高新区]
智景科技,前端开发工程师,4k-8k·13薪,"移动互联网,硬件 未融资 少于15人",经验1-3年 不限,“弹性工作”,移动互联网 Vue HTML5 webpack Javascript ,[中原区]
金鹏信息,前端开发工程师,6k-9k,"移动互联网,企业服务 上市公司 150-500人",经验1-3年 本科,"“晋升,培训，双休，员工餐厅”",前端开发 HTML5 ,[秦岭路]
河南标点科技有限公司,前端工程师,6k-12k,电商 未融资 50-150人,经验3-5年 大专,“双休，双休，双休”,电商 大数据 Vue ,[中原区]
波瑞特艾斯,前端开发工程师,7k-9k,教育 未融资 15-50人,经验3-5年 大专,“能力优秀者加薪，后期盈利有项目绩效”,CSS webpack Vue HTML ,[金水区]
众之泽,前端开发工程师,5k-6k,电商 未融资 少于15人,经验3-5年 本科,“待遇好，福利高”,电商 分类信息 前端开发 Web前端 HTML5 ,[新郑市]
微晟互联,前端开发工程师,7k-9k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“双休 节假日 灵活考勤 年终奖 项目奖金”,移动互联网 ,[高新区]
精准软件,前端开发工程师,8k-13k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“五险一金，节日福利，生日福利，带薪休假。”,移动互联网 互联网金融 Vue Angularjs React native ,[金水区]
修齐治平,前端工程师,7k-13k,教育 未融资 2000人以上,经验3-5年 本科,“大牛带队 朝阳行业”,教育 前端开发 Web前端 Vue ,[经开区]
科伊斯网络科技,前端开发工程师,4k-6k,"电商,移动互联网 不需要融资 15-50人",经验1-3年 本科,"“弹性工作,五险一金,节日福利,定期聚餐”",游戏 Web前端 ,[高新区]
为而易科技,前端开发工程师,6k-8k,"移动互联网,电商 未融资 15-50人",经验1-3年 大专,“周末单双轮休、项目奖金、绩效奖金、十三薪”,移动互联网 HTML CSS 前端开发 ,[金水区]
郑州风度软件,前端开发工程师,7k-12k,移动互联网 未融资 50-150人,经验3-5年 不限,“双休”,Vue Node.js ,[管城回族区]
万动力,前端开发工程师,6k-8k,软件开发 不需要融资 50-150人,经验1-3年 大专,“绩效奖金 单双轮休 节日福利”,前端开发 Web前端 ,[京广路]
信大捷安,Web前端开发工程师-2020YF07,10k-15k,"移动互联网,信息安全 未融资 500-2000人",经验3-5年 本科,“公司平台好 发展空间大”,CSS bootstrap React native Angularjs ,[金水区]
富文科技,高级web前端开发工程师,7k-12k,"人工智能,软件开发 未融资 50-150人",经验3-5年 本科,"“完善的晋升机制,年终奖”",前端开发 Web前端 Vue ,[金水区]
电建北堪院河南分公司,中级前端工程师,8k-15k,"移动互联网,其他 不需要融资 50-150人",经验3-5年 本科,“双休、五险一金入职缴纳、早九晚六、不加班”,React 前端开发 ES6 ,[郑东新区]
电建北堪院河南分公司,资深前端开发工程师,15k-20k,"移动互联网,其他 不需要融资 50-150人",经验5-10年 本科,“双休、五险一金入职缴纳、早九晚六、不加班”,React ES6 前端开发 ,[郑东新区]
迪凡科技,web前端开发工程师,4k-8k,"企业服务,硬件 不需要融资 15-50人",经验1-3年 大专,“双休，提供住宿，发展前景好”,移动端 bootstrap Vue Node.js ,[经开区]
美丽嘉,web前端工程师,12k-20k·13薪,企业服务 不需要融资 500-2000人,经验3-5年 本科,“五险一金 拟上市公司”,Vue ,[高新区]
上海睿民,h5前端开发工程师,7k-12k,"移动互联网,其他 上市公司 500-2000人",经验3-5年 本科,“六险一金、定期体检、项目补贴、节假日福利”,银行 支付 HTML5 前端开发 ,[金水路]
奥思网络,web前端开发工程师,10k-15k·14薪,软件开发 B轮 150-500人,经验3-5年 本科,“五险一金 股权激励 晋升空间”,前端开发 Web前端 React Vue ,[郑东新区]
牧原肉食品,web前端开发工程师,10k-20k,消费生活、物流丨运输 上市公司 2000人以上,经验3-5年 本科,“五险一金”,物流 Vue Web前端 Node.js HTML ,[管城回族区]
夺冠互动,资深web前端开发工程师,8k-15k,移动互联网 未融资 150-500人,经验5-10年 大专,“重点培养，前途无限”,Javascript 架构师 Vue HTML5 ,[郑东新区]
万鲸科技,web前端开发工程师,5k-10k,"企业服务,物联网 A轮 少于15人",经验3-5年 不限,“五险”,前端开发 Web前端 ,[中原区]
海融软件,web前端开发工程师,7k-10k,移动互联网 未融资 150-500人,经验3-5年 大专,“五险一金、双休、年终奖、每年一次普调薪资”,移动端 jQuery Vue HTML5 ,[中原区]
文互动漫,uniAPP前端工程师,6k-8k,软件开发 未融资 少于15人,经验1-3年 不限,“非你莫属”,前端开发 Web前端 ,[中原区]
透视互联,web前端开发工程师,6k-9k,移动互联网 不需要融资 15-50人,经验3-5年 大专,“PHP后端开发”,电商 移动互联网 Android IOS Vue Web前端 ,[郑东新区]
爱校园,web前端开发工程师,8k-10k,"移动互联网,教育 A轮 15-50人",经验3-5年 本科,"“弹性工作制,绩效奖金,股权分红”",HTML Web前端 ,[郑东新区]
阿佳妮实业,web前端开发工程师,5k-7k,社交、电商 未融资 少于15人,经验3-5年 本科,“公司为初创企业，周日固定休息，不定时聚餐”,电商 移动互联网 前端开发 Vue jQuery Javascript ,[金水区]
河南建业物业,web前端开发工程师,8k-15k·13薪,"消费生活,其他 上市公司 500-2000人",经验1-3年 本科,“五险一金、技术大牛”,HTML CSS3 Angular ,[燕庄]
河南沐芃,web前端开发工程师,5k-8k,移动互联网 未融资 50-150人,经验1-3年 大专,“工作时间：早九晚六 大小周”,前端开发 Vue Web前端 ,[管城回族区]
恒品科技,web前端工程师,5K-10K,其他 不需要融资 50-150人,经验3-5年 本科,“学习、挑战、创新、成长”,Web前端 ,[郑东新区]
中关村在线,【郑州职位】前端开发工程师,7k-12k,"移动互联网,广告营销 上市公司 500-2000人",经验3-5年 本科,“公司平台”,电商 前端开发 ,[商城路]
电建北堪院河南分公司,web前端开发工程师,5k-8k,"移动互联网,其他 不需要融资 50-150人",经验1-3年 本科,“双休、年终奖、五险一金”,前端开发 Web前端 HTML Javascript ,[郑东新区]
