公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
崤云安全,高级dba,8k-16k,信息安全 不需要融资 50-150人,经验3-5年 大专,“六险一金、提供食宿、年底双薪、免费茶饮”,移动互联网 信息安全 数据库 MySQL Oracle SQLServer ,[高新区]
上海井胜,GP数据库开发,10k-15k,数据服务 未融资 500-2000人,经验3-5年 大专,“项目稳定”,MySQL Oracle 数据库 数据库开发 ,[东风路]
戎易商智（北京）科技有限公司,数据库开发工程师,3k-6k,"移动互联网,数据服务 未融资 15-50人",经验应届毕业生 大专,“周末双休，节日福利，带薪年假”,通信/网络设备 移动互联网 DB2 Oracle SQLServer 数据库开发 ,[北林路]
富士康科技集团,greenplum/DBA,9k-18k,"电商,数据服务 上市公司 2000人以上",经验1-3年 本科,“五险一金、绩效奖金、带薪休假、定期体检”,大数据 移动互联网 DBA 数据库 数据库开发 Oracle ,[航空港区]
富士康科技集团,PostgreSQL DBA,10k-20k,"电商,数据服务 上市公司 2000人以上",经验1-3年 本科,“五险一金、绩效奖金、带薪休假、定期体检”,移动互联网 大数据 服务器端 Linux/Unix MySQL ,[航空港区]
修齐治平,node.js开发工程师,8k-16k·15薪,教育 未融资 2000人以上,经验不限 大专,“入职缴纳五险一金 团队年轻有活力”,Java .NET C# Node.js ,[管城回族区]
国超科技,高级软件测试工程师,8k-12k,"文娱丨内容,社交 未融资 150-500人",经验3-5年 大专,"“高新,奖金,福利,晋升”",测试 自动化 功能测试 性能测试 ,[高新区]
国超科技,java高级开发工程师,15k-26k,"文娱丨内容,社交 未融资 150-500人",经验3-5年 大专,“稳定，工作时间灵活，年终奖”,社交 移动互联网 后端 架构师 分布式 中间件 ,[高新区]
乐至科技,PHP服务端开发工程师,8k-10k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“薪酬丰盛，福利待遇好，环境好，人际简单”,移动互联网 后端 服务器端 PHP ,[中原区]
达观数据,python开发工程师,10k-15k·14薪,人工智能 B轮 150-500人,经验3-5年 本科,“六险一金 年假多多 AI项目 专业培训”,Python ,[高新区]
