公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
锅圈供应链,php开发工程师,7k-12k,不限 C轮 500-2000人,经验3-5年 大专,“200人研发团队”,PHP ,[高新区]
乐至科技,PHP服务端开发工程师,8k-10k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“薪酬丰盛，福利待遇好，环境好，人际简单”,移动互联网 后端 服务器端 PHP ,[中原区]
阿帕斯数云,php高级研发工程师,10k-20k·13薪,"数据服务,软件开发 未融资 150-500人",经验5-10年 本科,“五险一金、双休、年底双薪、经常有技术分享”,PHP MySQL 后端 ,[郑东新区]
锅圈供应链,php开发工程师,10k-15k·13薪,不限 C轮 500-2000人,经验3-5年 本科,“福利好，晋升快，发展空间大”,PHP ,[高新区]
友拓软件,高级php开发工程师,9k-15k,"企业服务,软件开发 未融资 50-150人",经验3-5年 本科,“公司重点项目、发展前景好”,企业服务 PHP docker 后端 软件开发 ,[金水区]
郑州秀程图书公司,php技术总监,8k-10k,"教育,其他 不需要融资 15-50人",经验5-10年 大专,“技术总监”,大数据 后端 平台 ,[华山路]
匠多多,php开发工程师,8k-10k,"电商,房产家居 A轮 50-150人",经验3-5年 大专,“双休，每年两次调薪，自营项目”,电商 移动互联网 后端 MySQL Linux/Unix Yii ,[高新区]
夺冠互动,php开发工程师,5k-10k,移动互联网 未融资 150-500人,经验3-5年 大专,“重点培养，前途无限”,Javascript PHP 后端 MySQL ,[郑东新区]
腾远信息,php开发工程师,9k-13k,软件开发 不需要融资 50-150人,经验3-5年 大专,“加班补助 高薪诚聘 福利多 位置交通方便”,企业服务 移动互联网 PHP ,[长江路]
夺冠互动,高级php开发,8k-12k,移动互联网 未融资 150-500人,经验5-10年 大专,“重点培养，前途无限”,后端 中间件 分布式 PHP ,[郑东新区]
巨猿人,php开发工程师,5k-8k,"软件开发,物联网 未融资 15-50人",经验1-3年 大专,“绩效奖金定期团建节日福利五险一金加班补助”,PHP MySQL ,[金水区]
物灵网络,php开发工程师,5k-6k,软件开发 未融资 15-50人,经验1-3年 大专,“转正缴纳五险，交通补助，餐补等一些福利”,移动互联网 PHP MySQL 后端 软件开发 ,[郑东新区]
西瓜文化,PHP高级工程师|PHP技术合伙人,8k-15k,软件开发 未融资 15-50人,经验1-3年 大专,“弹性制|高提成上不封底|年底分红|项目贡献奖”,企业服务 电商 PHP MySQL 软件开发 ,[高新区]
易单科技,中级PHP开发,6k-8k,移动互联网 未融资 15-50人,经验3-5年 大专,"“工作自由,双休,交通补贴,节日福利”",移动互联网 新零售 后端 PHP JS MySQL ,[东风路]
崇上科赛,php开发工程师,5k-8k,人工智能 / /,经验1-3年 本科,“快乐工作也挺香的”,智能硬件 企业服务 MySQL Python 算法 模式识别 ,[郑东新区]
拉利法,php工程师,5k-10k,移动互联网 未融资 15-50人,经验1-3年 大专,“单双休、项目奖金、咖啡”,移动互联网 PHP ,[二七区]
房事网-河南手机报千万大报,PHP开发工程师,8k-11k,"电商,广告营销 天使轮 15-50人",经验3-5年 大专,"“薪水高,CBD办公,工作餐,美女多”",电商 后端 MySQL PHP ,[郑东新区]
远鼎实业,php开发工程师,5k-10k,"电商,金融 未融资 15-50人",经验3-5年 不限,“双休”,企业服务 金融 后端 PHP Golang 数据库 ,[郑东新区]
燚轩科技,急聘php项目经理,10k-15k,"移动互联网,企业服务 不需要融资 15-50人",经验3-5年 大专,“很高的上升空间”,PHP Node.js ,[秦岭路]
匠联科技,php开发工程师,6k-10k,"企业服务,软件开发 未融资 15-50人",经验1-3年 大专,“稳定，有一定的工作经验”,PHP 全栈 后端 ,[高新区]
沙僧科技,PHP,10k-15k,"移动互联网,数据服务 未融资 15-50人",经验5-10年 本科,“周末双休、五险一金、六险一金”,后端 ,[郑东新区]
河南莲菜网络科技有限公司,php开发工程师,8k-10k,电商 A轮 150-500人,经验3-5年 本科,“发展前景”,电商 物流 后端 Java ,[金水区]
黑鲨智能,php开发工程师,6k-8k,"软件开发,区块链 未融资 15-50人",经验1-3年 大专,“弹性工作，不打卡”,电商 移动互联网 后端 PHP ,[郑东新区]
迅众科技,php开发工程师,7k-12k,"移动互联网,其他 未融资 15-50人",经验3-5年 大专,“有晋升空间 团队氛围轻松”,PHP ,[金水区]
迅众科技,php开发工程师,6k-12k,"移动互联网,其他 未融资 15-50人",经验3-5年 本科,“领导nice 公司还将为您带来不定期的小惊喜哦”,PHP ,[金水区]
河南沐芃,php,6k-8k,移动互联网 未融资 50-150人,经验1-3年 大专,“工作时间：早九晚六 大小周”,工具软件 后端 Laravel ,[管城回族区]
天点科技,php开发工程师,6k-10k,移动互联网 未融资 50-150人,经验1-3年 本科,“扁平化管理 人性化管理 气氛好”,PHP ,[金水区]
华搜科技,php工程师,7k-9k,软件开发 未融资 15-50人,经验1-3年 本科,“五险一金，带薪年假，绩效奖金，发展空间大”,MySQL PHP ,[高新区]
凯尔物联,php,7k-10k,"医疗丨健康,数据服务 天使轮 15-50人",经验3-5年 大专,“带薪年假，缴纳五险，节日福利，年终奖”,,[中原区]
小飞鱼电子,php开发工程师,10k-15k,电商 未融资 15-50人,经验3-5年 不限,“节日福利 定期团建 福利待遇优”,后端 HTML/CSS PHP ,[高新区]
玛顺科技,php,6k-8k,移动互联网 不需要融资 15-50人,经验1-3年 不限,“弹性工作制，可兼职”,电商 企业服务 后端 ,[金水区]
慢跑科技,PHP,8k-15k,"移动互联网,消费生活 不需要融资 50-150人",经验3-5年 本科,“公司氛围好 带薪年假 扁平管理 领导nice”,股票期权 弹性工作 岗位晋升 技能培训 ,[森林公园]
维尔沃网络,php开发工程师,6k-9k,"移动互联网,信息安全 未融资 15-50人",经验1-3年 大专,“公司单双轮休，交通补助、业绩提成等”,后端 Laravel Linux/Unix PHP ,[郑东新区]
河南沐芃,php开发工程师,8k-13k,移动互联网 未融资 50-150人,经验3-5年 大专,“单双轮休，朝九晚六，节日福利，带薪休假”,移动互联网 信息安全 后端 软件开发 ,[管城区]
夏之初,php,5k-6k,游戏 不需要融资 少于15人,经验不限 不限,“薪资高算亮点么？”,,[高新区]
兴科电子,软件开发PHP,4k-8k,"通讯电子,软件开发 不需要融资 15-50人",经验不限 大专,“发展空间大”,PHP Python MySQL ,[高新区]
APUS Group,php高级开发工程师,10k-20k,移动互联网 不需要融资 150-500人,经验5-10年 本科,“五险一金-餐补-交通补助-带薪年假-双休”,PHP 分布式 Yii 系统架构 ,[郑东新区]
礼姑娘,php高级开发工程师,10k-20k,电商 未融资 50-150人,经验3-5年 大专,“年终2000-30000的年终红包”,移动互联网 电商 后端 服务器端 ,[高新区]
云牙科技,php全栈开发工程师,6k-12k,"移动互联网,企业服务 不需要融资 少于15人",经验1-3年 本科,“五险一金，年终分红，项目提成，天使轮”,教育 医疗健康 PHP 全栈 后端 MySQL ,[商务内环]
立米哒网络科技,兼职 PHP,5k-6k,"社交,软件开发 未融资 少于15人",经验3-5年 不限,“兼职”,PHP 服务器端 ,[高新区]
天一教育,PHP程序员,8k-15k,教育 未融资 500-2000人,经验1-3年 本科,"“规模大,福利多,五险一金,双休”",后端 Java PHP ,[丰产路]
云智慧,高级web前端开发工程师,8k-15k·13薪,数据服务 D轮及以上 150-500人,经验3-5年 本科,“六险一金，下午茶，年终奖，8天年假”,Web前端 React 前端开发 ,[高新区]
锅圈供应链,服务器安全工程师,6k-12k,不限 C轮 500-2000人,经验5-10年 本科,“社保，商业险，绩效奖金”,信息安全 ,[高新区]
崤云安全,渗透测试工程师,12k-16k·13薪,信息安全 不需要融资 50-150人,经验1-3年 大专,“政府主导、自研项目、六险一金、提供食宿”,渗透测试 ,[高新区]
阿帕斯数云,应用运维工程师,12k-20k·13薪,"数据服务,软件开发 未融资 150-500人",经验5-10年 本科,“五险一金、双休、年底双薪、经常有技术分享”,Linux Python 应用运维 TCP/IP协议 ,[郑东新区]
澳丰通讯,产品经理,10k-15k,"广告营销,数据服务 未融资 500-2000人",经验5-10年 本科,“公司重点项目，待遇丰厚”,大数据 广告营销 需求分析 交互设计 产品设计 B端产品 ,[淮河路]
郑州联泰正宏,高级web前端开发工程师,8k-12k,"信息安全,软件开发 未融资 15-50人",经验3-5年 本科,“良好的发展前途”,信息安全 工具软件 Web前端 Vue HTML5 CSS ,[金水区]
